date,anac_observed_market_units,anac_observed_suzuki_top20_units,anac_observed_suzuki_top20_model_count,anac_observed_suzuki_top20_market_share,source_file,anac_observed_fleet_proxy_age_0_12m,anac_observed_fleet_proxy_age_13_36m,anac_observed_fleet_proxy_age_37_60m
2021-01-01,24984.0,0.0,0,0.0,2021_01-ANAC-Mercado-Automotor-Enero-2021.pdf,0.0,0.0,0.0
2021-02-01,24492.0,407.0,2,0.0166176710762698,2021_02-ANAC-Mercado-Automotor-Febrero-2021.pdf,398.86,0.0,0.0
2021-03-01,,306.0,1,,2021_03-ANAC-Mercado-Automotor-Marzo-2021.pdf,698.74,0.0,0.0
2021-04-01,,68.0,1,,2021_04-ANAC-Mercado-Automotor-Abril-2021.pdf,765.38,0.0,0.0
2021-05-01,34130.0,0.0,0,0.0,2021_05-ANAC-Mercado-Automotor-Mayo-2021-4.pdf,765.38,0.0,0.0
2021-06-01,,977.0,2,,2021_06-ANAC-Mercado-Automotor-Junio-2021.pdf,1722.84,0.0,0.0
2021-07-01,,1312.0,2,,2021_07-ANAC-Mercado-Automotor-Julio-2021.pdf,3008.6000000000004,0.0,0.0
2021-08-01,,1043.0,2,,2021_Mercado-Automotor-Agosto-2021-ANAC.pdf,4030.74,0.0,0.0
2021-09-01,,1669.0,2,,2021_09-ANAC-Mercado-Automotor-Septiembre-2021.pdf,5666.36,0.0,0.0
2021-10-01,,1509.0,2,,2021_10-ANAC-Mercado-Automotor-Octubre-2021.pdf,7145.18,0.0,0.0
2021-11-01,,2516.0,2,,2021_11-ANAC-Mercado-Automotor-Noviembre-2021.pdf,9610.86,0.0,0.0
2021-12-01,,2377.0,3,,2021_12-ANAC-Mercado-Automotor-Diciembre-2021.pdf,11940.32,0.0,0.0
2022-01-01,,0.0,0,,2022_01-ANAC-Mercado-Automotor-Enero-2022.pdf,11940.32,0.0,0.0
2022-02-01,,879.0,3,,2022_02-ANAC-Mercado-Automotor-Febrero-2022.pdf,12402.88,382.58,0.0
2022-03-01,41467.0,1108.0,2,0.0267200424433887,2022_03-ANAC-Mercado-Automotor-Marzo-2022-vf.pdf,13188.84,670.22,0.0
2022-04-01,,1262.0,2,,2022_04-ANAC-Mercado-Automotor-Abril-2022-vf.pdf,14358.96,734.14,0.0
2022-05-01,,1278.0,2,,2022_05-ANAC-Mercado-Automotor-Mayo-2022.pdf,15611.4,734.14,0.0
2022-06-01,,1337.0,3,,2022_ok-ANAC-Mercado-Automotor-Junio-2022.pdf,15964.2,1652.52,0.0
2022-07-01,,0.0,0,,2022_07-ANAC-Mercado-Automotor-Julio-2022-vf.pdf,14678.44,2885.8,0.0
2022-08-01,,0.0,0,,2022_08-ANAC-Mercado-Automotor-Agosto-2022vf.pdf,13656.3,3866.2199999999993,0.0
2022-09-01,,0.0,0,,2022_09-ANAC-Mercado-Automotor-Septiembre-2022-vf-4.10.22.pdf,12020.68,5435.08,0.0
2022-10-01,,0.0,0,,2022_10-ANAC-Mercado-Automotor-Octubre-2022_Vf.pdf,10541.86,6853.539999999999,0.0
2022-11-01,31708.0,0.0,0,0.0,2022_11-ANAC-Mercado-Automotor-Noviembre-2022_vf_.pdf,8076.18,9218.58,0.0
2022-12-01,,0.0,0,,2022_12-ANAC-Mercado-Automotor-Diciembre-2022dmb.pdf,5746.719999999999,11452.96,0.0
2023-01-01,,0.0,0,,2023_01-ANAC-Mercado-Automotor-Enero-2023.pdf,5746.719999999999,11452.96,0.0
2023-02-01,,0.0,0,,2023_02-ANAC-Mercado-Automotor-Febrero-2023-vff.pdf,4885.3,12279.22,0.0
2023-03-01,,0.0,0,,2023_03-ANAC-Mercado-Automotor-Marzo-2023-dmb.pdf,3799.46,13320.74,0.0
2023-04-01,,0.0,0,,2023_04-ANAC-Mercado-Automotor-Abril-2023-dmb-vf.pdf,2562.7,14507.02,0.0
2023-05-01,,0.0,0,,2023_05-ANAC-Mercado-Automotor-Mayo-2023-v2_.pdf,1310.26,15708.34,0.0
2023-06-01,,0.0,0,,2023_06-ANAC-Mercado-Automotor-Junio-2023-vf_.pdf,0.0,16965.12,0.0
2023-07-01,23051.0,0.0,0,0.0,2023_07-ANAC-Mercado-Automotor-Julio-2023ok.pdf,0.0,16965.12,0.0
2023-08-01,28314.0,1275.0,4,0.0450307268489086,2023_08-ANAC-Mercado-Automotor-Agosto-v2.pdf,1249.5,16965.12,0.0
2023-09-01,25503.0,1047.0,4,0.0410539936478061,2023_09-ANAC-Mercado-Automotor-Septiembre.pdf,2275.56,16965.12,0.0
2023-10-01,,1316.0,4,,2023_10-ANAC-Mercado-Automotor-Octubre.pdf,3565.24,16965.12,0.0
2023-11-01,25630.0,1228.0,4,0.0479126024190401,2023_11-ANAC-Mercado-Automotor-Noviembre.pdf,4768.68,16965.12,0.0
2023-12-01,,1281.0,4,,2023_12-ANAC-Mercado-Automotor-Diciembre.pdf,6024.06,16965.12,0.0
2024-01-01,25117.0,1076.0,4,0.0428395110881076,2024_01-ANAC-Mercado-Automotor-Enero.pdf,7078.54,16965.12,0.0
2024-02-01,22450.0,1131.0,5,0.0503786191536748,2024_02-ANAC-Mercado-Automotor-Febrero.pdf,8186.92,16582.54,345.95
2024-03-01,,1153.0,5,,2024_03-ANAC-Mercado-Automotor-Marzo-2024.pdf,9316.86,16294.899999999998,606.05
2024-04-01,,1230.0,5,,2024_04-ANAC-Mercado-Automotor-Abril-2024.pdf,10522.259999999998,16230.98,663.85
2024-05-01,23337.0,1296.0,5,0.0555341303509448,2024_05-ANAC-Mercado-Automotor-Mayo-2024.pdf,11792.34,16230.98,663.85
2024-06-01,22567.0,727.0,4,0.0322151814596534,2024_06-ANAC-Mercado-Automotor-Junio-2024.pdf,12504.8,15312.6,1494.3
2024-07-01,,1230.0,5,,2024_07-ANAC-Mercado-Automotor-Julio-2024.pdf,13710.2,14079.32,2609.5
2024-08-01,,1166.0,5,,2024_08-ANAC-Mercado-Automotor-Agosto-2024.pdf,13603.38,14297.4,3496.05
2024-09-01,,1041.0,5,,2024_09-ANAC-Mercado-Automotor-Septiembre-2024.pdf,13597.5,13712.72,4914.7
2024-10-01,,1392.0,6,,2024_10-ANAC-Mercado-Automotor-Octubre-2024.pdf_.pdf,13671.98,13531.3,6197.35
