year,month,days_in_month,weekend_days,public_holidays,working_days,country,region,source_id,feature_scope,feature_semantics,aggregation_rule
2021,1,31,10,1,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,2,28,8,0,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,3,31,8,0,23,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,4,30,8,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,5,31,10,2,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,6,30,8,3,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,7,31,9,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,8,31,9,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,9,30,8,2,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,10,31,10,2,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,11,30,8,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2021,12,31,8,2,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,1,31,10,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,2,28,8,0,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,3,31,8,0,23,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,4,30,9,2,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,5,31,9,2,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,6,30,8,3,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,7,31,10,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,8,31,8,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,9,30,8,3,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,10,31,10,2,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,11,30,8,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2022,12,31,9,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,1,31,9,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,2,28,8,0,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,3,31,8,0,23,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,4,30,10,2,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,5,31,8,2,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,6,30,8,3,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,7,31,10,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,8,31,8,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,9,30,9,2,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,10,31,9,2,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,11,30,8,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2023,12,31,10,2,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,1,31,8,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,2,29,8,0,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,3,31,10,2,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,4,30,8,0,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,5,31,8,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,6,30,10,3,18,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,7,31,8,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,8,31,9,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,9,30,9,2,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,10,31,8,2,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,11,30,9,1,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2024,12,31,9,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,1,31,8,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,2,28,8,0,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,3,31,10,0,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,4,30,8,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,5,31,9,2,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,6,30,9,3,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,7,31,8,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,8,31,10,1,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
