date,year,month,collisions,fatalities,serious_injuries,moderate_injuries,minor_injuries,total_injuries,weekend_collisions,weekend_fatalities,weekend_total_injuries,weekend_collision_share,weekend_fatality_share,weekend_injury_share,night_collisions,night_fatalities,night_total_injuries,peak_collisions,peak_fatalities,peak_total_injuries,night_collision_share,night_fatality_share,peak_collision_share,injuries_per_collision,fatalities_per_collision
2000-01-01,2000,1,3765.0,152.0,743.0,673.0,3075.0,4491.0,1222.0,65.0,1677.0,0.32456839309428953,0.4276315789473684,0.37341349365397464,682.0,57.0,910.0,1447.0,51.0,1754.0,0.1811420982735724,0.375,0.38432934926958834,1.1928286852589642,0.04037184594953519
2000-02-01,2000,2,3156.0,149.0,717.0,577.0,2705.0,3999.0,946.0,48.0,1296.0,0.2997465145754119,0.3221476510067114,0.32408102025506375,635.0,46.0,847.0,1167.0,40.0,1548.0,0.2012040557667934,0.3087248322147651,0.36977186311787075,1.2671102661596958,0.04721166032953105
2000-03-01,2000,3,3378.0,137.0,646.0,619.0,2651.0,3916.0,858.0,46.0,1166.0,0.2539964476021314,0.3357664233576642,0.29775280898876405,574.0,42.0,745.0,1351.0,48.0,1615.0,0.1699230313795145,0.30656934306569344,0.3999407933688573,1.1592658377738307,0.040556542332741266
2000-04-01,2000,4,3391.0,162.0,704.0,596.0,2681.0,3981.0,1148.0,69.0,1441.0,0.3385432025951047,0.42592592592592593,0.36196935443355943,553.0,54.0,733.0,1370.0,65.0,1632.0,0.16307873783544677,0.3333333333333333,0.4040106163373636,1.1739899734591566,0.047773518136243
2000-05-01,2000,5,3389.0,172.0,682.0,596.0,2443.0,3721.0,874.0,70.0,1131.0,0.25789318383003834,0.4069767441860465,0.3039505509271701,524.0,49.0,635.0,1431.0,77.0,1589.0,0.15461788138093832,0.28488372093023256,0.42224845087046325,1.0979640011802891,0.050752434346414875
2000-06-01,2000,6,3519.0,126.0,697.0,587.0,2703.0,3987.0,982.0,47.0,1184.0,0.2790565501562944,0.373015873015873,0.29696513669425634,526.0,31.0,695.0,1481.0,71.0,1656.0,0.14947428246660982,0.24603174603174602,0.4208581983518045,1.132992327365729,0.03580562659846547
2000-07-01,2000,7,3161.0,140.0,693.0,471.0,2383.0,3547.0,1034.0,54.0,1215.0,0.32711167352103765,0.38571428571428573,0.3425429940795038,513.0,33.0,613.0,1271.0,71.0,1513.0,0.16229041442581463,0.2357142857142857,0.40208794685226196,1.1221132552989561,0.044289781714647265
2000-08-01,2000,8,2979.0,137.0,558.0,508.0,2160.0,3226.0,781.0,51.0,979.0,0.26216851292379995,0.3722627737226277,0.30347179169249844,484.0,57.0,544.0,1213.0,41.0,1316.0,0.16247062772742532,0.41605839416058393,0.40718361866398123,1.0829137294394091,0.045988586774085266
2000-09-01,2000,9,3112.0,125.0,617.0,525.0,2482.0,3624.0,991.0,48.0,1284.0,0.3184447300771208,0.384,0.3543046357615894,511.0,33.0,717.0,1156.0,56.0,1272.0,0.16420308483290488,0.264,0.37146529562982006,1.1645244215938304,0.040167095115681235
2000-10-01,2000,10,3702.0,131.0,684.0,571.0,2841.0,4096.0,1114.0,57.0,1392.0,0.3009184224743382,0.4351145038167939,0.33984375,504.0,24.0,599.0,1489.0,53.0,1644.0,0.13614262560777957,0.183206106870229,0.402215018908698,1.1064289573203674,0.03538627768773636
2000-11-01,2000,11,3580.0,106.0,642.0,555.0,2572.0,3769.0,907.0,38.0,1121.0,0.25335195530726257,0.3584905660377358,0.29742637304324754,571.0,42.0,675.0,1416.0,30.0,1535.0,0.15949720670391063,0.39622641509433965,0.39553072625698327,1.0527932960893855,0.029608938547486034
2000-12-01,2000,12,3794.0,161.0,707.0,651.0,2943.0,4301.0,1217.0,82.0,1568.0,0.32076963626779126,0.5093167701863354,0.3645663799116485,679.0,53.0,803.0,1458.0,52.0,1663.0,0.17896678966789667,0.32919254658385094,0.38429098576700055,1.1336320506062203,0.042435424354243544
2001-01-01,2001,1,3747.0,133.0,662.0,595.0,2760.0,4017.0,953.0,46.0,1177.0,0.25433680277555376,0.3458646616541353,0.2930047298979338,644.0,39.0,774.0,1457.0,47.0,1654.0,0.1718708299973312,0.2932330827067669,0.38884440886042165,1.0720576461168936,0.03549506271684014
2001-02-01,2001,2,3209.0,136.0,587.0,578.0,2717.0,3882.0,906.0,49.0,1259.0,0.282330944219383,0.3602941176470588,0.324317362184441,566.0,51.0,727.0,1221.0,44.0,1587.0,0.1763789342474291,0.375,0.3804923652228108,1.2097226550327205,0.04238080398878155
2001-03-01,2001,3,3845.0,129.0,632.0,596.0,2756.0,3984.0,1062.0,52.0,1200.0,0.27620286085825746,0.40310077519379844,0.30120481927710846,564.0,54.0,688.0,1592.0,39.0,1581.0,0.14668400520156047,0.4186046511627907,0.41404421326397917,1.0361508452535761,0.03355006501950585
2001-04-01,2001,4,3801.0,139.0,603.0,552.0,2547.0,3702.0,1129.0,53.0,1226.0,0.2970270981320705,0.381294964028777,0.331172339276067,591.0,39.0,611.0,1576.0,58.0,1505.0,0.15548539857932123,0.2805755395683453,0.4146277295448566,0.9739542225730071,0.03656932386214154
2001-05-01,2001,5,3907.0,135.0,642.0,578.0,2671.0,3891.0,972.0,57.0,1025.0,0.24878423342718198,0.4222222222222222,0.2634284245695194,582.0,36.0,636.0,1683.0,67.0,1740.0,0.14896339902738673,0.26666666666666666,0.4307652930637318,0.9959047862810341,0.034553365753775274
2001-06-01,2001,6,3808.0,125.0,582.0,569.0,2552.0,3703.0,1166.0,59.0,1184.0,0.30619747899159666,0.472,0.31965442764578833,522.0,31.0,577.0,1596.0,56.0,1568.0,0.13707983193277312,0.248,0.41911764705882354,0.9724264705882353,0.03282563025210084
2001-07-01,2001,7,3753.0,150.0,637.0,513.0,2551.0,3701.0,1065.0,49.0,1150.0,0.2837729816147082,0.32666666666666666,0.310726830586328,551.0,39.0,651.0,1607.0,65.0,1624.0,0.14681588062883028,0.26,0.4281907807087663,0.986144417799094,0.03996802557953637
2001-08-01,2001,8,3862.0,112.0,578.0,519.0,2512.0,3609.0,1068.0,47.0,1066.0,0.276540652511652,0.41964285714285715,0.29537267941257966,581.0,29.0,552.0,1618.0,47.0,1501.0,0.15044018643190057,0.25892857142857145,0.41895390989124803,0.9344899016053858,0.02900051786639047
2001-09-01,2001,9,3496.0,115.0,555.0,476.0,2358.0,3389.0,1197.0,49.0,1277.0,0.3423913043478261,0.4260869565217391,0.37680731779285925,548.0,30.0,611.0,1372.0,51.0,1325.0,0.15675057208237986,0.2608695652173913,0.39244851258581237,0.9693935926773455,0.03289473684210526
2001-10-01,2001,10,3687.0,123.0,604.0,477.0,2444.0,3525.0,976.0,35.0,1097.0,0.26471385950637377,0.2845528455284553,0.31120567375886526,534.0,35.0,526.0,1485.0,50.0,1406.0,0.14483319772172498,0.2845528455284553,0.402766476810415,0.9560618388934092,0.03336045565500407
2001-11-01,2001,11,3740.0,126.0,600.0,542.0,2608.0,3750.0,1000.0,54.0,1132.0,0.26737967914438504,0.42857142857142855,0.30186666666666667,548.0,44.0,589.0,1588.0,42.0,1635.0,0.146524064171123,0.3492063492063492,0.42459893048128344,1.0026737967914439,0.033689839572192515
2001-12-01,2001,12,3976.0,139.0,647.0,572.0,2972.0,4191.0,1296.0,62.0,1475.0,0.32595573440643866,0.4460431654676259,0.3520286396181384,705.0,58.0,800.0,1517.0,32.0,1619.0,0.1773138832997988,0.4172661870503597,0.38153923541247486,1.0540744466800804,0.03495975855130785
2002-01-01,2002,1,3546.0,144.0,613.0,613.0,2941.0,4167.0,907.0,37.0,1300.0,0.2557811618725324,0.2569444444444444,0.3119750419966403,662.0,52.0,921.0,1371.0,41.0,1574.0,0.18668922729836435,0.3611111111111111,0.3866328257191201,1.1751269035532994,0.04060913705583756
2002-02-01,2002,2,3088.0,98.0,658.0,532.0,2548.0,3738.0,854.0,45.0,1149.0,0.2765544041450777,0.45918367346938777,0.3073836276083467,551.0,29.0,789.0,1164.0,36.0,1395.0,0.17843264248704663,0.29591836734693877,0.37694300518134716,1.2104922279792747,0.03173575129533679
2002-03-01,2002,3,3666.0,138.0,651.0,580.0,2512.0,3743.0,1066.0,61.0,1244.0,0.2907801418439716,0.4420289855072464,0.3323537269569864,549.0,46.0,627.0,1489.0,35.0,1556.0,0.1497545008183306,0.3333333333333333,0.406164757228587,1.0210038188761592,0.03764320785597381
2002-04-01,2002,4,3390.0,113.0,615.0,478.0,2320.0,3413.0,909.0,43.0,1067.0,0.268141592920354,0.3805309734513274,0.3126281863463229,440.0,30.0,527.0,1463.0,45.0,1414.0,0.12979351032448377,0.26548672566371684,0.43156342182890856,1.0067846607669617,0.03333333333333333
2002-05-01,2002,5,3573.0,139.0,620.0,497.0,2516.0,3633.0,974.0,48.0,1062.0,0.27260005597537085,0.34532374100719426,0.29232039636663915,505.0,39.0,536.0,1527.0,73.0,1590.0,0.14133781136300028,0.2805755395683453,0.42737195633921077,1.0167926112510495,0.038902882731598094
2002-06-01,2002,6,3156.0,137.0,614.0,473.0,2225.0,3312.0,1068.0,56.0,1216.0,0.33840304182509506,0.40875912408759124,0.3671497584541063,501.0,33.0,596.0,1314.0,62.0,1370.0,0.15874524714828897,0.24087591240875914,0.41634980988593157,1.049429657794677,0.04340937896070976
2002-07-01,2002,7,3562.0,152.0,601.0,541.0,2738.0,3880.0,946.0,57.0,1061.0,0.26558113419427287,0.375,0.2734536082474227,490.0,27.0,489.0,1500.0,72.0,1683.0,0.13756316676024705,0.17763157894736842,0.4211117349803481,1.0892756878158338,0.04267265581134194
2002-08-01,2002,8,3466.0,113.0,557.0,440.0,2509.0,3506.0,956.0,38.0,989.0,0.27582227351413735,0.336283185840708,0.2820878494010268,522.0,28.0,599.0,1429.0,61.0,1482.0,0.15060588574725908,0.24778761061946902,0.41229082515868437,1.011540680900173,0.032602423542989034
