date,mop_observed_total_passages,mop_observed_light_passages,mop_observed_heavy_passages,mop_observed_light_share,mop_observed_plazas_used,source_file,mop_source_month_invalid,mop_source_month_missing,mop_observed_yoy,mop_observed_rolling3
2021-01-01,224057.0,174045.0,50012.0,0.7767889420995551,4.0,2021_01_Vehic-ENERO-2021.xls,0,0,,224057.0
2021-02-01,270489.0,213527.0,56962.0,0.7894110296537012,4.0,2021_02_Vehic-FEBRERO-2021.xls,0,0,,247273.0
2021-03-01,231958.0,161324.0,70634.0,0.6954879762715664,4.0,2021_03_Vehic-MARZO-2021.xls,0,0,,242168.0
2021-04-01,186899.0,123950.0,62949.0,0.663192419435096,4.0,2021_04_Vehic-ABRIL-2021.xls,0,0,,229782.0
2021-05-01,216459.0,159662.0,56797.0,0.7376085078467516,4.0,2021_05_Vehic-MAYO-2021.xls,0,0,,211772.0
2021-06-01,223349.0,164538.0,58811.0,0.7366856354852719,4.0,2021_06_Vehic-JUNIO-2021.xls,0,0,,208902.33333333334
2021-07-01,265201.0,203225.0,61976.0,0.7663055569172061,4.0,2021_07_Vehic-JULIO-2021.xls,0,0,,235003.0
2021-08-01,266570.0,206807.0,59763.0,0.7758074802115767,4.0,2021_08_Vehic-AGOSTO-2021.xls,0,0,,251706.66666666666
2021-09-01,271069.3333333333,209013.33333333334,62056.0,0.7712218684221829,4.0,,0,1,,267613.44444444444
2021-10-01,275568.6666666667,211219.66666666666,64349.0,0.766636256632789,4.0,,0,1,,271069.3333333333
2021-11-01,280068.0,213426.0,66642.0,0.7620506448433951,4.0,2021_09_Vehic-NOVIEMBRE-2021.xls,0,0,,275568.6666666667
2021-12-01,305167.0,236981.0,68186.0,0.7765616858965747,4.0,2021_10_Vehic-DICIEMBRE-2021.xls,0,0,,286934.55555555556
2022-01-01,336936.0,280303.0,56633.0,0.8319176342094641,4.0,2022_01_Vehic-ENERO-2022.xls,0,0,0.5037959090767081,307390.3333333333
2022-02-01,323350.0,258674.0,64676.0,0.7999814442554507,4.0,2022_02_Vehic-FEBRERO-2022.xls,0,0,0.19542754049148026,321817.6666666667
2022-03-01,282008.0,209082.0,72926.0,0.7414044991631443,4.0,2022_03_Vehic-MARZO-2022.xls,0,0,0.21577182076065493,314098.0
2022-04-01,256985.0,193716.0,63269.0,0.7538027511333346,4.0,2022_04_Vehic-ABRIL-2022.xls,0,0,0.37499398070615686,287447.6666666667
2022-05-01,245347.0,183338.0,62009.0,0.7472600031791707,4.0,2022_05_Vehic-MAYO-2022.xls,0,0,0.13345714430908395,261446.66666666666
2022-06-01,215642.0,162529.0,53113.0,0.7536982591517423,4.0,2022_06_Vehic-JUNIO-2022.xls,0,0,-0.034506534616228435,239324.66666666666
2022-07-01,224130.0,178786.0,45344.0,0.7976888412974613,4.0,2022_07_Vehic-JULIO-2022.xls,0,0,-0.15486744016802345,228373.0
2022-08-01,227272.0,171163.0,56109.0,0.753119609982752,4.0,2022_08_Vehic-AGOSTO-2022.xls,0,0,-0.14742094009078288,222348.0
2022-09-01,255429.0,195664.0,59765.0,0.7660210860943746,4.0,2022_09_Vehic-SEPTIEMBRE-2022.xls,0,0,-0.05769864536502345,235610.33333333334
2022-10-01,265694.0,209479.0,56215.0,0.7884220193154531,4.0,2022_10_Vehic-OCTUBRE-2022.xls,0,0,-0.03583377887665029,249465.0
2022-11-01,259549.0,200235.0,59314.0,0.7714728240139627,4.0,2022_11_Vehic-NOVIEMBRE-2022.xls,0,0,-0.07326435008640764,260224.0
2022-12-01,288722.0,228837.0,59885.0,0.7925859477282645,4.0,2022_12_Vehic-DICIEMBRE-2022.xls,0,0,-0.05388852661002008,271321.6666666667
2023-01-01,356893.0,298087.0,58806.0,0.8352279254566495,4.0,2023_01_Vehic-ENERO-2023.xls,0,0,0.05923083315525801,301721.3333333333
2023-02-01,207251.0,170680.0,36571.0,0.8235424678288645,4.0,2023_02_Vehic-FEBRERO-2023.xls,0,0,-0.3590505644038967,284288.6666666667
2023-03-01,270115.0,208427.0,61688.0,0.7716231975269793,4.0,2023_03_Vehic-MARZO-2023.xls,0,0,-0.042172562480497056,278086.3333333333
2023-04-01,261943.0,205250.0,56693.0,0.7835674173388867,4.0,2023_04_Vehic-ABRIL-2023.xls,0,0,0.01929295484172222,246436.33333333334
2023-05-01,231173.0,178577.0,52596.0,0.7707800310797865,4.0,2023_05_Vehic-MAYO-2023.xls,1,0,-0.057771238286997595,254410.33333333334
2023-06-01,200403.0,151904.0,48499.0,0.7579926448206863,4.0,2023_06_Vehic-JUNIO-2023.xls,0,0,-0.07066805167824453,231173.0
2023-07-01,243102.0,186400.0,56702.0,0.7667563409597618,4.0,2023_07_Vehic-JULIO-2023.xls,0,0,0.08464730290456424,224892.66666666666
2023-08-01,218946.0,164120.0,54826.0,0.7495912234066847,4.0,2023_08_Vehic-AGOSTO-2023.xls,0,0,-0.03663451723045519,220817.0
2023-09-01,228684.0,172916.0,55768.0,0.7561351034615452,4.0,2023_09_Vehic-SEPTIEMBRE-2023.xls,0,0,-0.1047062001573823,230244.0
2023-10-01,257050.0,198338.0,58712.0,0.7715930752771835,4.0,2023_10_Vehic-OCTUBRE-2023.xls,0,0,-0.03253366654873646,234893.33333333334
2023-11-01,239563.0,180327.0,59236.0,0.7527331015223553,4.0,2023_11_Vehic-NOVIEMBRE-2023.xls,0,0,-0.07700280101252555,241765.66666666666
2023-12-01,283683.5,224326.5,59357.0,0.785644655970388,4.0,,0,1,-0.017451042871689748,260098.83333333334
2024-01-01,327804.0,268326.0,59478.0,0.8185562104184207,4.0,2024_01_FLUJO-VEHICULO-Enero.xls,0,0,-0.08150622175273825,283683.5
2024-02-01,340232.0,279404.0,60828.0,0.8212161113593077,4.0,2024_02_FLUJO-VEHICULO-FEBRERO.xls,0,0,0.6416422598684686,317239.8333333333
2024-03-01,264303.0,206989.0,57314.0,0.7831503993522586,4.0,2024_03_FLUJO-VEHICULO-MARZO.xls,0,0,-0.021516761379412497,310779.6666666667
2024-04-01,248159.0,190450.0,57709.0,0.7674515129412998,4.0,2024_04_FLUJO-VEHICULO-ABRIL.xls,0,0,-0.05262213535005711,284231.3333333333
2024-05-01,225025.0,169476.0,55549.0,0.7531429841128764,4.0,2024_05_FLUJO-VEHICULO-MAYO.xls,0,0,-0.026594801295999115,245829.0
2024-06-01,152739.0,120789.0,31950.0,0.7908196334924282,4.0,2024_06_FLUJO-VEHICULO-JUNIO.xls,0,0,-0.23784075088696277,208641.0
2024-07-01,235903.0,171630.0,64273.0,0.7275447959542694,4.0,2024_07_FLUJO-VEHICULO-JULIO.xls,0,0,-0.029613084219792474,204555.66666666666
2024-08-01,218215.0,157910.0,60305.0,0.7236441124578971,4.0,2024_08_FLUJO-VEHICULO-AGOSTO.xls,0,0,-0.003338722790094395,202285.66666666666
2024-09-01,234062.0,180673.0,53389.0,0.7719023164802489,4.0,2024_09_FLUJO-VEHICULO-SEPTIEMBRE.xls,0,0,0.023517167794861127,229393.33333333334
2024-10-01,255698.0,188379.0,67319.0,0.7367245735203247,4.0,2024_10_FLUJO-VEHICULO-OCTUBRE.xls,0,0,-0.005259677105621474,235991.66666666666
2024-11-01,272667.0,207122.0,65545.0,0.7596152082943664,4.0,2024_11_FLUJO-VEHICULO-NOVIEMBRE.xls,0,0,0.13818494508751344,254142.33333333334
2024-12-01,279654.0,219218.0,60436.0,0.7838900927574789,4.0,2024_12_FLUJO-VEHICULO-DICIEMBRE.xls,0,0,-0.014204209973438742,269339.6666666667
2025-01-01,313127.5,253269.0,59858.5,0.8064274050562966,4.0,,0,1,-0.04477218093738944,288482.8333333333
