date,model,monthly_units,reported_cumulative_units,source_file,fleet_proxy_age_0_12m,fleet_proxy_age_13_36m,fleet_proxy_age_37_60m,share_of_listed_suzuki_units,share_of_total_market
2021-01-01,ALTO,0.0,,,0.0,,,0.0,0.0
2021-01-01,BALENO HB,0.0,,,0.0,,,0.0,0.0
2021-01-01,CELERIO,0.0,,,0.0,,,0.0,0.0
2021-01-01,FRONX,0.0,,,0.0,,,0.0,0.0
2021-01-01,JIMNY,0.0,,,0.0,,,0.0,0.0
2021-01-01,NUEVO ALTO,0.0,,,0.0,,,0.0,0.0
2021-01-01,S-PRESSO,0.0,,,0.0,,,0.0,0.0
2021-01-01,SWIFT,0.0,,,0.0,,,0.0,0.0
2021-02-01,ALTO,181.0,641.0,2021_02-ANAC-Mercado-Automotor-Febrero-2021.pdf,177.38,,,0.4447174447174447,0.0073901682181936
2021-02-01,BALENO HB,0.0,,,0.0,,,0.0,0.0
2021-02-01,CELERIO,0.0,,,0.0,,,0.0,0.0
2021-02-01,FRONX,0.0,,,0.0,,,0.0,0.0
2021-02-01,JIMNY,0.0,,,0.0,,,0.0,0.0
2021-02-01,NUEVO ALTO,0.0,,,0.0,,,0.0,0.0
2021-02-01,S-PRESSO,226.0,720.0,2021_02-ANAC-Mercado-Automotor-Febrero-2021.pdf,221.48,,,0.5552825552825553,0.0092275028580761
2021-02-01,SWIFT,0.0,,,0.0,,,0.0,0.0
2021-03-01,ALTO,0.0,,,177.38,,,0.0,
2021-03-01,BALENO HB,0.0,,,0.0,,,0.0,
2021-03-01,CELERIO,0.0,,,0.0,,,0.0,
2021-03-01,FRONX,0.0,,,0.0,,,0.0,
2021-03-01,JIMNY,0.0,,,0.0,,,0.0,
2021-03-01,NUEVO ALTO,0.0,,,0.0,,,0.0,
2021-03-01,S-PRESSO,306.0,1026.0,2021_03-ANAC-Mercado-Automotor-Marzo-2021.pdf,521.36,,,1.0,
2021-03-01,SWIFT,0.0,,,0.0,,,0.0,
2021-04-01,ALTO,0.0,,,177.38,,,0.0,
2021-04-01,BALENO HB,0.0,,,0.0,,,0.0,
2021-04-01,CELERIO,0.0,,,0.0,,,0.0,
2021-04-01,FRONX,0.0,,,0.0,,,0.0,
2021-04-01,JIMNY,0.0,,,0.0,,,0.0,
2021-04-01,NUEVO ALTO,0.0,,,0.0,,,0.0,
2021-04-01,S-PRESSO,68.0,1094.0,2021_04-ANAC-Mercado-Automotor-Abril-2021.pdf,588.0,,,1.0,
2021-04-01,SWIFT,0.0,,,0.0,,,0.0,
2021-05-01,ALTO,0.0,,,177.38,,,0.0,0.0
2021-05-01,BALENO HB,0.0,,,0.0,,,0.0,0.0
2021-05-01,CELERIO,0.0,,,0.0,,,0.0,0.0
2021-05-01,FRONX,0.0,,,0.0,,,0.0,0.0
2021-05-01,JIMNY,0.0,,,0.0,,,0.0,0.0
2021-05-01,NUEVO ALTO,0.0,,,0.0,,,0.0,0.0
2021-05-01,S-PRESSO,0.0,,,588.0,,,0.0,0.0
2021-05-01,SWIFT,0.0,,,0.0,,,0.0,0.0
2021-06-01,ALTO,0.0,,,177.38,,,0.0,
2021-06-01,BALENO HB,573.0,3447.0,2021_06-ANAC-Mercado-Automotor-Junio-2021.pdf,561.54,,,0.586489252814739,
2021-06-01,CELERIO,0.0,,,0.0,,,0.0,
2021-06-01,FRONX,0.0,,,0.0,,,0.0,
2021-06-01,JIMNY,0.0,,,0.0,,,0.0,
2021-06-01,NUEVO ALTO,0.0,,,0.0,,,0.0,
2021-06-01,S-PRESSO,404.0,1614.0,2021_06-ANAC-Mercado-Automotor-Junio-2021.pdf,983.92,,,0.413510747185261,
2021-06-01,SWIFT,0.0,,,0.0,,,0.0,
2021-07-01,ALTO,0.0,,,177.38,,,0.0,
2021-07-01,BALENO HB,824.0,4271.0,2021_07-ANAC-Mercado-Automotor-Julio-2021.pdf,1369.06,,,0.6280487804878049,
2021-07-01,CELERIO,0.0,,,0.0,,,0.0,
2021-07-01,FRONX,0.0,,,0.0,,,0.0,
2021-07-01,JIMNY,0.0,,,0.0,,,0.0,
2021-07-01,NUEVO ALTO,0.0,,,0.0,,,0.0,
2021-07-01,S-PRESSO,488.0,2102.0,2021_07-ANAC-Mercado-Automotor-Julio-2021.pdf,1462.16,,,0.3719512195121951,
2021-07-01,SWIFT,0.0,,,0.0,,,0.0,
2021-08-01,ALTO,0.0,,,177.38,,,0.0,
2021-08-01,BALENO HB,389.0,4661.0,2021_Mercado-Automotor-Agosto-2021-ANAC.pdf,1750.28,,,0.3729626078619367,
2021-08-01,CELERIO,0.0,,,0.0,,,0.0,
2021-08-01,FRONX,0.0,,,0.0,,,0.0,
2021-08-01,JIMNY,0.0,,,0.0,,,0.0,
2021-08-01,NUEVO ALTO,0.0,,,0.0,,,0.0,
