sku_id,suzuki_model,mapping_method
0915912057000,,unmapped
0928335052000,,unmapped
09409M10L04000,,unmapped
11610M53M00000,,unmapped
11610M68K03000,,unmapped
17213M76M00000,,unmapped
17700M53M20000,,unmapped
3512065J32000,,unmapped
35120M68K20000,,unmapped
35121M60M10000,,unmapped
35501M67P00000,,unmapped
3565064J21000,,unmapped
3565065J21000,,unmapped
3565077R00000,JIMNY,description_keyword_exact
3565079P00000,,unmapped
35650M66L00000,,unmapped
3567060K00000,,unmapped
3567079P00000,,unmapped
35671M68K00000,,unmapped
35671M75L00000,,unmapped
35750M53M00000,,unmapped
35750M66L00000,,unmapped
3625479P01000,,unmapped
3625486R20000,,unmapped
38450M76M00000,,unmapped
38453M75000000,,unmapped
39321M62S10000,,unmapped
41710M74L00000,,unmapped
4321078R010BK,,unmapped
43250M83P0027N,,unmapped
4325283S000PG,,unmapped
48150M68P10C48,,unmapped
57410M76M00000,,unmapped
57420M62S00000,,unmapped
57420M79G00000,,unmapped
5761065J10000,,unmapped
5761154P00000,,unmapped
57711M71P00000,,unmapped
57711M76M00000,,unmapped
58230M53M00000,,unmapped
58230M68K01000,,unmapped
5826077K00000,,unmapped
71711M53MA05PK,,unmapped
71711M53MA0799,,unmapped
71711M79M00799,,unmapped
71712M54T00000,,unmapped
71712M79M00000,,unmapped
7172160K005PK,,unmapped
7172177MJ05PK,,unmapped
7172186R105PK,,unmapped
71721M60MA05PK,,unmapped
7173154GA0000,,unmapped
7173171L00000,,unmapped
7173262R00000,,unmapped
7173271L00000,,unmapped
71732M66L005PK,,unmapped
7174073R10CUG,,unmapped
71740M56R00C48,,unmapped
7174160P005PK,,unmapped
71741M53MA05PK,,unmapped
71741M74L005PK,,unmapped
71741M76M105PK,,unmapped
71741M83P005PK,,unmapped
71744M76M100PG,,unmapped
71761M76MB0Z2S,,unmapped
7177164R005PK,,unmapped
71771M55T00000,,unmapped
71772M55T00000,,unmapped
7181179P00799,,unmapped
71811M53M00799,,unmapped
71811M66L005PK,,unmapped
71811M68K00799,,unmapped
71811M68P00799,,unmapped
7181365L00000,,unmapped
71822M79M00000,,unmapped
71823M68L00000,,unmapped
72310M68K00000,,unmapped
72312M55R00000,,unmapped
72312M68K00000,,unmapped
7232154P00000,,unmapped
72321M53M00000,,unmapped
72321M68K00000,,unmapped
72322M53M00000,,unmapped
7282165J00Z2S,,unmapped
73430M75J00P4Z,,unmapped
74120M66L10000,,unmapped
74461M79M005PK,,unmapped
76520M68P10000,,unmapped
76520M74K01000,,unmapped
7781158J000PG,,unmapped
82801M66L015PK,,unmapped
82802M66L015PK,,unmapped
82802M68K5026U,,unmapped
83924M68P100CB,,unmapped
83970M68P00000,,unmapped
8450152R02000,,unmapped
84740M79M00000,,unmapped
84940M68PC1BHE,,unmapped
09140M12040000,,unmapped
09209M09L02000,,unmapped
09409M08006000,,unmapped
17214M76M10000,,unmapped
35121M53MB0000,,unmapped
35121M62S30000,,unmapped
35121M67P10000,,unmapped
3532079P30000,,unmapped
35650M74L00000,,unmapped
3567064J20000,,unmapped
3567071L00000,,unmapped
3591075F12000,,unmapped
36250M74T15000,,unmapped
38450M74L10000,,unmapped
3925164J00000,,unmapped
3932152R00000,,unmapped
3932252R00000,,unmapped
43210M55T5027N,,unmapped
43210M55T60QC8,,unmapped
43250M62S0027N,,unmapped
43250M67K0027N,,unmapped
43252M67L00AQY,,unmapped
5730065811000,,unmapped
57300M53M00000,,unmapped
57300M67P00000,,unmapped
57410M79G00000,,unmapped
57420M67P00000,,unmapped
57420M74L00000,,unmapped
57611M55T00000,,unmapped
57611M67P01000,,unmapped
57711M67P01000,,unmapped
69100M67P10000,,unmapped
71711M66L005PK,,unmapped
71711M67P00799,,unmapped
71711M74L00799,,unmapped
71712M55T00000,,unmapped
71720M76M005PK,,unmapped
71721M75T005PK,,unmapped
71731M53M00000,,unmapped
71731M68K00000,,unmapped
71732M68K00000,,unmapped
71733M55T00000,,unmapped
71740M68T00C48,,unmapped
71743M76M100PG,,unmapped
71752M54T100PG,,unmapped
7177171L00000,,unmapped
71782M56R100PG,,unmapped
71782M66L00000,,unmapped
7182173K10000,,unmapped
71821M79M00000,,unmapped
7182273K10000,,unmapped
7182279P00000,,unmapped
7187186R000BK,,unmapped
72321M76M01000,,unmapped
7232271L00000,,unmapped
72398M68K00000,,unmapped
72420M80T00000,,unmapped
7619254P005PK,,unmapped
7733061M01000,,unmapped
77811M63T000PG,,unmapped
77831M68L000PG,SWIFT,description_keyword_exact
8185061J01000,,unmapped
8186061J01000,,unmapped
81860M68K00000,,unmapped
8212177K00000,,unmapped
82802M81A605PK,,unmapped
82850M76M005PK,,unmapped
8392152R010CE,,unmapped
83921M68P000CB,,unmapped
8392352R020CE,,unmapped
83923M68P000CB,,unmapped
8393061J005PK,,unmapped
83940M74L10000,,unmapped
84510M74L01000,,unmapped
84701M53M205PK,,unmapped
84701M68P515PK,,unmapped
8470261J025PK,,unmapped
84702M56R92ZHJ,,unmapped
84702M68P31ZHJ,,unmapped
8472865J00Z2S,,unmapped
8472880J00Z2S,,unmapped
8474061M00000,,unmapped
84740M76M00000,,unmapped
84920M68PB1BHE,,unmapped
95130M68K00000,,unmapped
95310M76M00000,,unmapped
0940907340000,,unmapped
11710M53M00000,,unmapped
35121M74L01000,,unmapped
35121M76M50000,,unmapped
35153M59K10000,,unmapped
35321M53MB0000,,unmapped
35650M53M00000,,unmapped
35650M67P00000,,unmapped
35651M68K00000,,unmapped
35651M76M00000,,unmapped
3567061M10000,,unmapped
43210M68P1009L,,unmapped
43210M79G5309L,,unmapped
57420M76M00000,,unmapped
57611M53M00000,,unmapped
57711M53M00000,,unmapped
58121M53M00000,,unmapped
58270M68K00000,,unmapped
58270M76M01000,,unmapped
71079M74T00000,,unmapped
7171154L10799,,unmapped
7171179P00799,,unmapped
71711M53MB05PK,,unmapped
71712M56R00000,,unmapped
7172161P005PK,,unmapped
7173163J20000,,unmapped
71731M66L005PK,,unmapped
71731M67P00000,,unmapped
71732M67P00000,,unmapped
71732M74T00000,,unmapped
71740M81R00C48,,unmapped
71741M75L005PK,,unmapped
71751M67P105PK,,unmapped
71752M83P00PWJ,,unmapped
7176179P105PK,,unmapped
71761M76MB0ZHJ,,unmapped
71771M56R100PG,,unmapped
71811M56R10799,,unmapped
71811M75L00799,,unmapped
72322M68K00000,,unmapped
72371M74L105PK,,unmapped
72433M56R00000,,unmapped
7248265J00000,,unmapped
73110M68P50ZCA,,unmapped
77161M68P00000,,unmapped
81850M68P10000,,unmapped
82801M68K005PK,,unmapped
84051M55T01000,,unmapped
84501M55T00000,,unmapped
84501M68P00000,,unmapped
84702M55TB0ZHJ,,unmapped
84702M62S20Z4Q,,unmapped
84702M74LC15PK,,unmapped
8471852R20ZVR,,unmapped
0911912012000,,unmapped
0928348007000,,unmapped
17100M62S00000,,unmapped
17700M83P00000,,unmapped
3532064J31000,,unmapped
35321M68K21000,,unmapped
3550054P01000,,unmapped
35650M75T00000,,unmapped
35750M67P00000,,unmapped
38450M68K00000,,unmapped
43210M68P60ZMQ,,unmapped
43250M81R1027N,,unmapped
57300M74L00000,,unmapped
57410M74L00000,,unmapped
5771065J10000,,unmapped
58280M68K00000,,unmapped
65500M55T10000,,unmapped
68001M62S12000,,unmapped
7171161P00799,,unmapped
71711M62S005PK,,unmapped
7172179P005PK,,unmapped
71721M56R005PK,,unmapped
71731M53MB0000,,unmapped
71733M74L00000,,unmapped
7175172S205PK,,unmapped
71751M83P105PK,,unmapped
71761M67P105PK,,unmapped
71811M56R00799,,unmapped
71822M75T00000,,unmapped
72411M74L10000,,unmapped
72431M68L00000,,unmapped
72437M68L00000,,unmapped
7343061J00P4Z,,unmapped
73821M67P305PK,,unmapped
81860M79G20000,,unmapped
83924M55T000CB,,unmapped
83932M68P000CB,,unmapped
84702M68P515PK,,unmapped
84702M79G30000,,unmapped
84730M79M00000,,unmapped
95310M53T00000,,unmapped
95310M55T00000,,unmapped
3532071L20000,,unmapped
57300M76M00000,,unmapped
57410M62S00000,,unmapped
5823052R00000,,unmapped
65561M74L00000,,unmapped
68001M55T20000,,unmapped
71721M74T005PK,,unmapped
71721M78R005PK,,unmapped
7174079S00C48,,unmapped
71762M54T100PG,,unmapped
72321M74L00000,,unmapped
72322M76M01000,,unmapped
72380M62S01000,,unmapped
7242252R00000,,unmapped
73831M68P005PK,,unmapped
7783154GB00PG,,unmapped
83922M55T000CB,,unmapped
83940M68P100PG,,unmapped
17700M76M10000,,unmapped
3532065J32000,,unmapped
35321M67P10000,,unmapped
35321M76M50000,,unmapped
4243163J10000,,unmapped
5742054P00000,,unmapped
58230M62S00000,,unmapped
71721M75L005PK,,unmapped
71721M84P005PK,,unmapped
71734M68L00000,,unmapped
71740M76MA0C48,,unmapped
71811M67P01799,,unmapped
7182179P00000,,unmapped
71821M68K00000,,unmapped
73821M62S205PK,,unmapped
77811M58J000PG,,unmapped
77851M54G000PG,,unmapped
84051M55T11000,,unmapped
84502M68P00000,,unmapped
8474065J00000,,unmapped
84740M74LC0000,,unmapped
69100M53M00000,,unmapped
71711M76M10799,,unmapped
7173263J20000,,unmapped
7174054L10D2W,,unmapped
71740M55T10C48,,unmapped
71741M53M005PK,,unmapped
71761M52R105PK,,unmapped
71811M75T00799,,unmapped
7232171L00000,,unmapped
7619171L005PK,,unmapped
81850M68K00000,,unmapped
84701M68P31ZHJ,,unmapped
84703M79M02000,,unmapped
84730M74LC0000,,unmapped
84740M74LE0000,,unmapped
71711M68K00799,,unmapped
71732M53M00000,,unmapped
71734M55T00000,,unmapped
7175186R000PG,,unmapped
71761M74T20ZAM,,unmapped
7177186R000PG,,unmapped
71811M76M00799,,unmapped
7182280J00000,,unmapped
71822M68K00000,,unmapped
