sku_id,month,demand,demand_type,row_is_collision,collision_flag,Country,Brand,Channel,REGION
01550M0612A,2022-04-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
09148M06022000,2025-01-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
0928017002000,2022-06-01,4.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
0928335036000,2023-04-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
0928340021000,2021-01-01,3.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
0938019004000,2021-05-01,1.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
09409063145PK,2021-11-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
09409063145PK,2024-08-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
0940909309000,2021-08-01,2.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
09409M07308P4Z,2023-01-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
09409M08308R8J,2026-01-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
09471M12182000,2025-02-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
1161061M01000,2026-03-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
11610M67P10000,2021-02-01,1.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
11620M67P00000,2021-08-01,1.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
11620M79F40000,2023-07-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
11710M65L00000,2023-08-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
11710M68K00000,2024-09-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
1172080JA0000,2022-12-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
17700M60M00000,2024-07-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
17760M67P00000,2024-09-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
17920M76M00000,2023-10-01,3.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
1793163J01000,2021-05-01,1.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
1793163J01000,2022-11-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
17931M71P00000,2021-05-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
1793276G00000,2022-04-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
1793276G00000,2025-07-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
27431M79F00000,2021-10-01,11.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
2811380J015PK,2024-02-01,4.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
28300M55R42000,2023-06-01,13.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
2961081A00000,2023-11-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
2961081A00000,2025-02-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3512052R21000,2021-12-01,3.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3512080G21000,2025-02-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35121M73T10000,2025-04-01,1.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35153M59K20000,2025-10-01,1.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3532052R20000,2021-02-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35602M73T00000,2024-10-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35603M79G30000,2021-03-01,4.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35604M84400000,2025-02-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35612M60B50000,2025-09-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35750M53T01000,2024-05-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35750M68P20000,2023-04-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3641054G01000,2021-09-01,1.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3641063J02000,2022-09-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
36410M60B30000,2023-06-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3658054P00000,2023-07-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
37736M79M00000,2023-12-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
38315M68K00000,2024-06-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3845071L10000,2024-08-01,4.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3845071L10000,2025-09-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
38452M65L00000,2026-03-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
3910268L01000,2023-05-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
4321052R5027N,2025-08-01,0.0,Lumpy,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
43210M55RH1QC8,2023-11-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
43210M62S0009L,2022-12-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
43210M68K1109L,2024-01-01,0.0,Lumpy,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
