sku_id,month,demand,demand_type,row_is_collision,COUNTRY_BRAND_CHANNEL,Country,Brand,Channel,REVENUE,COST,UNIT_PRICE,TOTAL_PROFIT,UNIT_COST,STOCK_END_MONTH,STOCK_START_MONTH,NEW_ENTRY_STOCK,Bank_Lending_Rate,Building_Permits,CPI_Housing_Utilities,CPI_Transportation,Car_Registrations,Consumer_Credit,Core_Consumer_Prices,Core_Inflation_Rate,Deposit_Interest_Rate,Employed_Persons,Employment_Rate,Food_Inflation,Housing_Index,Import_Prices,Imports,Industrial_Production_Mom,Inflation_Rate,Inflation_Rate_MoM,Interest_Rate,Labor_Force_Participation_Rate,Leading_Economic_Index,Minimum_Wages,Private_Sector_Credit,Producer_Prices,Producer_Prices_Change,Retail_Sales_MoM,Total_Vehicle_Sales,Unemployed_Persons,Unemployment_Rate,Wages,FAMILY_DESCRIPTION,SUBFAMILY_DESCRIPTION,MATERIAL_DESCRIPTION,CURRENCY,REGION,collision_flag
17700M53M20000,2024-08-01,2.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,432756.0,186617.0,216378.0,246139.0,93308.5,0.0,0.0,2.0,10.06,4106.0,,102.04,,29414.0,103.38,3.63,,9235.06,56.3,5.2,150.2,,6879.42,1.8,4.7,0.3,5.75,61.8,2.3,,227112.0,169.25,9.0,0.7,28335.0,902.37,8.9,6582.0,CARROCERIA,IMPACTO PRIMARIO,RADIADOR,USD,AMERICAS,COLLISION
3567060K00000,2025-03-01,4.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,301028.0,64796.0,75257.0,236232.0,16199.0,32.0,36.0,0.0,9.64,3944.0,,102.61,,30761.0,106.11,3.6,,9388.84,57.0,5.1,157.4,,6880.34,1.3,4.9,0.5,5.0,62.4,3.8,,233655.0,180.18,5.9,0.9,24000.0,895.673,8.7,6854.0,CARROCERIA,IMPACTO PRIMARIO,"FOCO TRAS IZQ (SGX,GL)",USD,AMERICAS,COLLISION
69420M68L00000,2026-01-01,3.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,68172.0,7086.0,22724.0,61086.0,2362.0,7.0,10.0,0.0,8.43,5981.0,,101.23,,32663.0,108.21,2.71,,9503.088,57.2,4.1,,,7361.0,-1.0,2.8,0.4,4.5,62.4,-0.5,,237431.0,206.65,14.2,-0.2,25301.0,858.444,8.3,7212.0,CARROCERIA,IMPACTO PRIMARIO,BISAGRA PTA TRAS IZQ,USD,AMERICAS,COLLISION
71711M79M00799,2025-09-01,0.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,,,,,,,,,8.6,6292.0,,102.2,,31303.0,107.35,3.36,,9377.617,56.6,4.9,156.9,,7520.0,-0.5,4.4,0.4,4.75,61.9,2.7,,238028.0,187.42,9.5,1.1,31871.0,874.388,8.5,7049.0,CARROCERIA,IMPACTO PRIMARIO,PARACHOQUE DEL,USD,AMERICAS,COLLISION
71721M60MA05PK,2024-07-01,3.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,224598.0,48531.0,74866.0,176067.0,16177.0,9.0,6.0,6.0,9.88,3893.0,,102.18,,29402.0,103.17,3.28,,9257.48,56.5,4.95,151.8,,7049.27,2.2,4.6,0.7,5.75,61.9,4.2,,227567.0,173.99,14.5,-3.0,25087.0,880.39,8.7,6565.0,CARROCERIA,IMPACTO PRIMARIO,REJILLA RADIADOR,USD,AMERICAS,COLLISION
71831M62S00000,2026-01-01,3.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,10563.0,4384.5,3521.0,6178.5,1461.5,7.0,0.0,10.0,8.43,5981.0,,101.23,,32663.0,108.21,2.71,,9503.088,57.2,4.1,,,7361.0,-1.0,2.8,0.4,4.5,62.4,-0.5,,237431.0,206.65,14.2,-0.2,25301.0,858.444,8.3,7212.0,CARROCERIA,IMPACTO PRIMARIO,SOPORTE PARACHOQUES TRAS DER,USD,AMERICAS,COLLISION
72312M55R00000,2025-09-01,6.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,3984.0,396.0,664.0,3588.0,66.0,65.0,72.0,-1.0,8.6,6292.0,,102.2,,31303.0,107.35,3.36,,9377.617,56.6,4.9,156.9,,7520.0,-0.5,4.4,0.4,4.75,61.9,2.7,,238028.0,187.42,9.5,1.1,31871.0,874.388,8.5,7049.0,CARROCERIA,ESTRUCTURA,SOPORTE VARIILLA CAPOT,USD,AMERICAS,COLLISION
72321M68K00000,2025-05-01,1.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,23043.0,7588.0,23043.0,15455.0,7588.0,0.0,0.0,1.0,9.28,3848.0,,102.62,,30851.0,106.82,3.7,,9346.212,56.6,4.6,159.5,,6973.26,1.2,4.4,0.2,5.0,62.2,3.2,,234947.0,179.38,1.6,-0.6,24337.0,917.923,8.9,6942.0,CARROCERIA,IMPACTO PRIMARIO,GUARDAFANGO DEL DERCH,USD,AMERICAS,COLLISION
72321M68K00000,2025-10-01,4.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,45380.0,14628.0,11345.0,30752.0,3657.0,18.0,15.0,7.0,8.6,7765.0,,102.21,,31764.0,107.19,2.99,,9386.41,56.7,3.1,158.1,,7986.0,-0.3,3.4,0.0,4.75,61.9,2.2,,237353.0,193.91,9.7,1.3,23531.0,866.097,8.4,7054.0,CARROCERIA,IMPACTO PRIMARIO,GUARDAFANGO DEL DERCH,USD,AMERICAS,COLLISION
72480M55R00000,2024-09-01,3.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,117387.0,24036.0,39129.0,93351.0,8012.0,13.0,15.0,1.0,9.66,5191.0,,101.75,,29293.0,103.86,3.7,,9243.4,56.3,3.6,151.5,,6037.0,-0.4,4.1,0.1,5.5,,0.3,,226904.0,171.21,8.2,0.6,25765.0,885.5,8.7,6648.0,CARROCERIA,ESTRUCTURA,GUARDAFANDO DEL IZQ GA SZK DZIRE A2N,USD,AMERICAS,COLLISION
72480M55R00000,2026-03-01,5.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,195645.0,34756.0,39129.0,160889.0,6951.2,26.0,31.0,0.0,8.02,,,103.97,,,109.19,2.9,,9434.192,56.7,3.5,,,7720.0,,6.8,1.0,4.5,62.3,,,,206.79,14.8,0.1,27358.0,925.111,17.0,,CARROCERIA,ESTRUCTURA,GUARDAFANDO DEL IZQ GA SZK DZIRE A2N,USD,AMERICAS,COLLISION
77831M56R000PG,2024-01-01,5.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,67960.0,7830.0,13592.0,60130.0,1566.0,0.0,0.0,5.0,12.71,4500.0,,99.33,,29443.0,101.19,3.73,,9273.43,56.9,5.27,155.9,,6522.24,2.0,3.8,0.7,7.25,62.1,2.4,,226055.52,160.57,0.8,2.6,25117.0,854.34,8.44,6753.0,CARROCERIA,IMPACTO PRIMARIO,EMBLEMA DZIRE SZK DZIRE A2N,USD,AMERICAS,COLLISION
09140M12040000,2025-04-01,20.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,,,,,,0.0,0.0,20.0,9.06,5262.0,,102.57,,30946.0,106.53,3.7,,9359.31,56.7,4.4,158.6,,7033.21,0.3,4.5,0.2,5.0,62.2,2.5,,234668.0,178.6,1.9,-0.1,26132.0,907.718,8.8,6914.0,CARROCERIA,ESTRUCTURA,TUERCA RUEDA,USD,AMERICAS,COLLISION
09409M08006000,2026-03-01,83.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,,,,,,985.0,1068.0,0.0,8.02,,,103.97,,,109.19,2.9,,9434.192,56.7,3.5,,,7720.0,,6.8,1.0,4.5,62.3,,,,206.79,14.8,0.1,27358.0,925.111,17.0,,CARROCERIA,ESTRUCTURA,CLIP MOLDURA,USD,AMERICAS,COLLISION
36250M74T15000,2025-02-01,1.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,,,,,,0.0,0.0,1.0,9.41,3656.0,,103.45,,30488.0,105.71,3.8,,9396.874,57.1,2.9,154.5,,6197.9,-0.6,4.7,0.4,5.0,62.3,-0.1,,232889.0,179.5,8.6,-1.2,21044.0,859.731,8.4,6822.0,CARROCERIA,IMPACTO PRIMARIO,FOCO PORTALON CENTRAL,USD,AMERICAS,COLLISION
3925164J00000,2024-03-01,3.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,96927.0,17860.0,32309.0,79067.0,5953.3335,0.0,0.0,3.0,12.39,6250.0,,101.04,,,102.38,3.3,,9308.69,57.0,4.29,152.9,,6122.71,-0.1,3.7,0.4,,62.4,0.5,,228170.0,170.14,8.8,-0.7,23525.0,884.55,8.7,6809.0,CARROCERIA,ESTRUCTURA,ANTENA RADIO,JPY,AMERICAS,COLLISION
68003M55R02000,2026-04-01,2.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,954384.0,192622.0,477192.0,761762.0,96311.0,6.0,9.0,-1.0,,,,,,,,,,,,,,,,,4.0,,8.75,,,,,,,,,,8.1,,CARROCERIA,IMPACTO PRIMARIO,PUERTA TRAS DER,USD,AMERICAS,COLLISION
71712M55T00000,2024-04-01,5.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,4160.0,4549.0,832.0,-389.0,909.8,0.0,0.0,5.0,11.56,7051.0,,102.17,,,102.69,3.22,,9339.3,57.1,4.72,152.4,,6543.44,-1.3,4.0,0.5,6.5,62.5,3.7,,228015.77,175.31,12.6,1.5,25490.0,870.24,8.5,6298.0,CARROCERIA,ESTRUCTURA,TAPA GANCHO ARRASTRE DEL,USD,AMERICAS,COLLISION
71721M60MA05PK,2025-09-01,3.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,250749.0,38664.0,83583.0,212085.0,12888.0,25.0,21.0,7.0,8.6,6292.0,,102.2,,31303.0,107.35,3.36,,9377.617,56.6,4.9,156.9,,7520.0,-0.5,4.4,0.4,4.75,61.9,2.7,,238028.0,187.42,9.5,1.1,31871.0,874.388,8.5,7049.0,CARROCERIA,IMPACTO PRIMARIO,REJILLA RADIADOR,USD,AMERICAS,COLLISION
71721M75T005PK,2025-11-01,22.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,425018.0,107841.0,19319.0,317177.0,4901.864,58.0,80.0,0.0,8.56,6379.0,,102.94,,31944.0,107.62,2.87,,9401.58,56.7,3.6,161.2,,7147.0,0.1,3.4,0.3,4.75,61.9,1.2,,238210.0,192.36,8.9,-0.3,25620.0,864.882,8.4,7091.0,CARROCERIA,IMPACTO PRIMARIO A,PARACHOQUES DEL INF,USD,AMERICAS,COLLISION
7173279M00000,2024-12-01,3.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,41718.0,7572.0,13906.0,34146.0,2524.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,CARROCERIA,IMPACTO PRIMARIO,RETENEDOR PARACHOQUE DELT IZQ,USD,AMERICAS,COLLISION
71743M76M100PG,2024-02-01,1.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,20575.0,3149.0,20575.0,17426.0,3149.0,0.0,0.0,1.0,12.08,3645.0,,100.74,,,101.84,4.22,,9309.61,57.0,5.68,156.8,,6015.58,0.1,4.5,0.6,7.25,62.3,4.1,,227269.38,165.26,6.4,-0.5,22450.0,865.3,8.5,6754.0,CARROCERIA,IMPACTO PRIMARIO,BISEL MASCARA SUP IZQ,USD,AMERICAS,COLLISION
72420M80T00000,2025-11-01,0.0,Erratic,True,CHILE_SUZUKI_WHOLESALE,CHILE,SUZUKI,DISTRIBUTION,,,,,,,,,8.56,6379.0,,102.94,,31944.0,107.62,2.87,,9401.58,56.7,3.6,161.2,,7147.0,0.1,3.4,0.3,4.75,61.9,1.2,,238210.0,192.36,8.9,-0.3,25620.0,864.882,8.4,7091.0,CARROCERIA,IMPACTO PRIMARIO B,GUARDAFANGO DEL IZQ,USD,AMERICAS,COLLISION
