policy,block_start,cutoff,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct
sku_only,2024-02-01,2023-10-01,615,363,156,226,266,0.4297520661157025,0.6225895316804407,56.32815361022949,100.0,0.4444444444444444,106.58669760270452,1330.0,1815.8808078325821,36.53239156635956
hierarchical_75,2024-02-01,2023-10-01,615,363,182,247,290,0.5013774104683195,0.6804407713498623,49.642413854599,83.48490446805954,0.4811359643936157,102.4211573667315,1330.0,1775.9898330183419,33.53307015175503
hierarchical_50,2024-02-01,2023-10-01,615,363,187,252,294,0.5151515151515151,0.6942148760330579,47.93965816497803,83.08080236117047,0.4688833355903626,98.48842528934294,1330.0,1728.841822906647,29.988106985462174
frequency_champion,2024-02-01,2023-10-01,615,363,215,279,322,0.5922865013774105,0.768595041322314,39.879387617111206,66.94016257921854,0.4110333794041684,85.3004617731374,1330.0,1352.3372950851917,1.6794958710670471
strategy_tier_champion,2024-02-01,2023-10-01,615,363,209,275,318,0.5757575757575758,0.7575757575757576,40.97058176994324,68.9443290233612,0.42390992564539753,86.29625336792236,1330.0,1384.521156579256,4.099335081147072
sku_global_blend_75,2024-02-01,2023-10-01,615,363,177,232,291,0.48760330578512395,0.6391184573002755,51.920589208602905,85.32962096321867,0.46178269386291504,100.44147912631902,1330.0,1733.3198850644405,30.3248033883038
sku_global_blend_50,2024-02-01,2023-10-01,615,363,189,249,297,0.5206611570247934,0.6859504132231405,47.247037291526794,80.0270361204942,0.47358849603789255,95.220030085964,1330.0,1650.758962296299,24.11721521024804
sku_only,2024-05-01,2024-01-01,630,414,178,230,270,0.42995169082125606,0.5555555555555556,60.193451046943665,100.0,0.4047890557794009,104.6852240423283,1678.0,1683.8884992161804,0.3509236720012178
hierarchical_75,2024-05-01,2024-01-01,630,414,190,245,327,0.45893719806763283,0.5917874396135265,51.890281836191804,92.62834280729294,0.4179419040679932,104.40813452514868,1678.0,1754.7668188075188,4.574899809744863
hierarchical_50,2024-05-01,2024-01-01,630,414,200,259,342,0.4830917874396135,0.6256038647342995,50.0,89.72504607268742,0.40246034622192384,97.60551991059614,1678.0,1565.794551067768,-6.6868563130054826
frequency_champion,2024-05-01,2024-01-01,630,414,213,262,323,0.5144927536231884,0.6328502415458938,49.12707209587097,93.7878787878788,0.40128815174102805,94.50228571827508,1678.0,1465.1452474565733,-12.68502696921494
strategy_tier_champion,2024-05-01,2024-01-01,630,414,205,254,311,0.49516908212560384,0.6135265700483091,50.428397456804916,98.50466251373292,0.41666666666666674,101.2743149263322,1678.0,1625.3381295573145,-3.138371301709508
sku_global_blend_75,2024-05-01,2024-01-01,630,414,193,240,330,0.46618357487922707,0.5797101449275363,56.42590942707929,97.53296282142401,0.4127258062362671,100.11638780501886,1678.0,1623.119733360366,-3.270576081027062
sku_global_blend_50,2024-05-01,2024-01-01,630,414,200,254,338,0.4830917874396135,0.6135265700483091,52.11070435387748,92.83781991828054,0.4162305613695565,96.06158151326322,1678.0,1562.3509675045518,-6.892075834055316
