segment,bias_direction,skus,actual_units,forecast_units,absolute_error
cold_start,overforecast,12,93.0,131.4444363763668,130.0318663893654
cold_start,underforecast,28,682.0,339.34444560830536,570.840690386554
developing,overforecast,12,59.0,202.71918223142373,173.1279252900641
developing,underforecast,14,576.0,239.78581928358827,364.6597313217437
dormant,balanced,2,2.0,2.0,2.0
dormant,overforecast,39,106.0,509.3458164117861,491.34654574225016
dormant,underforecast,12,80.0,36.166666666666664,88.33333333333334
new,overforecast,14,210.0,333.1558549953613,248.44167847642046
new,underforecast,25,964.0,529.2410077633704,581.8502850863576
occasional,overforecast,67,120.0,346.83565403223787,390.6949785750182
occasional,underforecast,49,557.0,183.2293854212077,596.8476206899692
rare,balanced,8,0.0,0.0,0.0
rare,overforecast,24,12.0,92.1364728770936,92.1364728770936
rare,underforecast,24,150.0,31.499014295681466,145.3695477134244
recurring,overforecast,121,698.0,1227.6314096683782,858.5358301903157
recurring,underforecast,239,4802.0,2234.432869762197,3483.922361163513
