sku_id,abc_units_tier
021620616A000,A
0911912007000,A
0914806007000,B
0915912079000,A
0915918024000,C
0915924009000,C
0916435003000,A
0928314005000,C
0928948004000,A
0938168001000,C
09409063095ES,A
0940910318000,B
1161060R00000,C
1161061M01000,B
1161073K00000,A
11620M67P00000,C
11710M68K10000,C
1172080JA0000,C
1787880G00000,C
1793160A10000,C
28113M62S015PK,C
28300M55R42000,C
3515379P00000,C
3532080G21000,C
35604M84400000,C
3565050J10000,B
3611050A30000,C
3613050A30000,C
3641075F01000,C
3641275F00000,C
38330M68K01000,C
3834062R30000,C
38452M68K00000,C
38480M68P01000,C
3882151K02000,C
3882165J00000,B
3910268L01000,C
39322M56R00000,C
3F11579S10ZWG,C
41710M76M00000,B
4311052R71000,C
4321057M100BK,B
4321071L91QC8,B
4321079K510BK,B
4325065DA1C48,C
4325079P00ZH1,B
4325251K20DB7,B
4325283S00CZ2,C
44119M53M00000,B
4982162A51000,B
57711M79G10000,C
58230M79G01000,B
61513M56R01000,C
65500M79M00000,C
68001M74L21000,B
6800280820000,C
69330M74L00000,B
69410M74L00000,C
6942063J00000,C
71074M79M00C48,C
71091M843005PK,C
7171177K70799,C
7171284A10W07,C
7171584A00ZM2,A
7171754GA0000,A
71740M50S00C48,C
71742M79G000PG,C
71744M53M00000,C
7175163J105PK,C
71751M67P005PK,B
7178254P00000,C
7178277KA05PK,B
7179154P00000,C
7181165DD1799,A
7181172L10799,C
71811M68P30799,C
72111M8440009E,C
7231282K00000,C
72312M79M00000,C
7252261M00000,C
7287078A33000,A
73820M55R60PSG,C
7382273R505PK,B
7382276J00ZCP,C
76237M70F005PK,A
77171M68L00000,C
7724061M005PK,C
7783179J000PG,C
77832M67P000PG,C
8183065J02000,C
81850M79G10000,C
81860M79G10000,C
82160M67P10000,C
82200M84880000,C
8228061810000,C
8228076872000,C
82504M84500000,B
82510M53M00000,C
8276161A00000,C
83101M53M10GCY,C
8344060A00000,C
83755M74L005PK,B
83811M74L01000,B
83922M68P000CB,C
83940M74L00000,C
83943M68P00000,C
8450162R02000,C
8450171L02000,C
8458080J01000,B
84701M53M005PK,C
8471573K00RX0OTS,B
8473077MB1000,C
8480254P446GS,C
8485165D006GS,B
87205M79G51000,C
87211M76G00T01,B
