segment,planning_action,skus,positive_skus,underforecast_escalations,actual_units,forecast_units
cold_start,exception_or_inventory_policy,19,19,7,291.0,207.04645219700404
cold_start,forecast_led_replenishment,1,1,0,17.0,13.019857647997751
cold_start,forecast_with_planner_review,9,9,0,207.0,111.85944666720573
cold_start,manual_approval_before_replenishment,11,11,11,260.0,138.86312547246467
developing,exception_or_inventory_policy,10,8,0,24.0,159.93760123904687
developing,forecast_led_replenishment,3,3,0,105.0,70.44588828882131
developing,forecast_with_planner_review,9,9,0,260.0,138.80327349894654
developing,manual_approval_before_replenishment,4,4,4,246.0,73.3182384881973
dormant,lifecycle_and_reactivation_review,53,45,0,188.0,547.5124830784528
new,exception_or_inventory_policy,8,8,0,97.0,192.92297679667254
new,forecast_led_replenishment,6,6,0,180.0,131.70846252177094
new,forecast_with_planner_review,19,19,0,749.0,398.87551042919495
new,manual_approval_before_replenishment,6,6,2,148.0,138.88991301109328
occasional,exception_or_inventory_policy,94,81,31,379.0,446.2340238319017
occasional,forecast_led_replenishment,2,2,0,10.0,10.378245234489441
occasional,forecast_with_planner_review,2,2,0,9.0,7.388676762580872
occasional,manual_approval_before_replenishment,18,18,16,279.0,66.06409362447351
rare,exception_or_inventory_policy,45,22,14,100.0,99.31854231090678
rare,forecast_with_planner_review,4,4,0,29.0,14.682890953773308
rare,manual_approval_before_replenishment,7,7,6,33.0,9.634053908094975
recurring,exception_or_inventory_policy,89,87,22,472.0,746.518171307037
recurring,forecast_led_replenishment,51,51,0,652.0,490.1990377467227
recurring,forecast_with_planner_review,100,100,0,1569.0,1009.3764246299788
recurring,manual_approval_before_replenishment,120,120,86,2807.0,1215.9706457468367
