cohort,base_model_key,variant_id,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,under_100_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct
recurring_a,block_sba,block_sba__baseline__s0.75,215,213,41,102,149,0.19248826291079812,0.4788732394366197,0.6995305164319249,72.72727272727273,114.84422082716308,0.39264010616346057,84.24508850267544,4299.0,4518.446936598989,5.1046042474759
recurring_a,block_tsb,block_tsb__baseline__s0.75,215,213,41,98,154,0.19248826291079812,0.460093896713615,0.7230046948356808,71.42857142857143,109.9859971993506,0.379950150317047,83.60577045751742,4299.0,4525.181841049143,5.261266365413893
recurring_a,block_recent6,block_recent6__baseline__s0.75,215,213,25,101,159,0.11737089201877934,0.47417840375586856,0.7464788732394366,71.15384615384616,100.0,0.3742424242424242,81.51314259130031,4299.0,3881.25,-9.717376133984647
recurring_a,block_seasonal,block_seasonal__baseline__s0.75,215,213,17,43,75,0.07981220657276995,0.20187793427230047,0.352112676056338,138.125,267.4342105263158,0.7731854838709677,166.76116538729937,4299.0,9403.5625,118.73836938822983
recurring_a,block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s0.75,215,213,22,98,187,0.10328638497652583,0.460093896713615,0.8779342723004695,71.35126861658964,83.33965241909027,0.35258860155647875,79.34002709627207,4299.0,1885.320662856102,-56.14513461604787
recurring_a,block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s0.75,215,213,25,102,183,0.11737089201877934,0.4788732394366197,0.8591549295774648,71.3139628109179,82.5064108652227,0.36927818782157723,77.88450720560331,4299.0,2269.484525978565,-47.209013119828676
recurring_a,block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__none__b0.00__s0.75,215,213,26,101,183,0.12206572769953052,0.47417840375586856,0.8591549295774648,71.21264163185569,83.16708436379066,0.3554417834625587,79.134792949078,4299.0,1969.0779396891594,-54.19683787650246
recurring_a,block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s0.75,215,213,36,111,178,0.16901408450704225,0.5211267605633803,0.8356807511737089,68.570867744652,82.60614701679775,0.34380240616975005,76.72720992806401,4299.0,2707.362456679344,-37.02343669040837
recurring_b,block_sba,block_sba__baseline__s0.75,110,110,8,38,63,0.07272727272727272,0.34545454545454546,0.5727272727272728,89.85216488502462,121.5387953379942,0.40720365642777,89.29528848452698,1023.0,1019.4343864463032,-0.34854482440829276
recurring_b,block_tsb,block_tsb__baseline__s0.75,110,110,10,39,67,0.09090909090909091,0.35454545454545455,0.6090909090909091,83.94525224375926,114.54117130227253,0.3898075755669829,88.1280367132667,1023.0,892.5521036512401,-12.751505019429116
recurring_b,block_recent6,block_recent6__baseline__s0.75,110,110,5,25,62,0.045454545454545456,0.22727272727272727,0.5636363636363636,89.64285714285714,103.375,0.3737938596491228,88.85630498533725,1023.0,616.5,-39.73607038123167
recurring_b,block_seasonal,block_seasonal__baseline__s0.75,110,110,1,4,23,0.00909090909090909,0.03636363636363636,0.20909090909090908,156.11607142857144,323.99305555555554,0.7765299479166667,174.73729227761487,1023.0,2200.8125,115.13318670576736
recurring_b,block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s0.75,110,110,10,31,84,0.09090909090909091,0.2818181818181818,0.7636363636363637,79.57237662233379,97.70288952759334,0.33877025941417394,83.62361361961794,1023.0,505.5685964524746,-50.57980484335537
recurring_b,block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s0.75,110,110,7,29,84,0.06363636363636363,0.2636363636363636,0.7636363636363637,81.30217707405487,99.47556676343083,0.3454762115531291,85.0652430239311,1023.0,475.7529262006283,-53.49433761479685
recurring_b,block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s0.75,110,110,10,33,85,0.09090909090909091,0.3,0.7727272727272727,79.76254260901248,99.13832005113363,0.34172747162721495,83.29714520061471,1023.0,525.7469469606876,-48.60733656298264
recurring_b,block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s0.75,110,110,15,38,71,0.13636363636363635,0.34545454545454546,0.6454545454545455,82.79049202799797,110.09086849683887,0.3809367121621492,85.13400009009379,1023.0,835.7830388247967,-18.300778218494948
