base_model_key,variant_id,variant_mode,calibration_scale,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,under_100_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct,abs_bias_pct,cohort
block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s0.75,direct,0.75,215,215,101,166,210,0.4697674418604651,0.772093023255814,0.9767441860465116,51.50731927470157,68.86897222201029,0.44984891197898164,56.89487567845061,6830.0,4939.477406322956,-27.679686583851304,27.679686583851304,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s0.75,soft,0.75,215,215,78,171,215,0.3627906976744186,0.7953488372093023,1.0,55.109158315156634,66.88895484675533,0.48865471482276907,58.58302659119205,6830.0,4279.451792538166,-37.34331196869449,37.34331196869449,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s0.75,soft,0.75,215,215,82,171,214,0.3813953488372093,0.7953488372093023,0.9953488372093023,55.25054931640625,67.37674096051384,0.4908192722420944,59.725272784645,6830.0,3878.0404317379,-43.22049148260761,43.22049148260761,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__none__b0.00__s0.75,soft,0.75,215,215,83,172,214,0.386046511627907,0.8,0.9953488372093023,54.16676092147827,66.42268185645065,0.4786645174026489,59.1574887632451,6830.0,3905.9634286165237,-42.81166283138325,42.81166283138325,recurring_a
block_recent6,block_recent6__baseline__s0.75,baseline,0.75,215,215,80,140,193,0.37209302325581395,0.6511627906976745,0.8976744186046511,58.333333333333336,78.86273209549071,0.5092592592592592,65.1885065885798,6830.0,6662.625,-2.4505856515373354,2.4505856515373354,recurring_a
block_sba,block_sba__baseline__s0.75,baseline,0.75,215,215,90,150,199,0.4186046511627907,0.6976744186046512,0.9255813953488372,54.7049594850329,75.4899996056102,0.5060164070516064,63.26060908679765,6830.0,7007.997014767128,2.606105633486506,2.606105633486506,recurring_a
block_seasonal,block_seasonal__baseline__s0.75,baseline,0.75,215,215,40,94,158,0.18604651162790697,0.4372093023255814,0.7348837209302326,75.0,106.00961538461539,0.7361111111111112,101.67956494457228,6830.0,10619.071428571428,55.47688768040157,55.47688768040157,recurring_a
block_tsb,block_tsb__baseline__s0.75,baseline,0.75,215,215,87,141,193,0.4046511627906977,0.6558139534883721,0.8976744186046511,57.81338380049911,77.47786878742238,0.5218285932830666,64.55068672520386,6830.0,7447.464885110026,9.040481480381061,9.040481480381061,recurring_a
block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s0.75,direct,0.75,110,110,27,55,89,0.24545454545454545,0.5,0.8090909090909091,69.95442687955676,93.31566624343395,0.45240969005085174,72.35880088897385,1568.0,1754.2754257917404,11.879810318350792,11.879810318350792,recurring_b
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s0.75,soft,0.75,110,110,33,72,97,0.3,0.6545454545454545,0.8818181818181818,60.790249918188366,79.97960136996375,0.3940710817137335,68.21570404330079,1568.0,1281.044946718216,-18.30070492868521,18.30070492868521,recurring_b
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s0.75,expected,0.75,110,110,34,73,99,0.3090909090909091,0.6636363636363637,0.9,61.65720181805747,80.19909846662271,0.38636621785729297,65.97492603243006,1568.0,1274.225752055645,-18.735602547471622,18.735602547471622,recurring_b
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s0.75,expected,0.75,110,110,34,67,100,0.3090909090909091,0.6090909090909091,0.9090909090909091,62.514816323916115,77.92340468276632,0.3978494647227728,66.62395308364411,1568.0,1268.2780789136887,-19.114918436626997,19.114918436626997,recurring_b
block_recent6,block_recent6__baseline__s0.75,baseline,0.75,110,110,18,52,87,0.16363636363636364,0.4727272727272727,0.7909090909090909,70.09615384615384,95.29485887096774,0.42370689655172417,82.4952168367347,1568.0,1750.275,11.624681122448985,11.624681122448985,recurring_b
block_sba,block_sba__baseline__s0.75,baseline,0.75,110,110,25,50,90,0.22727272727272727,0.45454545454545453,0.8181818181818182,73.03835764094862,91.36697369793517,0.39843377105129574,77.7301333662746,1568.0,1872.8395987961562,19.44130094363241,19.44130094363241,recurring_b
block_seasonal,block_seasonal__baseline__s0.75,baseline,0.75,110,110,6,26,58,0.05454545454545454,0.23636363636363636,0.5272727272727272,96.59926470588235,151.33928571428572,0.59296875,113.70535714285714,1568.0,2561.4,63.354591836734706,63.354591836734706,recurring_b
block_tsb,block_tsb__baseline__s0.75,baseline,0.75,110,110,19,53,86,0.17272727272727273,0.4818181818181818,0.7818181818181819,71.8976351472345,92.02415541841901,0.4103147402566415,78.5542214642427,1568.0,1894.241897264043,20.806243447961926,20.806243447961926,recurring_b
