candidate_column,candidate_id,cohort
candidate_00,sba_a0.30__w30__classical__s0.75,recurring_a
candidate_01,sba_a0.30__w24__classical__s0.75,recurring_a
candidate_02,sba_a0.30__w36__classical__s0.75,recurring_a
candidate_03,sba_a0.30__w48__classical__s0.75,recurring_a
candidate_04,direct_d3_regularized__w18__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_a
candidate_05,direct_d2_base_p135__w18__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_a
candidate_06,direct_d2_base_p120__w18__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_a
candidate_07,direct_d1_short_p120__w18__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_a
candidate_08,hurdle_d1_sqrt_log__w18__soft__p1.25__t0.00__s1.00__none__b0.00,recurring_a
candidate_09,hurdle_d3_sqrt_log__w18__soft__p1.25__t0.00__s1.00__none__b0.00,recurring_a
candidate_10,hurdle_d2_sqrt_tweedie__w18__soft__p0.50__t0.00__s0.75__none__b0.00,recurring_a
candidate_11,hurdle_d2_full_log__w18__soft__p0.50__t0.00__s1.00__none__b0.00,recurring_a
candidate_12,direct_d2_base_p135__w48__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_a
candidate_00,sba_a0.30__w24__classical__s0.75,recurring_b
candidate_01,sba_a0.30__w36__classical__s0.75,recurring_b
candidate_02,sba_a0.30__w48__classical__s0.75,recurring_b
candidate_03,sba_a0.30__w30__classical__s0.75,recurring_b
candidate_04,direct_d3_regularized__w30__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_b
candidate_05,direct_d2_fast_p135__w30__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_b
candidate_06,direct_d1_short_p120__w18__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_b
candidate_07,direct_d2_fast_p135__w36__direct__p1.00__t0.00__s0.75__none__b0.00,recurring_b
candidate_08,hurdle_d1_sqrt_log__w18__soft__p1.25__t0.00__s0.75__none__b0.00,recurring_b
candidate_09,hurdle_d2_full_log__w18__soft__p0.75__t0.00__s0.75__none__b0.00,recurring_b
candidate_10,hurdle_d3_sqrt_log__w18__expected__p1.00__t0.00__s0.75__none__b0.00,recurring_b
candidate_11,hurdle_d2_sqrt_log__w36__expected__p1.00__t0.00__s0.75__none__b0.00,recurring_b
candidate_12,hurdle_d2_sqrt_log__w48__soft__p0.75__t0.00__s1.00__none__b0.00,recurring_b
