cohort,strategy,positive_skus_development,under_70_development,under_50_development,median_wmape_development,positive_skus_validation,under_70_validation,under_50_validation,median_wmape_validation,below_70_rate_development,below_70_rate_validation,below_70_rate_drop,overfit_flag
recurring_a,router_soft,215,175,103,51.50819293291746,215,134,94,56.596776042451026,0.813953488372093,0.6232558139534884,0.19069767441860463,True
recurring_a,median,215,175,98,51.92428319169918,215,137,91,56.76966947959843,0.813953488372093,0.6372093023255814,0.17674418604651165,True
recurring_a,mean,215,173,102,50.96769302652088,215,134,93,56.858341495637205,0.8046511627906977,0.6232558139534884,0.1813953488372093,True
recurring_a,trimmed_mean,215,172,103,51.09086305365606,215,134,93,57.45809444048056,0.8,0.6232558139534884,0.17674418604651165,True
recurring_a,router_linear_blend,215,165,95,53.94600805996744,215,129,99,55.684768162024724,0.7674418604651163,0.6,0.16744186046511633,True
recurring_a,router_hard,215,159,91,54.263535514473915,215,133,98,55.53770620331038,0.7395348837209302,0.6186046511627907,0.1209302325581395,False
recurring_a,xgb_tweedie,215,150,83,56.35238374982561,215,116,83,64.09514745076497,0.6976744186046512,0.5395348837209303,0.1581395348837209,True
recurring_a,linear_residual_hgb,215,145,81,58.31189601534885,215,122,83,62.03282383550308,0.6744186046511628,0.5674418604651162,0.10697674418604652,False
recurring_a,positive_elastic,215,141,88,58.190111428048276,215,121,96,58.90717367277053,0.6558139534883721,0.5627906976744186,0.09302325581395354,False
recurring_a,positive_linear,215,141,87,58.48964905110185,215,121,96,58.85914157663103,0.6558139534883721,0.5627906976744186,0.09302325581395354,False
recurring_a,random_forest,215,139,79,59.461988497330644,215,113,81,66.50484196327355,0.6465116279069767,0.5255813953488372,0.1209302325581395,False
recurring_a,hist_poisson,215,137,73,61.93830738877148,215,108,72,69.63636537416184,0.6372093023255814,0.5023255813953489,0.1348837209302325,False
recurring_b,median,110,71,36,60.118453784161645,104,48,41,82.001996915787,0.6454545454545455,0.46153846153846156,0.18391608391608394,True
recurring_b,router_soft,110,70,35,60.68217161760476,104,48,39,83.04068813255864,0.6363636363636364,0.46153846153846156,0.1748251748251748,True
recurring_b,trimmed_mean,110,69,36,60.64760136656876,104,49,39,82.81327220677417,0.6272727272727273,0.47115384615384615,0.15611888111888117,True
recurring_b,mean,110,68,36,60.37585947016019,104,49,40,82.63565787806148,0.6181818181818182,0.47115384615384615,0.14702797202797202,False
recurring_b,router_hard,110,65,35,63.17681184656371,104,37,32,94.12666186777994,0.5909090909090909,0.3557692307692308,0.23513986013986016,True
recurring_b,xgb_tweedie,110,63,20,64.51725340806522,104,39,32,94.9428528547287,0.5727272727272728,0.375,0.19772727272727275,True
recurring_b,router_linear_blend,110,61,33,64.47441560199573,104,44,38,88.24755939922292,0.5545454545454546,0.4230769230769231,0.1314685314685315,False
recurring_b,random_forest,110,59,29,66.22949677158827,104,40,33,96.57237927208243,0.5363636363636364,0.38461538461538464,0.15174825174825174,True
recurring_b,hist_poisson,110,57,23,69.18741705956528,104,41,32,93.23926889081426,0.5181818181818182,0.3942307692307692,0.12395104895104897,False
recurring_b,positive_elastic,110,51,22,71.76343706547141,104,41,33,98.83661754984898,0.4636363636363636,0.3942307692307692,0.0694055944055944,False
recurring_b,positive_linear,110,51,22,72.28450762475957,104,41,33,98.76912201392344,0.4636363636363636,0.3942307692307692,0.0694055944055944,False
recurring_b,linear_residual_hgb,110,50,21,72.62960539309526,104,38,28,103.89948512436905,0.45454545454545453,0.36538461538461536,0.08916083916083917,False
