sku_id,tournament_cohort,optimization_segment
083313124A000,recurring_b,recurring_b__single__stable
0915918022000,recurring_a,recurring_a__multi__volatile
0928017002000,recurring_a,recurring_a__multi__volatile
0928022020000,recurring_b,recurring_b__single__stable
0928056004000,recurring_a,recurring_a__multi__volatile
0928326016000,recurring_a,recurring_a__multi__volatile
0928340021000,recurring_a,recurring_a__multi__stable
0928340027000,recurring_a,recurring_a__multi__stable
0928345012000,recurring_a,recurring_a__multi__stable
0928906003000,recurring_a,recurring_a__multi__stable
0932010024000,recurring_a,recurring_a__multi__stable
0938019004000,recurring_b,recurring_b__other
0940307333000,recurring_b,recurring_b__other
09403M07311000,recurring_a,recurring_a__multi__stable
09409063145PK,recurring_b,recurring_b__other
0940907332000,recurring_a,recurring_a__multi__volatile
0940908327000,recurring_a,recurring_a__multi__stable
09409M07L025PK,recurring_a,recurring_a__multi__volatile
09409M15L01000,recurring_a,recurring_a__multi__volatile
0947112236000,recurring_a,recurring_a__multi__stable
09471M12182000,recurring_a,recurring_a__multi__volatile
11610M65L00000,recurring_a,recurring_a__multi__stable
11610M67P10000,recurring_a,recurring_a__multi__volatile
11610M76M00000,recurring_a,recurring_a__multi__stable
11610M79G50000,recurring_a,recurring_a__multi__stable
11620M68K00000,recurring_b,recurring_b__other
11620M79F40000,recurring_a,recurring_a__multi__volatile
11710M65L00000,recurring_a,recurring_a__multi__stable
11710M68K00000,recurring_b,recurring_b__other
11710M76M00000,recurring_a,recurring_a__multi__stable
11710M79F80000,recurring_a,recurring_a__multi__volatile
1428180JA0000,recurring_a,recurring_a__multi__stable
15910M79GB1000,recurring_a,recurring_a__multi__volatile
15910M79GC0000,recurring_b,recurring_b__other
1711279P01000,recurring_b,recurring_b__single__stable
1770054P30000,recurring_b,recurring_b__other
1770079P21000,recurring_b,recurring_b__multi__stable
1770081P00000,recurring_b,recurring_b__single__stable
17700M60M00000,recurring_a,recurring_a__multi__volatile
17700M67L00000,recurring_a,recurring_a__multi__stable
17700M67P00000,recurring_a,recurring_a__multi__stable
17700M79F02000,recurring_b,recurring_b__multi__stable
17760M67P00000,recurring_a,recurring_a__multi__stable
1781254G00000,recurring_a,recurring_a__multi__stable
17861M68P00000,recurring_a,recurring_a__multi__stable
17878M74L00000,recurring_a,recurring_a__multi__stable
17920M76M00000,recurring_a,recurring_a__multi__stable
1793163J01000,recurring_b,recurring_b__other
17931M71P00000,recurring_a,recurring_a__multi__stable
1793276G00000,recurring_b,recurring_b__single__stable
27431M79F00000,recurring_a,recurring_a__multi__stable
2811380J015PK,recurring_a,recurring_a__other
2818084A20000,recurring_b,recurring_b__single__stable
33690M60M00000,recurring_a,recurring_a__multi__stable
3512052R21000,recurring_a,recurring_a__multi__stable
3512052S10000,recurring_a,recurring_a__multi__stable
3512062R60000,recurring_b,recurring_b__multi__stable
3512080G21000,recurring_b,recurring_b__multi__stable
35121M66L10000,recurring_a,recurring_a__multi__stable
3515365J00000,recurring_a,recurring_a__multi__volatile
35153M59K20000,recurring_a,recurring_a__multi__volatile
35153M75L00000,recurring_a,recurring_a__multi__volatile
3532052R20000,recurring_b,recurring_b__multi__stable
3532077R10000,recurring_a,recurring_a__multi__stable
35321M60M10000,recurring_a,recurring_a__multi__stable
35321M66L10000,recurring_b,recurring_b__other
3550065P02000,recurring_a,recurring_a__multi__stable
3552686R20000,recurring_a,recurring_a__multi__stable
35603M79G30000,recurring_b,recurring_b__multi__stable
3560461J10000,recurring_b,recurring_b__single__stable
35650M60M00000,recurring_b,recurring_b__other
35651M79M00000,recurring_a,recurring_a__other
35671M79G30000,recurring_a,recurring_a__multi__volatile
35671M79G40000,recurring_a,recurring_a__multi__stable
3570186R00000,recurring_a,recurring_a__other
3570273R10000,recurring_b,recurring_b__multi__stable
3591075F31000,recurring_a,recurring_a__multi__stable
35910M74L01000,recurring_a,recurring_a__multi__stable
36230M70CA1000,recurring_b,recurring_b__other
3627479P01000,recurring_a,recurring_a__multi__stable
3641054G01000,recurring_a,recurring_a__multi__stable
3641063J02000,recurring_a,recurring_a__multi__stable
36410M67K10000,recurring_a,recurring_a__multi__volatile
3658354P01000,recurring_a,recurring_a__multi__volatile
37019M79MK0000,recurring_b,recurring_b__multi__stable
