trial_id,recipe,candidate_id,architecture,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias,cohort
direct_d1_short_p120__w18,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d1_short_p120__w18__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,104,171,212,50.472035219794826,65.41760383230267,0.46857438179162825,57.71041332671793,6830.0,4809.228230148554,-29.58670234043113,29.58670234043113,recurring_a
direct_d1_short_p120__w24,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d1_short_p120__w24__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,107,169,211,50.35905408859253,66.31918209507351,0.4388406206579769,55.80853396200331,6830.0,5212.717532962561,-23.67909907814699,23.67909907814699,recurring_a
direct_d1_short_p120__w30,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d1_short_p120__w30__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,107,167,211,50.07810464927128,66.61654573526138,0.44421045553116567,56.3540712858538,6830.0,5159.08378636837,-24.46436623179546,24.46436623179546,recurring_a
direct_d1_short_p120__w36,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d1_short_p120__w36__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,108,168,211,49.7379724184672,67.48988920001574,0.4407997572863543,56.071545514844,6830.0,5178.694580733776,-24.177238935083807,24.177238935083807,recurring_a
direct_d1_short_p120__w48,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d1_short_p120__w48__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,108,168,211,49.7379724184672,67.48988920001574,0.4407997572863543,56.071545514844,6830.0,5178.694580733776,-24.177238935083807,24.177238935083807,recurring_a
direct_d2_base_p120__w18,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p120__w18__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,95,172,211,53.070875314565804,66.47007050485234,0.477750476782884,57.69932505676024,6830.0,4810.163448929787,-29.573009532506784,29.573009532506784,recurring_a
direct_d2_base_p120__w24,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p120__w24__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,102,165,211,51.98482979427684,67.89924515062762,0.4516120530940868,56.97889949270083,6830.0,5084.611878097057,-25.554730920980127,25.554730920980127,recurring_a
direct_d2_base_p120__w30,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p120__w30__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,103,165,210,51.87494131651792,68.89150963469689,0.45377736999875024,57.123847482057826,6830.0,5022.540446251631,-26.46353665810204,26.46353665810204,recurring_a
direct_d2_base_p120__w36,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p120__w36__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,102,165,210,52.336929873986676,68.57745944684552,0.4473639831823461,57.02206805501117,6830.0,4999.134975761175,-26.806222902471813,26.806222902471813,recurring_a
direct_d2_base_p120__w48,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p120__w48__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,102,165,210,52.336929873986676,68.57745944684552,0.4473639831823461,57.02206805501117,6830.0,4999.134975761175,-26.806222902471813,26.806222902471813,recurring_a
direct_d2_base_p135__w18,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p135__w18__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,94,173,213,52.873666469867416,67.17353508327946,0.47865992348368575,57.912255134188065,6830.0,4725.123623102903,-30.818102150762762,30.818102150762762,recurring_a
direct_d2_base_p135__w24,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p135__w24__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,99,165,211,51.129515171051025,67.51972995482761,0.4553825890316683,56.840323040460945,6830.0,5032.017191469669,-26.324784897955062,26.324784897955062,recurring_a
direct_d2_base_p135__w30,direct__p1.00__t0.00__s0.75__none__b0.00,direct_d2_base_p135__w30__direct__p1.00__t0.00__s0.75__none__b0.00,direct,215,215,104,165,210,51.46955882801729,67.6853001912435,0.45062026652422815,56.90816731395344,6830.0,4969.8602440059185,-27.234842693910416,27.234842693910416,recurring_a
