strategy,segment,candidate_id,positive_cases,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,bias_pct
Consolidated segment champions champions,cold_start,Consolidated segment champions champions,40,1,10,21,97.97219774522105,90.43516861624767,775.0,470.78888198467223,-39.25304748584875
Consolidated segment champions champions,developing,Consolidated segment champions champions,24,3,12,16,69.4586607567144,84.69096954516658,635.0,442.50500151501194,-30.3141729897619
Consolidated segment champions champions,new,Consolidated segment champions champions,39,2,16,31,74.19354838709677,79.61899618935516,1174.0,619.4869600796869,-47.23279726748834
Consolidated segment champions champions,occasional,Consolidated segment champions champions,103,2,4,22,152.74583441870553,145.87039870974704,677.0,530.0650394534456,-21.703834644985882
Consolidated segment champions champions,rare,Consolidated segment champions champions,33,0,4,11,110.62330307206464,146.60865468550492,162.0,123.63548717277504,-23.681798041496886
Consolidated segment champions champions,recurring,Consolidated segment champions champions,358,51,151,271,74.9858379280115,78.95378529734235,5500.0,3462.064279430575,-37.05337673762591
Selective historical calibration challenger,cold_start,Selective historical calibration challenger,40,1,10,21,97.97219774522105,90.43516861624767,775.0,470.78888198467223,-39.25304748584875
Selective historical calibration challenger,developing,Selective historical calibration challenger,24,3,11,16,72.14256903102071,86.72181645169634,635.0,461.0922662066693,-27.387044691863103
Selective historical calibration challenger,new,Selective historical calibration challenger,39,6,25,31,65.52663346748128,70.72333590824346,1174.0,862.3968627587316,-26.542004875746883
Selective historical calibration challenger,occasional,Selective historical calibration challenger,103,2,4,22,152.74583441870553,145.87039870974704,677.0,530.0650394534456,-21.703834644985882
Selective historical calibration challenger,rare,Selective historical calibration challenger,33,0,4,11,110.62330307206464,146.60865468550492,162.0,123.63548717277504,-23.681798041496886
Selective historical calibration challenger,recurring,Selective historical calibration challenger,358,39,140,276,74.9042400740066,80.08503341785088,5500.0,2811.1823647575775,-48.88759336804405
