segment_type,segment,all_skus,positive_demand_skus,under_50_skus,under_70_skus,under_100_skus,median_block_wmape,actual_total,forecast_total
lifecycle_tier,cold_start,40,40,4,8,12,117.82805039262007,775.0,1124.3171231544347
lifecycle_tier,developing,26,24,4,8,16,78.38430199689304,635.0,290.63807069203034
lifecycle_tier,dormant,53,45,0,0,2,100.0,188.0,137.97461638390234
lifecycle_tier,established,532,494,57,163,300,82.61978959336,6339.0,6079.0489649898755
lifecycle_tier,new,39,39,0,7,36,83.78176821602716,1174.0,340.2479388236203
frequency_tier,occasional_2_3,151,135,2,11,54,101.66666666666667,1471.0,927.364068497626
frequency_tier,rare_0_1,164,134,4,9,28,112.5,1544.0,2786.11380430074
frequency_tier,recurring_4_6,375,373,59,166,284,73.7383212362017,6096.0,4258.748841245497
recency_tier,dormant_12_plus,58,49,0,0,4,100.0,224.0,166.28731927811316
recency_tier,no_history,40,40,4,8,12,117.82805039262007,775.0,1124.3171231544347
recency_tier,recent_0_2,430,396,53,154,277,77.05584089834612,6546.0,5874.420710859722
recency_tier,recent_3_5,101,97,5,18,53,94.66550350189209,1132.0,579.6312593303818
recency_tier,stale_6_11,61,60,3,6,20,100.0,434.0,227.5703014212121
abc_units_tier,A,263,246,46,128,190,69.5319306955003,4995.0,4915.11240772563
abc_units_tier,B,166,153,13,46,107,78.96445844231582,1782.0,1131.3891805910228
abc_units_tier,C,261,243,6,12,69,105.59622764587402,2334.0,1925.7251257272108
