sku_id,absolute_error_lumpy_all_sku_history,absolute_error_lumpy_collision_flag_only,actual_total_lumpy_all_sku_history,actual_total_lumpy_collision_flag_only,forecast_total_lumpy_all_sku_history,forecast_total_lumpy_collision_flag_only,selected_model_lumpy_all_sku_history,selected_model_lumpy_collision_flag_only,sku_wmape_percent_lumpy_all_sku_history,sku_wmape_percent_lumpy_collision_flag_only,mean_scope_wmape_percent,future_18m_forecast_total_lumpy_all_sku_history,future_18m_forecast_total_lumpy_collision_flag_only,future_18m_months_lumpy_all_sku_history,future_18m_months_lumpy_collision_flag_only,future_selected_model_lumpy_all_sku_history,future_selected_model_lumpy_collision_flag_only
38340M51K42000,268.34853433836037,22.386103032023833,333.0,35.0,200.5074551238886,33.34936455650331,SBA Croston Tuned,Boosted SBA Hybrid,80.58514544695507,63.96029437721096,72.272719912083,20.586238105463323,13.047507203656096,18,18,SBA Croston Tuned,Boosted SBA Hybrid
3570186R00000,160.1448526998334,16.01871915298569,217.0,21.0,178.85873223974497,13.955642351446564,SBA Croston Tuned,Boosted SBA Hybrid,73.7994712902458,76.27961501421757,75.03954315223169,22.062108510459762,19.284153188941115,18,18,SBA Croston Tuned,Boosted SBA Hybrid
74461M76M00000,238.9515695549115,20.590270701907794,283.0,28.0,267.5148610309338,27.47137466699821,SBA Croston Tuned,Boosted SBA Hybrid,84.43518358830794,73.53668107824213,78.98593233327503,23.791718232312693,22.01464631902222,18,18,SBA Croston Tuned,Boosted SBA Hybrid
43210M79G5339M,268.80435747448246,30.573475955112293,316.0,37.0,257.7141579287359,33.106698537322224,SBA Croston Tuned,Boosted SBA Hybrid,85.06467008686154,82.63101609489809,83.84784309087982,33.521949109160545,31.388992429739616,18,18,SBA Croston Tuned,Boosted SBA Hybrid
7173277M10000,132.03423316206744,11.311093404439239,160.0,13.0,186.32125457973754,20.133501485916568,SBA Croston Tuned,Boosted SBA Hybrid,82.52139572629214,87.00841080337877,84.76490326483545,9.399825468747636,5.442446032283819,18,18,SBA Croston Tuned,Boosted SBA Hybrid
35670M76T00000,85.47619047619048,14.48024871227009,86.0,20.0,26.57142857142857,13.6405836625451,SBA Croston Tuned,Boosted SBA Hybrid,99.39091915836102,72.40124356135046,85.89608135985574,18.184051915579186,17.1298042530315,18,18,SBA Croston Tuned,Boosted SBA Hybrid
84702M53T005PK,69.0,14.852980602002775,73.0,18.0,18.0,13.6405836625451,SBA Croston Tuned,Boosted SBA Hybrid,94.52054794520548,82.51655890001543,88.51855342261045,13.928950913982089,12.736399875195453,18,18,SBA Croston Tuned,Boosted SBA Hybrid
17920M76M00000,333.1711151664911,33.62207726081368,340.0,42.0,310.2505848062035,46.65079612590425,SBA Croston Tuned,Boosted SBA Hybrid,97.99150446073268,80.05256490669925,89.02203468371596,39.124093765172304,34.44964743552613,18,18,SBA Croston Tuned,Boosted SBA Hybrid
84701M55TG0ZHJ,191.37888563049853,34.6754336606204,209.0,39.0,33.43460410557185,5.5653581343184015,SBA Croston Tuned,Boosted SBA Hybrid,91.56884479928159,88.91136836056513,90.24010657992336,27.145421870484288,17.318973135486072,18,18,SBA Croston Tuned,Boosted SBA Hybrid
89969M52R00000,224.35568496160892,23.99454578948214,232.0,28.0,270.2035459237042,8.740243050550585,SBA Croston Tuned,Boosted SBA Hybrid,96.70503662138316,85.69480639100765,91.19992150619541,33.69162397345871,50.869678228691264,18,18,SBA Croston Tuned,Boosted SBA Hybrid
72432M74T00000,184.75,41.56964386804631,205.0,45.0,31.5,6.138262648145294,SBA Croston Tuned,Boosted SBA Hybrid,90.1219512195122,92.37698637343625,91.24946879647422,40.156104547106146,24.323218733491988,18,18,SBA Croston Tuned,Boosted SBA Hybrid
35601M74TA0000,211.0,54.40858230676361,226.0,61.0,27.0,12.276525296290588,SBA Croston Tuned,Boosted SBA Hybrid,93.36283185840708,89.19439722420265,91.27861454130486,64.02646408120596,73.78709082757688,18,18,SBA Croston Tuned,Boosted SBA Hybrid
71740M74T00C48,217.75,63.7290743423031,237.0,70.0,33.1875,7.120384671848543,SBA Croston Tuned,Boosted SBA Hybrid,91.87763713080169,91.04153477471871,91.4595859527602,71.30286810087802,73.02245306714815,18,18,SBA Croston Tuned,Boosted SBA Hybrid
35650M53T00000,87.0,22.35627948457401,95.0,24.0,22.5,3.410145915636275,SBA Croston Tuned,Boosted SBA Hybrid,91.57894736842105,93.15116451905838,92.36505594373972,20.935209272178884,22.28302804606348,18,18,SBA Croston Tuned,Boosted SBA Hybrid
0928340021000,703.6474181102667,81.34760621432108,716.0,93.0,455.2453130953288,48.79560540918614,SBA Croston Tuned,Boosted SBA Hybrid,98.27477906567971,87.47054431647427,92.87266169107698,75.00255924550133,54.9557430503425,18,18,SBA Croston Tuned,Boosted SBA Hybrid
77220M74T005PK,223.3181818181818,60.181883777798205,236.0,66.0,21.477272727272727,9.953939429424803,SBA Croston Tuned,Boosted SBA Hybrid,94.62634822804314,91.18467239060334,92.90551030932323,79.13169071778202,91.02103359692727,18,18,SBA Croston Tuned,Boosted SBA Hybrid
77540M74T005PK,166.5,51.80074900398765,181.0,55.0,27.0,4.09217509876353,SBA Croston Tuned,Boosted SBA Hybrid,91.98895027624309,94.18318000725027,93.08606514174667,64.68191246101958,80.28977594529584,18,18,SBA Croston Tuned,Boosted SBA Hybrid
4321052S0039M,352.75847151104523,46.06388559182174,366.0,51.0,162.18703298863963,30.83863154428196,SBA Croston Tuned,Boosted SBA Hybrid,96.38209604126918,90.32134429768968,93.35172016947942,48.5375789505708,52.85559720019471,18,18,SBA Croston Tuned,Boosted SBA Hybrid
0928017002000,711.7301401722957,49.955925035735795,677.0,61.0,748.0603137601724,38.4826779381635,SBA Croston Tuned,Boosted SBA Hybrid,105.13000593386937,81.89495907497673,93.51248250442305,86.92321431987317,104.08178532989282,18,18,SBA Croston Tuned,Boosted SBA Hybrid
35750M73T00000,135.5,38.99719605261412,140.0,43.0,6.75,6.138262648145294,SBA Croston Tuned,Boosted SBA Hybrid,96.78571428571429,90.69115361073051,93.7384339482224,42.629050058781345,44.98610962001088,18,18,SBA Croston Tuned,Boosted SBA Hybrid
77510M73T005PK,124.0,28.18544303492992,128.0,31.0,18.0,13.6405836625451,SBA Croston Tuned,Boosted SBA Hybrid,96.875,90.92078398364491,93.89789199182246,52.00170571000929,81.69987904858233,18,18,SBA Croston Tuned,Boosted SBA Hybrid
83924M74T000CB,84.5,21.590271794274972,89.0,23.0,13.5,4.09217509876353,SBA Croston Tuned,Boosted SBA Hybrid,94.9438202247191,93.87074693163031,94.40728357817471,25.61840088656937,36.165922513521295,18,18,SBA Croston Tuned,Boosted SBA Hybrid
84510M76T31000,189.20454545454547,41.811859340509244,193.0,46.0,61.67583732057416,11.291250392896481,SBA Croston Tuned,Boosted SBA Hybrid,98.03344324069714,90.8953463924114,94.46439481655426,41.43660027738179,44.02768887781683,18,18,SBA Croston Tuned,Boosted SBA Hybrid
71751M76T005PK,163.83768656716418,34.06652590461973,168.0,37.0,64.29291044776119,14.120344125061376,SBA Croston Tuned,Boosted SBA Hybrid,97.52243248045487,92.07169163410738,94.79706205728112,38.41914407642217,39.36558805696292,18,18,SBA Croston Tuned,Boosted SBA Hybrid
35750M53T01000,114.0,29.522510701037586,120.0,31.0,22.5,3.410145915636275,SBA Croston Tuned,Boosted SBA Hybrid,95.0,95.23390548721802,95.116952743609,25.119377045355172,24.617637766823194,18,18,SBA Croston Tuned,Boosted SBA Hybrid
71732M76T01000,170.3181818181818,38.583992126805605,177.0,41.0,25.568181818181817,7.148980594225445,SBA Croston Tuned,Boosted SBA Hybrid,96.22496147919875,94.10729787025758,95.16612967472817,29.986853999817246,14.69836131290629,18,18,SBA Croston Tuned,Boosted SBA Hybrid
71831M76T00000,94.28571428571429,32.694022570806105,100.0,34.0,25.07142857142857,1.9486548089350142,SBA Croston Tuned,Boosted SBA Hybrid,94.28571428571429,96.1588899141356,95.22230209992495,40.12563354310201,47.15156601744206,18,18,SBA Croston Tuned,Boosted SBA Hybrid
72390M76T00000,112.73312883435582,33.6395629042423,119.0,35.0,32.30061349693251,4.795517693863511,SBA Croston Tuned,Boosted SBA Hybrid,94.73372170954272,96.11303686926371,95.42337928940321,45.88171931168535,71.1969730747515,18,18,SBA Croston Tuned,Boosted SBA Hybrid
43210M76T50QC8,91.75,27.229506309492052,94.0,29.0,20.25,6.138262648145294,SBA Croston Tuned,Boosted SBA Hybrid,97.6063829787234,93.89484934307605,95.75061616089972,32.25212995495145,49.212257003905755,18,18,SBA Croston Tuned,Boosted SBA Hybrid
84702M80TJ0WB3,88.5,18.65588937972112,90.0,20.0,13.5,12.276525296290588,SBA Croston Tuned,Boosted SBA Hybrid,98.33333333333333,93.2794468986056,95.80639011596946,14.808166274005696,12.643449736958498,18,18,SBA Croston Tuned,Boosted SBA Hybrid
72321M76T00000,135.2016129032258,37.911955445166164,142.0,39.0,16.983870967741936,2.455305059258118,SBA Croston Tuned,Boosted SBA Hybrid,95.2124034529759,97.21014216709273,96.21127281003432,42.31722629024233,59.48460014084588,18,18,SBA Croston Tuned,Boosted SBA Hybrid
77210M76T015PK,182.92577597840756,40.3459048122805,188.0,42.0,19.991902834008094,8.294949524520666,SBA Croston Tuned,Boosted SBA Hybrid,97.30094466936572,96.06167812447738,96.68131139692156,36.47827805815194,28.542858586080865,18,18,SBA Croston Tuned,Boosted SBA Hybrid
35702M76T00000,127.43559113300493,29.27006997949706,133.0,30.0,44.50233990147783,2.455305059258118,SBA Croston Tuned,Boosted SBA Hybrid,95.81623393459017,97.56689993165686,96.69156693312351,31.925760253591534,42.76626780774099,18,18,SBA Croston Tuned,Boosted SBA Hybrid
71740M74T20KDJ,191.53333333333333,52.33494064578693,198.0,54.0,8.7,2.455305059258118,SBA Croston Tuned,Boosted SBA Hybrid,96.73400673400673,96.91655675145728,96.825281742732,60.07003421395485,51.77640636063967,18,18,SBA Croston Tuned,Boosted SBA Hybrid
71722M76T005PK,86.20833333333333,26.977349930821795,88.0,28.0,9.375,3.069131324072647,SBA Croston Tuned,Boosted SBA Hybrid,97.96401515151514,96.34767832436356,97.15584673793936,30.177731293613935,45.160241761125235,18,18,SBA Croston Tuned,Boosted SBA Hybrid
87491M68P105PK,243.46202100942642,24.55667230747075,227.0,28.0,230.75656212844672,13.245724661787216,SBA Croston Tuned,Boosted SBA Hybrid,107.25199163410856,87.70240109810982,97.47719636610918,25.725703053132605,25.02331231185907,18,18,SBA Croston Tuned,Boosted SBA Hybrid
