recommended_model_key,recommended_model,recommendation_quality,sku_count,actual_total,forecast_total,absolute_error,median_recommended_rolling_wmape
sba_croston,SBA Croston,under_200,281,33177.0,21582.71488064211,38907.275591462116,108.74797212945272
sba_croston,SBA Croston,under_100,105,26359.0,9857.984965732809,24194.10611897743,94.97993571311832
tsb,TSB,under_200,72,5071.0,4354.476854899601,8129.9789946186565,112.1457098572179
recent_mean_6,Recent Mean 6m,under_200,68,3132.0,3729.0,6065.0,107.98262548262548
aggregate_allocation,Aggregate Allocation,under_200,49,2542.0,583.9254326725077,2997.598112208479,100.0
hurdle_random_forest,Hurdle Random Forest,under_200,34,2039.0,1038.3443370051118,2958.9034254635976,100.0
tsb,TSB,under_100,25,4329.0,1806.2736107964574,3800.550216918522,93.05365456979368
recent_mean_6,Recent Mean 6m,under_100,10,1991.0,777.0000000000001,1693.6666666666667,92.68054971988795
sba_croston_tuned,SBA Croston Tuned,under_200,10,470.0,832.7327166683286,1095.5455630047097,125.4915770619777
hurdle_random_forest,Hurdle Random Forest,under_100,7,487.0,256.1047347474226,477.39467138167157,95.26826862216967
sba_croston_tuned,SBA Croston Tuned,under_100,6,1054.0,1074.6936459367375,864.6020966139203,87.2090830036803
aggregate_allocation,Aggregate Allocation,under_100,6,969.0,201.98139934316168,938.9472654624429,98.79124746565262
boosted_sba_hybrid,Boosted SBA Hybrid,under_100,5,1118.0,339.22254021546235,973.1195846236326,93.2088076955146
seasonal_sba_croston,Seasonal SBA Croston,under_200,5,238.0,307.4260098620973,396.5002229619909,115.98524341622526
seasonal_sba_croston,Seasonal SBA Croston,under_100,3,505.0,561.9087023082756,374.5660745652067,83.15418172254284
sba_croston,SBA Croston,over_200,2,2015.0,2147.0933735841654,2946.1109135524075,338.91825034891036
hurdle_random_forest,Hurdle Random Forest,under_70,1,110.0,55.357924143833,103.88118286053925,68.5921800511448
recent_mean_6,Recent Mean 6m,over_200,1,22.0,108.0,123.33333333333333,220.0
