feature,feature_family,non_null_share_preview_train
month_cos,calendar,1.0
month_number,calendar,1.0
month_sin,calendar,1.0
quarter,calendar,1.0
Brand_SUZUKI,categorical,1.0
Brand_nan,categorical,1.0
Channel_DISTRIBUTION,categorical,1.0
Channel_nan,categorical,1.0
Country_CHILE,categorical,1.0
Country_nan,categorical,1.0
FAMILY_DESCRIPTION_CARROCERIA,categorical,1.0
FAMILY_DESCRIPTION_nan,categorical,1.0
REGION_AMERICAS,categorical,1.0
REGION_nan,categorical,1.0
SUBFAMILY_DESCRIPTION_ESTRUCTURA,categorical,1.0
SUBFAMILY_DESCRIPTION_IMPACTO PRIMARIO,categorical,1.0
SUBFAMILY_DESCRIPTION_IMPACTO PRIMARIO A,categorical,1.0
SUBFAMILY_DESCRIPTION_IMPACTO PRIMARIO B,categorical,1.0
SUBFAMILY_DESCRIPTION_SEGURIDAD,categorical,1.0
SUBFAMILY_DESCRIPTION_nan,categorical,1.0
external_known__days_in_month,external_known_ahead,1.0
external_known__lag_1yr_national_annual_collisions_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_collisions_per_100k_population_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_collisions_per_10k_vehicles_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_collisions_per_fatality_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_fatalities_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_fatalities_per_100_collisions_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_fatalities_per_100k_population_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_fatalities_per_10k_vehicles_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_injuries_per_100k_population_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_injuries_per_10k_vehicles_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_minor_injuries_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_moderate_injuries_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_motorization_rate_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_population_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_serious_injuries_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_total_injuries_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_total_victims_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_vehicle_parc_context,external_known_ahead,1.0
external_known__lag_1yr_national_annual_vehicles_per_100_people_context,external_known_ahead,1.0
external_known__public_holidays,external_known_ahead,1.0
external_known__weekend_days,external_known_ahead,1.0
external_known__working_days,external_known_ahead,1.0
external_hist_lag_12m__max_wind_gust,external_model_lagged,0.712821551549524
external_hist_lag_12m__min_temperature,external_model_lagged,0.712821551549524
external_hist_lag_1m__max_wind_gust,external_model_lagged,0.951306461413814
external_hist_lag_1m__min_temperature,external_model_lagged,0.951306461413814
external_hist_lag_3m__max_wind_gust,external_model_lagged,0.9121733846465465
external_hist_lag_3m__min_temperature,external_model_lagged,0.9121733846465465
external_hist_lag_6m__max_wind_gust,external_model_lagged,0.8488555803119303
external_hist_lag_6m__min_temperature,external_model_lagged,0.8488555803119303
external_hist_roll_mean_12m__max_wind_gust,external_model_lagged,0.951306461413814
external_hist_roll_mean_12m__min_temperature,external_model_lagged,0.951306461413814
external_hist_roll_mean_3m__max_wind_gust,external_model_lagged,0.951306461413814
external_hist_roll_mean_3m__min_temperature,external_model_lagged,0.951306461413814
external_hist_roll_mean_6m__max_wind_gust,external_model_lagged,0.951306461413814
external_hist_roll_mean_6m__min_temperature,external_model_lagged,0.951306461413814
internal_known_mean_demand,internal_history,1.0
internal_known_mean_positive_demand,internal_history,1.0
internal_known_months,internal_history,1.0
internal_known_positive_rate,internal_history,1.0
internal_known_total_demand,internal_history,1.0
internal_known_zero_share,internal_history,1.0
internal_lag_12m_demand,internal_history,1.0
internal_lag_1m_demand,internal_history,1.0
internal_lag_3m_demand,internal_history,1.0
internal_lag_6m_demand,internal_history,1.0
internal_last_known_demand,internal_history,1.0
internal_last_positive_demand,internal_history,1.0
internal_months_since_positive,internal_history,1.0
internal_roll_mean_12m,internal_history,1.0
internal_roll_mean_3m,internal_history,1.0
internal_roll_mean_6m,internal_history,1.0
internal_roll_positive_months_12m,internal_history,1.0
internal_roll_positive_months_3m,internal_history,1.0
internal_roll_positive_months_6m,internal_history,1.0
internal_roll_total_12m,internal_history,1.0
internal_roll_total_3m,internal_history,1.0
internal_roll_total_6m,internal_history,1.0
internal_roll_zero_share_12m,internal_history,1.0
internal_roll_zero_share_3m,internal_history,1.0
internal_roll_zero_share_6m,internal_history,1.0
sku_months_since_positive,internal_history,1.0
sku_positive_mean,internal_history,1.0
sku_positive_rate,internal_history,1.0
sku_recent_12m_mean,internal_history,1.0
sku_recent_3m_mean,internal_history,1.0
sku_recent_6m_mean,internal_history,1.0
sku_train_mean,internal_history,1.0
