sku_id,lumpy_06_model_key,lumpy_06_model,lumpy_06_mean_rolling_3m_wmape_percent,lumpy_06_horizon_wmape_percent,lumpy_06_actual_total,lumpy_07_model_key,lumpy_07_model,lumpy_07_mean_rolling_3m_wmape_percent,lumpy_07_horizon_wmape_percent,lumpy_07_actual_total,rolling_wmape_delta_07_minus_06,regression_improved,regression_improved_by_10pts,regression_worse_by_10pts
09409M07L025PK,sba_croston,SBA Croston,327.2157594212734,202.003780860644,704.0,direct_extra_trees_log1p,Direct Extra Trees log1p,144.27522327115517,127.14786903140075,704.0,-182.94053615011822,True,True,False
01550M0612A,recent_mean_6,Recent Mean 6m,220.0,560.6060606060605,22.0,direct_extra_trees_log1p,Direct Extra Trees log1p,127.72565434501716,343.0645705670988,22.0,-92.27434565498284,True,True,False
0940908322000,aggregate_allocation,Aggregate Allocation,179.14737868105124,455.96037172980937,31.0,direct_extra_trees_log1p,Direct Extra Trees log1p,124.05347511297435,264.2685892419372,31.0,-55.09390356807688,True,True,False
8298265D00P4Z,tsb,TSB,196.0677410014077,155.76710237814578,190.0,direct_extra_trees_log1p,Direct Extra Trees log1p,148.09435657908966,132.1130464195925,190.0,-47.97338442231805,True,True,False
0915912079000,aggregate_allocation,Aggregate Allocation,150.6044925625158,322.7555444514429,113.0,direct_extra_trees_log1p,Direct Extra Trees log1p,104.02176823931849,149.30379243802673,113.0,-46.5827243231973,True,True,False
09409063145PK,tsb,TSB,162.27264141978446,144.95509465810193,431.0,direct_extra_trees_log1p,Direct Extra Trees log1p,119.2585433413208,119.77176335909955,431.0,-43.01409807846366,True,True,False
82510M75T20000,aggregate_allocation,Aggregate Allocation,100.0,100.0,6.0,direct_extra_trees_log1p,Direct Extra Trees log1p,65.89229864619921,84.99730873778559,6.0,-34.10770135380079,True,True,False
3613050A30000,tsb,TSB,158.21827408270437,286.6981338647657,114.0,direct_extra_trees_log1p,Direct Extra Trees log1p,124.7393045082228,192.64553137216123,114.0,-33.47896957448157,True,True,False
87205M79G51000,sba_croston_tuned,SBA Croston Tuned,166.86285589046634,338.4648735227084,31.0,direct_extra_trees_log1p,Direct Extra Trees log1p,133.53764742240497,262.86069937769184,31.0,-33.32520846806136,True,True,False
76237M70F005PK,recent_mean_6,Recent Mean 6m,140.0,259.8173515981735,146.0,direct_extra_trees_log1p,Direct Extra Trees log1p,110.15878811724117,150.07015921043242,146.0,-29.841211882758827,True,True,False
83934M75T000CB,aggregate_allocation,Aggregate Allocation,100.0,100.0,17.0,direct_hist_squared,Direct Hist Gradient Squared,70.55707636066535,108.41409003480878,17.0,-29.44292363933465,True,True,False
71736M74T00000,hurdle_random_forest,Hurdle Random Forest,84.08118261845023,76.2701282073392,77.0,direct_random_forest_log1p,Direct Random Forest log1p,54.66225446013987,62.883303061217724,77.0,-29.418928158310358,True,True,False
72211M60M005PK,tsb,TSB,144.99419764360138,1470.986785321418,3.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,117.27091008864441,1490.9371397843386,3.0,-27.72328755495697,True,True,False
7821965J105PK,tsb,TSB,157.71933617702967,720.0340803897107,26.0,direct_extra_trees_log1p,Direct Extra Trees log1p,130.8046384896631,436.28984264346104,26.0,-26.914697687366584,True,True,False
0928056004000,sba_croston,SBA Croston,161.36003447425952,117.45112353219444,480.0,direct_extra_trees_log1p,Direct Extra Trees log1p,134.57087942741356,111.4159500778905,480.0,-26.789155046845963,True,True,False
0940910318000,tsb,TSB,142.35940579904215,486.34850728839217,62.0,direct_extra_trees_log1p,Direct Extra Trees log1p,117.60994715853228,249.9100844418946,62.0,-24.74945864050987,True,True,False
38450M80T10000,aggregate_allocation,Aggregate Allocation,100.0,100.0,18.0,direct_hist_squared,Direct Hist Gradient Squared,79.42451614403255,107.77274560894492,18.0,-20.575483855967448,True,True,False
09409M08308R8J,sba_croston_tuned,SBA Croston Tuned,121.9917162748228,348.1721739039129,106.0,direct_random_forest_log1p,Direct Random Forest log1p,101.42392821791826,180.71111175280512,106.0,-20.567788056904547,True,True,False
83932M75T000CB,aggregate_allocation,Aggregate Allocation,100.0,100.0,16.0,direct_hist_squared,Direct Hist Gradient Squared,80.09365133260927,119.54354936804754,16.0,-19.90634866739073,True,True,False
36250M74T55000,aggregate_allocation,Aggregate Allocation,100.0,100.0,17.0,direct_hist_squared,Direct Hist Gradient Squared,80.19030632722693,81.49193560085112,17.0,-19.809693672773065,True,True,False
83714M62B00000,hurdle_random_forest,Hurdle Random Forest,126.53447467927008,588.5153954940133,53.0,direct_extra_trees_log1p,Direct Extra Trees log1p,107.85985417385572,253.30478343654198,53.0,-18.674620505414353,True,True,False
0911912007000,tsb,TSB,125.12686005406016,111.89274443575846,839.0,direct_extra_trees_log1p,Direct Extra Trees log1p,107.0437702048451,103.76302251469025,839.0,-18.083089849215057,True,True,False
72381M80T10000,aggregate_allocation,Aggregate Allocation,100.0,100.0,102.0,direct_hist_squared,Direct Hist Gradient Squared,83.08450547417033,80.63054755129797,102.0,-16.915494525829672,True,True,False
71761M75T105PK,aggregate_allocation,Aggregate Allocation,100.0,100.0,50.0,direct_extra_trees_log1p,Direct Extra Trees log1p,84.77368786955812,87.62429491435044,50.0,-15.226312130441883,True,True,False
