candidate_source,candidate_model,sku_count,actual_total,forecast_total,absolute_error,median_rolling_wmape,portfolio_horizon_wmape_percent
06_intermittent_tournament,SBA Croston,354,52733.0,28481.224075924645,56068.74689799258,103.44327729396845,106.32572942558281
06_intermittent_tournament,TSB,66,4653.0,2602.306127698303,5829.019203647731,108.73875506651561,125.27442947878211
06_intermittent_tournament,Recent Mean 6m,62,3137.0,2382.0,4672.333333333333,106.84333759046403,148.94272659653598
07_clean_regression,Direct Extra Trees log1p,56,11895.0,7223.691619434316,13658.503339365112,109.88332557536802,114.82558503039188
06_intermittent_tournament,Hurdle Random Forest,33,1557.0,333.45355454961316,1838.7844737493867,100.0,118.09791096656305
06_intermittent_tournament,Aggregate Allocation,29,2064.0,282.67066638502297,2084.2682220429606,100.0,100.98198750208142
07_clean_regression,Direct XGBoost Tweedie,25,2686.0,1732.5603340912708,2851.228460780523,98.33835461858412,106.15146912809095
07_clean_regression,Hurdle XGBoost Tweedie,14,1323.0,861.8955780382734,1389.3836901928423,96.40470042539994,105.01766365781121
07_clean_regression,Direct Random Forest log1p,12,1206.0,1017.7852835719874,1274.8363707465444,93.65879176721725,105.7078251033619
07_clean_regression,Direct Hist Gradient Squared,11,902.0,523.5852028663826,794.0193605335942,83.89607953552151,88.02875393942286
06_intermittent_tournament,SBA Croston Tuned,9,861.0,819.3624854375753,946.8464617970769,118.34709330584232,109.97055305424819
06_intermittent_tournament,Seasonal SBA Croston,7,541.0,643.896212218105,614.2934313244785,110.07899434522898,113.54776919121599
07_clean_regression,Direct Hist Gradient Poisson,7,426.0,227.2231332403566,614.1190458585891,107.21221072635667,144.1594004362885
06_intermittent_tournament,Boosted SBA Hybrid,3,840.0,261.0766841809394,698.6615721965695,93.2088076955146,83.1739966900678
07_clean_regression,Direct Random Forest,1,471.0,282.2387997597538,320.13598961776165,70.53696265435858,67.96942454729547
07_clean_regression,Hurdle Random Forest Regression,1,333.0,169.47417177305823,266.7494916137396,87.29632052191957,80.10495243655845
