sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,selection_score,champion_quality,sku_predictability_segment
01550M0612A,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,22.0,0.0,22.0,-22.0,9,0,0,100.0,under_100,sparse_lumpy
021620616A000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,83.0,0.0,83.0,-83.0,17,0,0,100.0,under_100,sparse_lumpy
083100012A000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,27.0,0.0,27.0,-27.0,12,0,0,100.0,under_100,sparse_lumpy
083161010A000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,20.0,0.0,20.0,-20.0,8,0,0,100.0,under_100,sparse_lumpy
083313124A000,06_intermittent_tournament,sba_croston,SBA Croston,105.50993883040388,192.33311044609667,31.0,33.914922268076204,59.62326423828996,2.914922268076205,19,108,0,105.50993883040388,under_200,repeatable_lumpy
0911605023000,06_intermittent_tournament,sba_croston,SBA Croston,106.79012345679013,143.13725490196077,34.0,16.5,48.66666666666666,-17.5,10,36,0,106.79012345679013,under_200,sparse_lumpy
0911912006XC0,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,8.0,0.0,8.0,-8.0,8,0,0,100.0,under_100,sparse_lumpy
0911912007000,08_tuned_capped_full_coverage,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,104.57054771998202,101.85132319210426,839.0,31.361904901503756,854.5326015817548,-807.6380950984963,47,8,8,104.57054771998202,under_200,repeatable_lumpy
09136M05078000,07_clean_regression,direct_extra_trees_log1p,Direct Extra Trees log1p,120.34717215874268,286.57130415070174,37.0,78.904632491797,106.03138253575963,41.904632491797,13,162,18,120.34717215874268,under_200,sparse_lumpy
0914016023000,06_intermittent_tournament,sba_croston,SBA Croston,100.4040948275862,145.37898936170214,47.0,21.984375,68.328125,-25.015625,10,90,0,100.4040948275862,under_200,sparse_lumpy
0914806007000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.49610696271908,109.07388186853537,63.0,7.68138011248255,68.71654557717729,-55.31861988751745,13,8,0,100.49610696271908,under_200,sparse_lumpy
09148M06022000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,26.0,0.0,26.0,-26.0,14,0,0,100.0,under_100,sparse_lumpy
0915912024000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,33.0,0.0,33.0,-33.0,3,0,0,100.0,under_100,ultra_sparse
0915912051000,06_intermittent_tournament,aggregate_allocation,Aggregate Allocation,100.0,100.0,51.0,0.0,51.0,-51.0,9,0,0,100.0,under_100,sparse_lumpy
0915912079000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,113.0,0.0,113.0,-113.0,9,0,0,100.0,under_100,sparse_lumpy
0915912L02000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,50.0,0.0,50.0,-50.0,14,0,0,100.0,under_100,sparse_lumpy
0915918022000,06_intermittent_tournament,sba_croston,SBA Croston,122.2686991950388,113.5576727668135,190.0,171.72589364143033,215.75957825694564,-18.27410635856968,70,162,162,122.2686991950388,under_200,repeatable_lumpy
0915918024000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,113.67031676102776,15.0,2.050547514154162,17.05054751415416,-12.94945248584584,8,2,2,100.0,under_100,sparse_lumpy
0915924009000,08_tuned_capped_full_coverage,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,39.0,0.0,39.0,-39.0,27,0,0,100.0,under_100,repeatable_lumpy
