candidate_source,candidate_model,champion_quality,sku_count,actual_total,forecast_total,absolute_error,median_rolling_wmape,portfolio_horizon_wmape_percent
06_intermittent_tournament,SBA Croston,under_200,231,27407.0,18290.641377410404,31981.0525044851,109.03771128463926,116.68935857439742
08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,under_100,133,6024.0,420.1506880932163,6391.3806206869895,100.0,106.09861588125813
06_intermittent_tournament,SBA Croston,under_100,97,22583.0,8510.087881093097,20760.609766140522,95.37001582040004,91.93025623761467
08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,under_200,34,2476.0,964.3982302664645,3202.0838499163074,105.19897877258431,129.32487277529512
06_intermittent_tournament,Aggregate Allocation,under_100,20,1444.0,169.82431494067944,1423.5124454895274,100.0,98.58119428597834
07_clean_regression,Direct Extra Trees log1p,under_200,19,4067.0,2703.8813027231117,5241.390417843628,122.42898982127647,128.8760860054986
07_clean_regression,Direct Extra Trees log1p,under_100,15,4610.0,2827.984226049829,4065.4185863587445,85.04433850999568,88.1869541509489
08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,under_200,15,2281.0,582.2708161964276,2703.6608231652754,104.57054771998202,118.52962837199804
06_intermittent_tournament,TSB,under_100,15,2123.0,580.8020315899304,1922.3074145062017,93.28947802197804,90.5467458552144
07_clean_regression,Direct Hist Gradient Squared,under_100,11,902.0,523.5852028663826,794.0193605335942,83.89607953552151,88.02875393942286
07_clean_regression,Direct XGBoost Tweedie,under_100,10,1740.0,999.1165223029157,1519.1197502775565,82.69230696201652,87.30573277457222
06_intermittent_tournament,Hurdle Random Forest,under_100,10,419.0,60.16176067681782,439.2563077239377,99.95583127499236,104.83444098423334
06_intermittent_tournament,Aggregate Allocation,under_200,9,620.0,112.8463514443435,660.7557765534331,101.17848328229692,106.57351234732792
08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,under_100,9,418.0,272.6500678028038,598.4491610964021,99.2578387615497,143.1696557646895
06_intermittent_tournament,Recent Mean 6m,under_200,9,355.0,528.0,654.3333333333333,118.24212271973468,184.31924882629107
08_tuned_capped_full_coverage,XGBoost Tweedie depth2 reg10,under_100,8,693.0,638.7280084754404,785.1759177250058,95.95318535935715,113.30099822871655
06_intermittent_tournament,TSB,under_200,8,524.0,592.388577624351,904.5068954844302,117.32551116801885,172.61581974893704
07_clean_regression,Hurdle XGBoost Tweedie,under_100,6,782.0,478.2919830152595,644.7409971632978,91.59360232606548,82.44769784696904
07_clean_regression,Direct Random Forest log1p,under_100,5,754.0,610.547799716905,598.8367854971667,87.90469817169125,79.42132433649427
06_intermittent_tournament,Recent Mean 6m,under_100,4,811.0,225.00000000000006,715.0,96.32641983338102,88.16276202219483
06_intermittent_tournament,Boosted SBA Hybrid,under_100,3,840.0,261.0766841809394,698.6615721965695,93.2088076955146,83.1739966900678
06_intermittent_tournament,SBA Croston Tuned,under_100,3,580.0,465.2863088278159,448.5684479536463,88.34958026367312,77.33938757821488
06_intermittent_tournament,Seasonal SBA Croston,under_200,3,148.0,256.7336652783101,267.00863395200105,122.04080328296492,180.41123915675746
06_intermittent_tournament,SBA Croston Tuned,under_200,3,141.0,194.64745181254546,265.3127734431176,129.26931070880323,188.16508754831034
06_intermittent_tournament,Seasonal SBA Croston,under_100,2,303.0,336.4702023560077,217.79320836248763,83.3988254327003,71.87894665428635
07_clean_regression,Direct Random Forest log1p,under_70,2,187.0,76.89611549133538,148.32791474102552,59.21855401727154,79.3197405032222
07_clean_regression,Direct Extra Trees log1p,under_70,2,185.0,206.676979173613,126.31594563660286,67.36191353092784,68.27888953329885
06_intermittent_tournament,SBA Croston,over_200,1,1311.0,1080.6764210314373,1524.004296293474,350.62074127654734,116.24746729927338
07_clean_regression,Direct Random Forest,under_100,1,471.0,282.2387997597538,320.13598961776165,70.53696265435858,67.96942454729547
07_clean_regression,Hurdle Random Forest Regression,under_100,1,333.0,169.47417177305823,266.7494916137396,87.29632052191957,80.10495243655845
07_clean_regression,Direct XGBoost Tweedie,under_200,1,96.0,80.77250463125453,137.16783832933055,113.4732631099263,142.883164926386
