sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,selection_score,champion_quality,sku_predictability_segment
01550M0612A,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,22.0,0.0,22.0,-22.0,9,0,0,100.0,under_100,sparse_lumpy
021620616A000,08_tuned_capped_regression,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,100.0,100.0,19.0,0.0,19.0,-19.0,4,0,0,100.0,under_100,sparse_lumpy
083100012A000,08_tuned_capped_regression,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,100.0,105.72539945457181,7.0,0.40077796182002573,7.400777961820026,-6.599222038179974,2,1,0,100.0,under_100,ultra_sparse
083161010A000,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,100.0,100.0,20.0,0.0,20.0,-20.0,8,0,0,100.0,under_100,sparse_lumpy
083313124A000,06_intermittent_tournament,sba_croston,SBA Croston,105.50993883040388,192.33311044609667,31.0,33.914922268076204,59.62326423828996,2.914922268076205,19,108,0,105.50993883040388,under_200,repeatable_lumpy
0911605023000,06_intermittent_tournament,sba_croston,SBA Croston,106.79012345679013,143.13725490196077,34.0,16.5,48.66666666666666,-17.5,10,36,0,106.79012345679013,under_200,sparse_lumpy
0911912006XC0,06_intermittent_tournament,hurdle_random_forest,Hurdle Random Forest,117.07405948219984,661.9364517714024,8.0,46.95491614171219,52.95491614171219,38.95491614171219,8,42,36,117.07405948219984,under_200,sparse_lumpy
0911912007000,08_tuned_capped_regression,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,98.10452370105271,101.39403284968513,77.0,7.874976261361351,78.07340529425755,-69.12502373863865,3,5,5,98.10452370105271,under_100,ultra_sparse
09136M05078000,08_tuned_capped_regression,hurdle_xgb_thr10,Hurdle XGBoost threshold 0.10,106.40966103953143,282.44913457601916,15.0,30.502165058409986,42.36737018640288,15.502165058409988,3,18,18,106.40966103953143,under_200,ultra_sparse
0914016023000,06_intermittent_tournament,sba_croston,SBA Croston,100.4040948275862,145.37898936170214,47.0,21.984375,68.328125,-25.015625,10,90,0,100.4040948275862,under_200,sparse_lumpy
0914806007000,08_tuned_capped_regression,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,100.0,129.71640041304073,13.0,3.863132053695294,16.863132053695296,-9.136867946304706,4,5,0,100.0,under_100,sparse_lumpy
09148M06022000,08_tuned_capped_regression,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,100.0,118.19750401289974,6.0,1.0918502407739843,7.091850240773985,-4.908149759226015,3,1,1,100.0,under_100,ultra_sparse
0915912024000,06_intermittent_tournament,recent_mean_6,Recent Mean 6m,100.0,100.0,33.0,0.0,33.0,-33.0,3,0,0,100.0,under_100,ultra_sparse
0915912051000,06_intermittent_tournament,aggregate_allocation,Aggregate Allocation,100.0,100.0,51.0,0.0,51.0,-51.0,9,0,0,100.0,under_100,sparse_lumpy
0915912079000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,113.0,0.0,113.0,-113.0,9,0,0,100.0,under_100,sparse_lumpy
0915912L02000,07_clean_regression,direct_xgboost_tweedie,Direct XGBoost Tweedie,105.29477866668904,161.27638388543087,50.0,35.78505695416208,80.63819194271544,-14.214943045837922,14,162,0,105.29477866668904,under_200,sparse_lumpy
0915918022000,08_tuned_capped_regression,extra_trees_log1p_leaf10_sqrt,Extra Trees log1p leaf10 sqrt,120.88266556746517,112.92680446468114,168.0,142.89249582865156,189.7170315006643,-25.107504171348438,63,144,68,120.88266556746517,under_200,high_volume_repeatable
0915918024000,08_tuned_capped_regression,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,113.67031676102775,15.0,2.050547514154162,17.05054751415416,-12.949452485845839,8,2,2,100.0,under_100,sparse_lumpy
0915924009000,08_tuned_capped_regression,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,100.0,100.0,6.0,0.0,6.0,-6.0,6,0,0,100.0,under_100,sparse_lumpy
0916435003000,08_tuned_capped_regression,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,100.0,100.0,14.0,0.0,14.0,-14.0,5,0,0,100.0,under_100,sparse_lumpy
0924130010000,08_tuned_capped_regression,xgb_tweedie_depth2_reg20_cap15,XGBoost Tweedie depth2 reg20 cap15,99.33436350944771,666.9259427104258,1.0,6.367436151836687,6.669259427104258,5.367436151836687,1,18,0,99.33436350944771,under_100,ultra_sparse
0928017002000,08_tuned_capped_regression,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,89.33176682856609,94.73246157491866,82.0,35.89325306078919,77.6806184914333,-46.10674693921081,10,18,18,89.33176682856609,under_100,sparse_lumpy
