candidate_source,candidate_model,champion_quality,sku_count,actual_total,forecast_total,absolute_error,median_rolling_wmape,portfolio_horizon_wmape_percent
06_intermittent_tournament,SBA Croston,under_200,147,16783.0,10622.284457169819,19543.976275234472,107.31199226052372,116.45102946573599
06_intermittent_tournament,SBA Croston,under_100,58,12682.0,4813.635438045376,11706.772301253473,97.40484737730907,92.31014273185203
08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,under_100,58,2125.0,1880.8491471930145,1753.219411992629,82.43953258079176,82.50444291730018
08_tuned_capped_regression,Hurdle Random Forest threshold 0.15,under_100,37,474.0,281.92917371042296,523.5083730185812,100.0,110.44480443429983
08_tuned_capped_regression,Hurdle Random Forest threshold 0.35,under_100,35,1437.0,125.99046838131648,1547.9599540891488,100.0,107.72163911545921
08_tuned_capped_regression,Hurdle Random Forest threshold 0.25,under_100,32,338.0,136.39285479738555,379.4620197760045,100.0,112.26686975621436
08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,under_200,28,394.0,464.773643537854,587.2043224320387,109.3251854439919,149.03663005889305
08_tuned_capped_regression,Hurdle Random Forest threshold 0.35,under_200,25,1821.0,619.7005905838439,2262.4147833939764,105.4201414796494,124.24024071356268
08_tuned_capped_regression,Extra Trees log1p leaf5 half features,under_100,20,1574.0,801.7759544909779,1330.88661737844,87.83128721985256,84.55442295924016
06_intermittent_tournament,Hurdle Random Forest,under_100,20,928.0,82.52604044703456,1000.9058681772614,100.0,107.85623579496351
08_tuned_capped_regression,Extra Trees log1p leaf5 half features,under_200,16,631.0,623.9563422773477,882.6442323602466,114.65612167158122,139.8802269984543
06_intermittent_tournament,Recent Mean 6m,under_200,14,932.0,855.0,1620.0,105.68041871921183,173.8197424892704
08_tuned_capped_regression,Random Forest log1p leaf2 sqrt,under_70,14,235.0,200.20359704925633,143.57631058257255,61.874106122906156,61.096302375562786
08_tuned_capped_regression,XGBoost Tweedie depth2 reg20 cap15,under_100,12,260.0,259.9516547909493,294.38247954297844,90.99376455802317,113.22403059345325
08_tuned_capped_regression,XGBoost Tweedie depth2 reg20 cap15,under_200,11,204.0,139.02206858352017,223.0123923788198,108.35183625818351,109.319800185696
08_tuned_capped_regression,Extra Trees log1p leaf10 sqrt,under_100,10,2975.0,1989.3362969587504,2523.8436463782937,86.71631188530712,84.83508055053088
08_tuned_capped_regression,Hist Poisson lr03 nodes15 reg20,under_100,10,832.0,455.40364689435256,842.6920837871792,92.5225014472603,101.28510622442057
08_tuned_capped_regression,Hurdle XGBoost threshold 0.10,under_100,10,311.0,200.7240082366541,262.62785648419936,85.116216789591,84.44625610424417
