sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,selection_score
01550M0612A,extra_trees_log1p_leaf10_sqrt,Extra Trees log1p leaf10 sqrt,8,144,21.0,67.8039380673366,82.16610561219017,46.80393806733659,391.26716958185796,134.21030922629296,142.33176750802602,22,8,144,0,778,fit,True,134.21030922629296
01550M0612A,extra_trees_log1p_leaf2_sqrt,Extra Trees log1p leaf2 sqrt,6,108,18.0,43.37672590390941,57.411540891611395,25.37672590390941,318.95300495339666,131.8728420399899,134.09824184585247,15,5,108,0,778,fit,True,131.8728420399899
01550M0612A,extra_trees_log1p_leaf5_half,Extra Trees log1p leaf5 half features,3,54,17.0,16.806565017019793,31.739179760371645,-0.19343498298021222,186.70105741395085,109.52262371854127,106.0518866571106,10,4,54,0,779,fit,True,109.52262371854127
01550M0612A,extra_trees_log1p_leaf5_sqrt,Extra Trees log1p leaf5 sqrt,6,108,18.0,48.44452228648036,62.05779278496946,30.444522286480357,344.7655154720526,134.36457114656625,139.463978968632,15,5,108,0,778,fit,True,134.36457114656625
01550M0612A,hist_poisson_lr02_nodes15_reg30,Hist Poisson lr02 nodes15 reg30,3,54,16.0,24.584891128139482,38.043493952611485,8.584891128139478,237.77183720382178,115.90120149871488,122.01655147119126,9,3,54,5,779,fit,True,115.90120149871488
01550M0612A,hist_poisson_lr03_nodes15_reg20,Hist Poisson lr03 nodes15 reg20,4,72,18.0,49.95141676484039,62.743579842901845,31.951416764840392,348.57544357167694,151.3341117866639,111.19419906185652,13,5,72,13,778,fit,True,151.3341117866639
01550M0612A,hist_poisson_lr05_nodes31_reg05,Hist Poisson lr05 nodes31 reg05,4,72,16.0,55.667146156515436,68.50456232846778,39.667146156515436,428.15351455292364,184.39850772916185,115.80653964715515,9,3,72,20,778,fit,True,184.39850772916185
01550M0612A,hurdle_rf_thr15,Hurdle Random Forest threshold 0.15,1,18,14.0,37.984105770002344,48.439229092736326,23.984105770002344,345.9944935195452,100.95729156791215,100.51950507136426,3,1,18,18,729,fit_hurdle_rf,True,100.95729156791215
01550M0612A,hurdle_rf_thr25,Hurdle Random Forest threshold 0.25,2,36,15.0,9.719412616144492,24.71941261614449,-5.280587383855508,164.79608410762992,100.0,100.0,6,2,3,3,761,fit_hurdle_rf,True,100.0
01550M0612A,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,9,162,22.0,0.0,22.0,-22.0,100.0,100.0,100.0,25,9,0,0,779,fit_hurdle_rf,True,100.0
01550M0612A,hurdle_xgb_thr10,Hurdle XGBoost threshold 0.10,2,36,15.0,108.22556453417225,113.25478156414351,93.22556453417225,755.0318770942902,113.60144141019407,100.0,6,2,18,18,779,fallback_hist_hurdle_xgboost_missing,True,113.60144141019407
01550M0612A,hurdle_xgb_thr20,Hurdle XGBoost threshold 0.20,2,36,15.0,18.00652016130139,33.00652016130139,3.0065201613013883,220.04346774200926,111.01072468110071,100.0,6,2,2,2,779,fallback_hist_hurdle_xgboost_missing,True,111.01072468110071
01550M0612A,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,9,162,22.0,0.0,22.0,-22.0,100.0,100.0,100.0,25,9,0,0,779,fallback_hist_hurdle_xgboost_missing,True,100.0
01550M0612A,rf_log1p_leaf2_sqrt,Random Forest log1p leaf2 sqrt,1,18,14.0,10.71302415332672,23.670795223334363,-3.2869758466732755,169.0771087381026,100.10359737885263,99.85783097896417,3,1,18,0,729,fit,True,100.10359737885263
01550M0612A,rf_log1p_leaf4_sqrt,Random Forest log1p leaf4 sqrt,5,90,19.0,38.07108960989821,53.03520479189928,19.07108960989821,279.13265679946994,124.84675147925807,115.37674934910359,16,6,90,0,778,fit,True,124.84675147925807
01550M0612A,rf_log1p_leaf8_sqrt,Random Forest log1p leaf8 sqrt,7,126,20.0,59.752482855929166,73.97355135684063,39.752482855929166,369.86775678420315,137.92830989810705,144.39521840556125,19,7,126,0,779,fit,True,137.92830989810705
