sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,selection_score
01550M0612A,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,22.0,0.0,22.0,-22.0,9,100.0
021620616A000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,83.0,0.0,83.0,-83.0,17,100.0
083100012A000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,27.0,0.0,27.0,-27.0,12,100.0
083161010A000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,20.0,0.0,20.0,-20.0,8,100.0
083313124A000,08_fair_champion,sba_croston,SBA Croston,105.50993883040388,192.33311044609667,31.0,33.914922268076204,59.62326423828996,2.914922268076205,19,105.50993883040388
0911605023000,08_fair_champion,sba_croston,SBA Croston,106.79012345679013,143.13725490196077,34.0,16.5,48.66666666666666,-17.5,10,106.79012345679013
0911912006XC0,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,8.0,0.0,8.0,-8.0,8,100.0
0911912007000,08_fair_champion,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,104.57054771998202,101.85132319210426,839.0,31.36190490150376,854.5326015817548,-807.6380950984963,47,104.57054771998202
09136M05078000,08_fair_champion,direct_extra_trees_log1p,Direct Extra Trees log1p,120.34717215874268,286.57130415070174,37.0,78.904632491797,106.03138253575963,41.904632491797,13,120.34717215874268
0914016023000,08_fair_champion,sba_croston,SBA Croston,100.4040948275862,145.37898936170214,47.0,21.984375,68.328125,-25.015625,10,100.4040948275862
0914806007000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.49610696271908,109.07388186853537,63.0,7.68138011248255,68.71654557717729,-55.31861988751745,13,100.49610696271908
09148M06022000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,26.0,0.0,26.0,-26.0,14,100.0
0915912024000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,33.0,0.0,33.0,-33.0,3,100.0
0915912051000,08_fair_champion,aggregate_allocation,Aggregate Allocation,100.0,100.0,51.0,0.0,51.0,-51.0,9,100.0
0915912079000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,113.0,0.0,113.0,-113.0,9,100.0
0915912L02000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,50.0,0.0,50.0,-50.0,14,100.0
0915918022000,08_fair_champion,sba_croston,SBA Croston,122.2686991950388,113.5576727668135,190.0,171.72589364143033,215.75957825694564,-18.27410635856968,70,122.2686991950388
0915918024000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,113.67031676102776,15.0,2.050547514154162,17.05054751415416,-12.94945248584584,8,100.0
0915924009000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,39.0,0.0,39.0,-39.0,27,100.0
0916435003000,08_fair_champion,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,100.0,100.0,75.0,0.0,75.0,-75.0,28,100.0
0924130010000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,39.0,0.0,39.0,-39.0,22,100.0
0928017002000,08_fair_champion,direct_extra_trees_log1p,Direct Extra Trees log1p,98.50205986885511,90.20359463063198,677.0,292.4291547179503,610.6783356493786,-384.5708452820496,103,98.50205986885511
0928022020000,08_fair_champion,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,101.69366974701582,104.565670534365,70.0,5.9507160582385055,73.1959693740555,-64.0492839417615,40,101.69366974701582
0928056004000,08_fair_champion,direct_extra_trees_log1p,Direct Extra Trees log1p,134.57087942741356,111.4159500778905,480.0,246.07994088907856,534.7965603738744,-233.9200591109214,72,134.57087942741356
0928314005000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,106.6675926604804,71.0,4.733990788941086,75.73399078894109,-66.26600921105891,23,100.0
0928326016000,08_fair_champion,sba_croston,SBA Croston,110.77725695102968,97.28150171839776,339.0,182.81715584414425,329.7842908253684,-156.18284415585578,85,110.77725695102968
0928335036000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.29763322336838,134.27664563627883,180.0,67.94769682685518,241.6979621453019,-112.0523031731448,12,100.29763322336838
0928340021000,08_fair_champion,sba_croston,SBA Croston,97.62065866977248,96.21154903189128,716.0,111.07352594122509,688.8746910683415,-604.9264740587748,97,97.62065866977248
0928340027000,08_fair_champion,sba_croston,SBA Croston,94.81371497465952,91.91995668281784,477.0,105.98689668067118,438.4581933770412,-371.0131033193288,110,94.81371497465952
0928345012000,08_fair_champion,sba_croston,SBA Croston,93.9853749482804,93.06618950493824,357.0,76.74476914670998,332.2462965326296,-280.25523085329,108,93.9853749482804
0928906003000,08_fair_champion,sba_croston,SBA Croston,91.8336497467921,86.10609265587061,3573.0,1255.7856641658182,3076.5706905942566,-2317.214335834182,110,91.8336497467921
0928948004000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,104.39529805348528,144.64387923841767,69.0,33.316000947173976,99.80427667450816,-35.683999052826024,17,104.39529805348528
0930508011000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,38.0,0.0,38.0,-38.0,14,100.0
0931912047000,08_fair_champion,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,103.25910623412504,106.06076292260607,600.0,36.36457753563647,636.3645775356365,-563.6354224643635,19,103.25910623412504
0932010024000,08_fair_champion,direct_extra_trees_log1p,Direct Extra Trees log1p,116.97584162359696,146.16302322655383,176.0,141.2258905134978,257.2469208787347,-34.7741094865022,35,116.97584162359696
