sku_id,candidate_source,candidate_model_key,candidate_model,mean_rolling_3m_wmape_percent,horizon_wmape_percent,actual_total,forecast_total,absolute_error,bias,actual_positive_months,selection_score,champion_quality
01550M0612A,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,22.0,0.0,22.0,-22.0,9,100.0,under_100
021620616A000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,83.0,0.0,83.0,-83.0,17,100.0,under_100
083100012A000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,27.0,0.0,27.0,-27.0,12,100.0,under_100
083161010A000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,20.0,0.0,20.0,-20.0,8,100.0,under_100
083313124A000,08_fair_champion,sba_croston,SBA Croston,105.50993883040388,192.33311044609667,31.0,33.914922268076204,59.62326423828996,2.914922268076205,19,105.50993883040388,under_200
0911605023000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,104.11006048873618,130.65834045410156,34.0,14.493380308151245,44.42383575439453,-19.506619691848755,10,104.11006048873618,under_200
0911912006XC0,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,8.0,0.0,8.0,-8.0,8,100.0,under_100
0911912007000,09_croston_ml_hybrid,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,100.18569981936068,101.36096108798048,839.0,17.958593785762787,850.4184635281563,-821.0414062142372,47,100.18569981936068,under_200
09136M05078000,09_croston_ml_hybrid,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,100.76516927541556,144.21603615219527,37.0,18.74115300178528,53.359933376312256,-18.25884699821472,13,100.76516927541556,under_200
0914016023000,08_fair_champion,sba_croston,SBA Croston,100.4040948275862,145.37898936170214,47.0,21.984375,68.328125,-25.015625,10,100.4040948275862,under_200
0914806007000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.49610696271908,109.07388186853537,63.0,7.68138011248255,68.71654557717729,-55.31861988751745,13,100.49610696271908,under_200
09148M06022000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,26.0,0.0,26.0,-26.0,14,100.0,under_100
0915912024000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,33.0,0.0,33.0,-33.0,3,100.0,under_100
0915912051000,08_fair_champion,aggregate_allocation,Aggregate Allocation,100.0,100.0,51.0,0.0,51.0,-51.0,9,100.0,under_100
0915912079000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,113.0,0.0,113.0,-113.0,9,100.0,under_100
0915912L02000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,50.0,0.0,50.0,-50.0,14,100.0,under_100
0915918022000,09_croston_ml_hybrid,croston_hist_gate_probsize,Croston HistGB gated probability size,106.82276699605144,108.33650492785773,190.0,46.67984786396576,205.83935936292968,-143.32015213603424,70,106.82276699605144,under_200
0915918024000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,113.67031676102776,15.0,2.050547514154162,17.05054751415416,-12.94945248584584,8,100.0,under_100
0915924009000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,39.0,0.0,39.0,-39.0,27,100.0,under_100
0916435003000,08_fair_champion,hurdle_xgb_thr30,Hurdle XGBoost threshold 0.30,100.0,100.0,75.0,0.0,75.0,-75.0,28,100.0,under_100
0924130010000,08_fair_champion,hurdle_rf_thr35,Hurdle Random Forest threshold 0.35,100.0,100.0,39.0,0.0,39.0,-39.0,22,100.0,under_100
