sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,fair08_source,fair08_model,fair08_mean_rolling_3m_wmape_percent,delta_09_champion_minus_08
01550M0612A,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
021620616A000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
083100012A000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
083161010A000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
083313124A000,08_fair_champion,SBA Croston,105.50993883040388,06_intermittent_tournament,SBA Croston,105.50993883040388,0.0
0911605023000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,104.11006048873618,06_intermittent_tournament,SBA Croston,106.79012345679013,-2.680062968053946
0911912006XC0,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
0911912007000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,100.18569981936068,08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,104.57054771998202,-4.384847900621338
09136M05078000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,100.76516927541556,07_clean_regression,Direct Extra Trees log1p,120.34717215874268,-19.58200288332712
0914016023000,08_fair_champion,SBA Croston,100.4040948275862,06_intermittent_tournament,SBA Croston,100.4040948275862,0.0
0914806007000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.49610696271908,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.49610696271908,0.0
09148M06022000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
0915912024000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
0915912051000,08_fair_champion,Aggregate Allocation,100.0,06_intermittent_tournament,Aggregate Allocation,100.0,0.0
0915912079000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
0915912L02000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
0915918022000,09_croston_ml_hybrid,Croston HistGB gated probability size,106.82276699605144,06_intermittent_tournament,SBA Croston,122.2686991950388,-15.445932198987364
0915918024000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
