sku_id,selected_model_key,selected_model,selection_score
01550M0612A,xgb_d2_none_log,XGB depth2 unweighted log-size,100.02978788567829
021620616A000,xgb_d2_full_log,XGB depth2 full-weight log-size,104.76615741286474
083100012A000,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,101.38081406396465
083161010A000,xgb_d2_full_log,XGB depth2 full-weight log-size,100.0
083313124A000,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,113.23347152275234
0911605023000,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,117.16449602794957
0911912006XC0,xgb_d2_none_log,XGB depth2 unweighted log-size,100.0
0911912007000,xgb_d2_none_log,XGB depth2 unweighted log-size,101.46985509456681
09136M05078000,xgb_d2_none_log,XGB depth2 unweighted log-size,100.95670348261157
0914016023000,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,112.00979446883302
0914806007000,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,103.98676377305954
09148M06022000,xgb_d2_none_log,XGB depth2 unweighted log-size,103.09029032070129
0915912024000,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,100.0
0915912051000,xgb_d2_full_log,XGB depth2 full-weight log-size,99.9865245606218
0915912079000,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,132.36842479282976
0915912L02000,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,100.00471117932142
0915918022000,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,111.21326305868519
0915918024000,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,112.42389097227682
0915924009000,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,105.05898487642408
0916435003000,xgb_d2_none_log,XGB depth2 unweighted log-size,100.41245143260596
0924130010000,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,100.10125809594204
0928017002000,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,97.05767993418279
0928022020000,xgb_d2_none_log,XGB depth2 unweighted log-size,100.85035274647514
0928056004000,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,112.68377178244992
0928314005000,xgb_d2_full_log,XGB depth2 full-weight log-size,106.98913822500778
0928326016000,xgb_d2_none_log,XGB depth2 unweighted log-size,147.07339798326106
0928335036000,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,100.0859309365784
0928340021000,xgb_d2_full_log,XGB depth2 full-weight log-size,111.22802852951936
