sku_id,history_months,history_total_demand,positive_months,positive_months_last12,positive_blocks_last18,months_since_positive,positive_mean,positive_median,positive_cv2,average_demand_interval,recent_3m_total,recent_6m_total,recent_12m_total,recent_vs_prior_6m_ratio,stock_observation_share,potential_stock_constraint_share,trailing_12m_units,trailing_12m_value,FAMILY_DESCRIPTION,SUBFAMILY_DESCRIPTION,MATERIAL_DESCRIPTION,Brand,Channel,REGION,lifecycle_tier,frequency_tier,recency_tier,size_tier,potential_stock_status,abc_units_tier,abc_value_tier,classification_cutoff,product_master_assumption
01550M0612A,39,70.0,3,0,0,20.0,23.333333333333332,14.0,0.5697959183673471,9.0,0.0,0.0,0.0,1.0,0.07692307692307693,,0.0,0.0,CARROCERIA,ESTRUCTURA,BOLT,SUZUKI,DISTRIBUTION,AMERICAS,dormant,rare_0_1,dormant_12_plus,multi_unit_stable,stock_data_limited,C,C,2024-07-01,True
021620616A000,37,22.0,5,2,3,0.0,4.4,6.0,0.4256198347107437,9.0,6.0,12.0,12.0,13.0,0.13513513513513514,,12.0,0.0,CARROCERIA,ESTRUCTURA,PERNO,SUZUKI,DISTRIBUTION,AMERICAS,established,occasional_2_3,recent_0_2,multi_unit_stable,stock_data_limited,A,C,2024-07-01,True
083100012A000,37,11.0,5,0,1,12.0,2.2,1.0,0.7768595041322314,6.0,0.0,0.0,0.0,1.0,0.13513513513513514,,0.0,0.0,CARROCERIA,ESTRUCTURA,TUERC.12M(4C10),SUZUKI,DISTRIBUTION,AMERICAS,dormant,rare_0_1,dormant_12_plus,mostly_single_unit,stock_data_limited,C,C,2024-07-01,True
083161010A000,36,12.0,2,0,0,30.0,6.0,6.0,0.6944444444444445,5.0,0.0,0.0,0.0,1.0,0.05555555555555555,,0.0,0.0,CARROCERIA,ESTRUCTURA,TUERCA,SUZUKI,DISTRIBUTION,AMERICAS,dormant,rare_0_1,dormant_12_plus,multi_unit_stable,stock_data_limited,C,C,2024-07-01,True
083313124A000,24,10.0,5,3,4,4.0,2.0,1.0,0.4,4.75,0.0,3.0,5.0,1.3333333333333333,0.20833333333333334,,5.0,0.0,CARROCERIA,ESTRUCTURA,SEGURO,SUZUKI,DISTRIBUTION,AMERICAS,established,recurring_4_6,recent_3_5,mostly_single_unit,stock_data_limited,B,C,2024-07-01,True
0911605023000,17,12.0,2,1,2,4.0,6.0,6.0,0.4444444444444444,12.0,0.0,2.0,2.0,3.0,0.11764705882352941,,2.0,0.0,CARROCERIA,ESTRUCTURA,PERNO TUBO LLENADO DE COMBUSTIBLE,SUZUKI,DISTRIBUTION,AMERICAS,developing,occasional_2_3,recent_3_5,multi_unit_stable,stock_data_limited,C,C,2024-07-01,True
0911912006XC0,38,15.0,3,0,0,22.0,5.0,4.0,0.5599999999999999,7.5,0.0,0.0,0.0,1.0,0.07894736842105263,,0.0,0.0,CARROCERIA,ESTRUCTURA,PERNO MAZA RUEDA DEL,SUZUKI,DISTRIBUTION,AMERICAS,dormant,rare_0_1,dormant_12_plus,multi_unit_stable,stock_data_limited,C,C,2024-07-01,True
0911912007000,39,108.0,7,4,3,1.0,15.428571428571429,10.0,1.4305555555555554,6.166666666666667,1.0,61.0,78.0,3.4444444444444446,0.1794871794871795,,78.0,0.0,CARROCERIA,ESTRUCTURA,PERNO RUEDA(3D6),SUZUKI,DISTRIBUTION,AMERICAS,established,occasional_2_3,recent_0_2,volatile_positive_size,stock_data_limited,A,C,2024-07-01,True
09136M05078000,23,10.0,2,0,0,18.0,5.0,5.0,0.6400000000000001,4.0,0.0,0.0,0.0,1.0,0.08695652173913043,,0.0,0.0,CARROCERIA,ESTRUCTURA,TORNILLO,SUZUKI,DISTRIBUTION,AMERICAS,developing,rare_0_1,dormant_12_plus,multi_unit_stable,stock_data_limited,C,C,2024-07-01,True
0914016023000,21,10.0,3,1,2,4.0,3.3333333333333335,2.0,0.6199999999999999,8.0,0.0,7.0,7.0,8.0,0.14285714285714285,,7.0,0.0,CARROCERIA,ESTRUCTURA,TUERCA STD,SUZUKI,DISTRIBUTION,AMERICAS,developing,occasional_2_3,recent_3_5,multi_unit_stable,stock_data_limited,B,C,2024-07-01,True
