base_model_key,variant_id,variant_mode,calibration_scale,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,under_100_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct,abs_bias_pct,cohort
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__none__b0.00__s0.75,soft,0.75,215,215,83,172,214,0.386046511627907,0.8,0.9953488372093023,54.16676092147827,66.42268185645065,0.4786645174026489,59.1574887632451,6830.0,3905.9634286165237,-42.81166283138325,42.81166283138325,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s0.75,soft,0.75,215,215,82,171,214,0.3813953488372093,0.7953488372093023,0.9953488372093023,55.25054931640625,67.37674096051384,0.4908192722420944,59.725272784645,6830.0,3878.0404317379,-43.22049148260761,43.22049148260761,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s0.75,soft,0.75,215,215,78,171,215,0.3627906976744186,0.7953488372093023,1.0,55.109158315156634,66.88895484675533,0.48865471482276907,58.58302659119205,6830.0,4279.451792538166,-37.34331196869449,37.34331196869449,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s0.75,expected,0.75,215,215,80,170,214,0.37209302325581395,0.7906976744186046,0.9953488372093023,55.804017066955566,66.46956075139406,0.4926323413848877,60.068010464419736,6830.0,3735.083957850933,-45.31355845020596,45.31355845020596,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__expected__p1.00__none__b0.00__s1.25,expected,1.25,215,215,75,170,214,0.3488372093023256,0.7906976744186046,0.9953488372093023,56.24686931741649,67.0362160871449,0.49840933723109115,59.963577370517946,6830.0,3924.6934668421745,-42.53743093935323,42.53743093935323,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__none__b0.00__s1.00,soft,1.0,215,215,75,170,214,0.3488372093023256,0.7906976744186046,0.9953488372093023,56.352656841278076,66.94027615450466,0.5017377535502116,60.938059054915065,6830.0,3659.6920783519745,-46.417392703485,46.417392703485,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__none__b0.00__s1.25,soft,1.25,215,215,95,169,214,0.4418604651162791,0.786046511627907,0.9953488372093023,52.716950809254364,67.39337127439438,0.4775359800883702,57.36464668681646,6830.0,4574.615095376968,-33.02174091688187,33.02174091688187,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s0.75,expected,0.75,215,215,77,169,214,0.3581395348837209,0.786046511627907,0.9953488372093023,56.357114965265446,67.83783322288878,0.4951807578404745,60.64818329814587,6830.0,3716.278822004795,-45.5888898681582,45.5888898681582,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__recent6__b0.25__s0.75,soft,0.75,215,215,97,167,212,0.4511627906976744,0.7767441860465116,0.986046511627907,52.116678489579094,68.40623048089799,0.46646013855934143,56.58510517759868,6830.0,5150.347573637962,-24.592275642196746,24.592275642196746,recurring_a
block_direct_d2_tweedie,block_direct_d2_tweedie__direct__p1.00__none__b0.00__s0.75,direct,0.75,215,215,101,166,210,0.4697674418604651,0.772093023255814,0.9767441860465116,51.50731927470157,68.86897222201029,0.44984891197898164,56.89487567845061,6830.0,4939.477406322956,-27.679686583851304,27.679686583851304,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__none__b0.00__s1.00,soft,1.0,215,215,97,166,213,0.4511627906976744,0.772093023255814,0.9906976744186047,51.01021912138341,68.2803934234104,0.4631918668746948,56.077614846376164,6830.0,5207.951235771179,-23.748883810085225,23.748883810085225,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__none__b0.00__s1.00,soft,1.0,215,215,97,166,213,0.4511627906976744,0.772093023255814,0.9906976744186047,51.832963625590004,67.94118276173944,0.4619766932267409,56.38565371535707,6830.0,5170.7205847501755,-24.293988510246333,24.293988510246333,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s1.00,soft,1.0,215,215,93,166,213,0.4325581395348837,0.772093023255814,0.9906976744186047,53.14517234052931,67.34251083866243,0.4510903689596388,56.96660446867587,6830.0,4965.644055038691,-27.296573132669245,27.296573132669245,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s1.00,expected,1.0,215,215,100,165,213,0.46511627906976744,0.7674418604651163,0.9906976744186047,52.41939713878016,68.62268365839476,0.47016990863210784,56.63980570230442,6830.0,4955.038419365883,-27.45185330357419,27.45185330357419,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__recent6__b0.25__s0.75,soft,0.75,215,215,97,164,212,0.4511627906976744,0.7627906976744186,0.986046511627907,52.712117195129395,69.0389036114347,0.4540695812967088,56.86764979781378,6830.0,5129.405321717262,-24.898897193012264,24.898897193012264,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__expected__p1.00__none__b0.00__s1.50,expected,1.5,215,215,89,164,214,0.413953488372093,0.7627906976744186,0.9953488372093023,53.87677267978066,68.27375476297578,0.4908201013292586,57.92740747223487,6830.0,4709.632147014141,-31.044917320437172,31.044917320437172,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s1.00,expected,1.0,215,215,100,163,214,0.46511627906976744,0.7581395348837209,0.9953488372093023,51.603689193725586,69.27011205304053,0.46043513298034666,56.26431680703058,6830.0,4980.111953377724,-27.08474446006261,27.08474446006261,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__none__b0.00__s1.50,soft,1.5,215,215,89,162,210,0.413953488372093,0.7534883720930232,0.9767441860465116,53.377938914943385,69.57832281930106,0.4705516425046053,57.166833195993526,6830.0,5489.538110077381,-19.6260891643136,19.6260891643136,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__soft__p0.75__recent6__b0.25__s1.25,soft,1.25,215,215,92,161,210,0.42790697674418604,0.7488372093023256,0.9767441860465116,53.60127091407776,69.9629626242943,0.4629348635673523,57.23891054728719,6830.0,5651.83631670475,-17.24983430886164,17.24983430886164,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__expected__p1.00__none__b0.00__s1.00,expected,1.0,215,215,56,161,215,0.26046511627906976,0.7488372093023256,1.0,60.729888633445455,69.80770056446394,0.5551310082276664,64.50455445539899,6830.0,3139.7547685801983,-54.029944823130336,54.029944823130336,recurring_a
block_hurdle_d2_full_log,block_hurdle_d2_full_log__expected__p1.00__none__b0.00__s1.75,expected,1.75,215,215,85,160,211,0.3953488372093023,0.7441860465116279,0.9813953488372092,55.210238236647385,70.50523334691505,0.48167258501052856,58.00025303751274,6830.0,5494.570845246315,-19.552403437096412,19.552403437096412,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__soft__p0.75__recent6__b0.25__s1.00,soft,1.0,215,215,90,159,209,0.4186046511627907,0.7395348837209302,0.9720930232558139,54.210866951360934,70.90870993477957,0.48197780336652496,57.48766386840563,6830.0,6126.838428616524,-10.2951913818957,10.2951913818957,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__soft__p0.75__recent6__b0.25__s1.00,soft,1.0,215,215,86,157,208,0.4,0.7302325581395349,0.9674418604651163,54.40295219421387,72.43631174487453,0.4835528305598668,57.860117691676756,6830.0,6098.9154317379,-10.704020033120061,10.704020033120061,recurring_a
block_hurdle_d2_sqrt_log,block_hurdle_d2_sqrt_log__expected__p1.00__none__b0.00__s1.25,expected,1.25,215,215,86,157,200,0.4,0.7302325581395349,0.9302325581395349,56.032360792160034,74.92980320373935,0.5038444413079156,58.1463984619297,6830.0,6193.7980082035065,-9.314816863784678,9.314816863784678,recurring_a
block_hurdle_d3_sqrt_log,block_hurdle_d3_sqrt_log__expected__p1.00__none__b0.00__s1.25,expected,1.25,215,215,86,155,203,0.4,0.7209302325581395,0.9441860465116279,54.718032750216395,72.2412707713934,0.47902816220333705,57.4900337804987,6830.0,6225.139951586723,-8.855930430648268,8.855930430648268,recurring_a
