candidate_id,strategy,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias,cohort
router_soft,router_soft,215,215,103,175,213,51.50819293291746,64.80555044893589,0.4453753176667888,55.569221688601445,6830.0,5077.880593066793,-25.65328560663553,25.65328560663553,recurring_a
median,median,215,215,98,175,213,51.92428319169918,65.7811054604942,0.4566847251202509,56.31485260782253,6830.0,4686.9772805552875,-31.376613754681003,31.376613754681003,recurring_a
mean,mean,215,215,102,173,212,50.96769302652088,65.59174087570833,0.45062124942517096,55.339813503455645,6830.0,5049.643671881624,-26.066710514178272,26.066710514178272,recurring_a
trimmed_mean,trimmed_mean,215,215,103,172,212,51.09086305365606,65.37587299626996,0.4550329910435912,55.36041594476639,6830.0,5019.7075893092715,-26.505013333685632,26.505013333685632,recurring_a
router_linear_blend,router_linear_blend,215,215,95,165,207,53.94600805996745,68.12023039121829,0.4824671570125856,57.16544145177195,6830.0,5979.165682278637,-12.457310654778372,12.457310654778372,recurring_a
router_hard,router_hard,215,215,91,159,212,54.263535514473915,71.08045254578205,0.4778082520391529,60.95964771930377,6830.0,5970.707868910595,-12.581143939815597,12.581143939815597,recurring_a
xgb_tweedie,xgb_tweedie,215,215,83,150,193,56.35238374982561,77.1437946005144,0.5210078518565108,59.53171659528249,6830.0,6992.342836380005,2.3769082925330145,2.3769082925330145,recurring_a
linear_residual_hgb,linear_residual_hgb,215,215,81,145,192,58.31189601534884,80.16082625350592,0.5173725894970775,62.08312606213687,6830.0,7044.408927460343,3.1392229496389894,3.1392229496389894,recurring_a
positive_elastic,positive_elastic,215,215,88,141,194,58.190111428048304,77.62056096404986,0.5113598064228181,61.52454756210775,6830.0,6865.467972291177,0.5192968124623268,0.5192968124623268,recurring_a
positive_linear,positive_linear,215,215,87,141,193,58.48964905110185,77.77720976464317,0.5144778258252495,61.712293355124096,6830.0,6880.450771490482,0.738664297078801,0.738664297078801,recurring_a
random_forest,random_forest,215,215,79,139,188,59.46198849733063,80.26161088064136,0.5175979274153863,61.96289162816981,6830.0,7074.296538394428,3.576816081909639,3.576816081909639,recurring_a
hist_poisson,hist_poisson,215,215,73,137,184,61.93830738877148,78.55821773108389,0.5485251724515348,64.51935997494158,6830.0,6875.962412865954,0.6729489438646313,0.6729489438646313,recurring_a
median,median,110,110,36,71,96,60.118453784161645,87.74895728179607,0.3580773656850249,66.90688970215753,1568.0,1504.7084254595402,-4.036452457937488,4.036452457937488,recurring_b
router_soft,router_soft,110,110,35,70,95,60.682171617604766,81.82264463057386,0.37129655798025296,67.4779112827847,1568.0,1524.7439279295854,-2.7586780657152152,2.7586780657152152,recurring_b
trimmed_mean,trimmed_mean,110,110,36,69,95,60.64760136656876,81.87194967855478,0.3724768297475546,67.87582463876463,1568.0,1551.290878694826,-1.0656327362993618,1.0656327362993618,recurring_b
mean,mean,110,110,36,68,95,60.37585947016019,81.68343941974334,0.37321948076382405,67.91968093270802,1568.0,1549.761186888873,-1.163189611679018,1.163189611679018,recurring_b
router_hard,router_hard,110,110,35,65,96,63.17681184656371,82.67652451103807,0.3882640938725048,69.62079782641011,1568.0,1414.9925706173005,-9.758126873896648,9.758126873896648,recurring_b
xgb_tweedie,xgb_tweedie,110,110,20,63,95,64.51725340806522,84.32758692651987,0.38995181852858907,70.0303347439182,1568.0,1338.907631635666,-14.610482676296819,14.610482676296819,recurring_b
router_linear_blend,router_linear_blend,110,110,33,61,95,64.47441560199573,86.21758402426981,0.37230439790747627,69.60162389401945,1568.0,1562.7153330197805,-0.33703233292216367,0.33703233292216367,recurring_b
random_forest,random_forest,110,110,29,59,91,66.22949677158826,90.97401739099469,0.39667879670377704,71.02744448455482,1568.0,1587.8913793481072,1.2685828665884689,1.2685828665884689,recurring_b
hist_poisson,hist_poisson,110,110,23,57,94,69.18741705956528,87.98647070388323,0.416550158056182,73.40902724684604,1568.0,1314.4800671775947,-16.1683630626534,16.1683630626534,recurring_b
positive_elastic,positive_elastic,110,110,22,51,89,71.7634370654714,94.00032464060537,0.43046432378134725,73.65571656095364,1568.0,1597.9408138960066,1.9094906821432782,1.9094906821432782,recurring_b
positive_linear,positive_linear,110,110,22,51,89,72.28450762475956,94.49144557831676,0.4303896978969387,73.81781621759221,1568.0,1600.6867381099753,2.0846133998708734,2.0846133998708734,recurring_b
linear_residual_hgb,linear_residual_hgb,110,110,21,50,83,72.62960539309529,96.0834835465077,0.44061437132804404,74.98858903651504,1568.0,1606.2079282184968,2.4367301159755623,2.4367301159755623,recurring_b
