candidate_id,config_id,temperature,decay,shrink,neighbor_weight,top_k,memory_weight,shift_threshold,shift_decay,neighbors,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,cohort
temp1.00__decay0.50__shrink2.0__peer0.00__top2__memory0.50,temp1.00__decay0.50__shrink2.0__peer0.00__top2__memory0.50,1.0,0.5,2.0,0.0,2.0,0.5,0.75,0.25,12,215,215,93,153,204,54.57265036176565,72.2369420194627,0.45389802551063296,56.60279857095213,3699.0,2646.777567482316,-28.446132265955228,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.00__top2__memory0.75,temp1.00__decay0.50__shrink2.0__peer0.00__top2__memory0.75,1.0,0.5,2.0,0.0,2.0,0.75,0.75,0.25,12,215,215,92,154,204,54.35514267869328,73.04008958124737,0.44297546235217583,57.40059168974511,3699.0,2681.3984563891945,-27.51017960559085,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.00__top2__memory1.00,temp1.00__decay0.50__shrink2.0__peer0.00__top2__memory1.00,1.0,0.5,2.0,0.0,2.0,1.0,0.75,0.25,12,215,215,93,151,205,54.258283479611876,73.60238294583355,0.4407738234348932,58.676862245269405,3699.0,2716.019345296072,-26.57422694522649,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.00__top4__memory0.50,temp1.00__decay0.50__shrink2.0__peer0.00__top4__memory0.50,1.0,0.5,2.0,0.0,4.0,0.5,0.75,0.25,12,215,215,94,153,205,54.51142040569027,71.92762118601097,0.45294015838917046,56.036456887345956,3699.0,2664.9481794611092,-27.95490187993757,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.00__top4__memory0.75,temp1.00__decay0.50__shrink2.0__peer0.00__top4__memory0.75,1.0,0.5,2.0,0.0,4.0,0.75,0.75,0.25,12,215,215,92,152,204,54.41015600252963,72.5226153634725,0.4443929739033159,56.47675097151556,3699.0,2708.654374357384,-26.77333402656437,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.00__top4__memory1.00,temp1.00__decay0.50__shrink2.0__peer0.00__top4__memory1.00,1.0,0.5,2.0,0.0,4.0,1.0,0.75,0.25,12,215,215,92,151,205,54.4280728532312,73.93498355470294,0.46018436502054394,57.51190639425727,3699.0,2752.360569253658,-25.591766173191186,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.00__topall__memory0.50,temp1.00__decay0.50__shrink2.0__peer0.00__topall__memory0.50,1.0,0.5,2.0,0.0,,0.5,0.75,0.25,12,215,215,100,154,205,53.483562253457265,71.23595331006752,0.4423173209810505,55.89973509788606,3699.0,2648.6202330355154,-28.396317030670033,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.00__topall__memory0.75,temp1.00__decay0.50__shrink2.0__peer0.00__topall__memory0.75,1.0,0.5,2.0,0.0,,0.75,0.75,0.25,12,215,215,101,155,204,52.66316490059929,71.82334371184271,0.443406231498789,56.00018555140205,3699.0,2684.162454718993,-27.435456752663068,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.00__topall__memory1.00,temp1.00__decay0.50__shrink2.0__peer0.00__topall__memory1.00,1.0,0.5,2.0,0.0,,1.0,0.75,0.25,12,215,215,99,156,203,53.023470861194355,71.78326968931553,0.43451743384769437,56.514853699614065,3699.0,2719.70467640247,-26.474596474656124,recurring_a
temp1.00__decay0.50__shrink2.0__peer0.35__top2__memory0.50,temp1.00__decay0.50__shrink2.0__peer0.35__top2__memory0.50,1.0,0.5,2.0,0.35,2.0,0.5,0.75,0.25,12,215,215,96,156,204,54.16446995597391,71.33346816274126,0.4482328875202313,56.31227982646384,3699.0,2625.3028848219774,-29.026686001027915,recurring_a
