candidate_column,candidate_id
candidate_00,c_only__sba_a0.50__w36__classical__s0.75
candidate_01,c_only__sba_a0.50__w48__classical__s0.75
candidate_02,c_only__direct_d2_base_p135__w36__direct__p1.00__t0.00__s0.75__none__b0.00
candidate_03,c_only__direct_d2_base_p135__w48__direct__p1.00__t0.00__s0.75__none__b0.00
candidate_04,c_only__hurdle_d1_sqrt_log__w36__soft__p1.25__t0.00__s0.75__none__b0.00
candidate_05,c_only__hurdle_d1_sqrt_log__w48__soft__p1.25__t0.00__s0.75__none__b0.00
candidate_06,pooled_transfer__sba_a0.50__w36__classical__s0.75
candidate_07,pooled_transfer__sba_a0.50__w48__classical__s0.75
candidate_08,pooled_transfer__direct_d2_base_p135__w36__direct__p1.00__t0.00__s0.75__none__b0.00
candidate_09,pooled_transfer__direct_d2_base_p135__w48__direct__p1.00__t0.00__s0.75__none__b0.00
candidate_10,pooled_transfer__hurdle_d2_full_log__w36__soft__p0.50__t0.00__s0.75__none__b0.00
candidate_11,pooled_transfer__hurdle_d2_full_log__w48__soft__p0.50__t0.00__s0.75__none__b0.00
