candidate_id,config_id,temperature,decay,shrink,neighbor_weight,top_k,memory_weight,shift_threshold,shift_decay,neighbors,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias
temp1.00__decay0.80__shrink6.0__peer0.00__top2__memory1.00,temp1.00__decay0.80__shrink6.0__peer0.00__top2__memory1.00,1.0,0.8,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,8,16,27,77.05283494524036,94.25419648562445,0.31120925695856516,82.78927211693157,139.0,112.23476667810979,-19.255563540928208,19.255563540928208
temp3.00__decay0.80__shrink6.0__peer0.00__top2__memory1.00,temp3.00__decay0.80__shrink6.0__peer0.00__top2__memory1.00,3.0,0.8,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,8,16,27,77.05283494524036,94.38264790473855,0.31120925695856516,82.79646931501125,139.0,112.24703050897227,-19.24674064102714,19.24674064102714
temp6.00__decay0.80__shrink6.0__peer0.00__top2__memory1.00,temp6.00__decay0.80__shrink6.0__peer0.00__top2__memory1.00,6.0,0.8,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,8,16,27,77.05283494524036,94.57517865241108,0.31120925695856516,82.80725607563913,139.0,112.26541344999673,-19.233515503599477,19.233515503599477
temp6.00__decay0.50__shrink6.0__peer0.00__top2__memory1.00,temp6.00__decay0.50__shrink6.0__peer0.00__top2__memory1.00,6.0,0.5,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,8,15,27,77.88678534724728,91.888111673184,0.31120925695856516,81.49348407336626,139.0,111.01204278489469,-20.135221018061376,20.135221018061376
temp3.00__decay0.50__shrink6.0__peer0.00__top2__memory1.00,temp3.00__decay0.50__shrink6.0__peer0.00__top2__memory1.00,3.0,0.5,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,8,15,27,77.89147994552312,91.68690424132252,0.31120925695856516,81.48310022526687,139.0,110.9955119385219,-20.147113713293596,20.147113713293596
temp1.00__decay0.50__shrink6.0__peer0.00__top2__memory1.00,temp1.00__decay0.50__shrink6.0__peer0.00__top2__memory1.00,1.0,0.5,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,8,15,27,77.89461110643245,91.55268515116738,0.31120925695856516,81.47617416690511,139.0,110.9844864840014,-20.155045694963025,20.155045694963025
temp6.00__decay1.00__shrink6.0__peer0.00__top2__memory1.00,temp6.00__decay1.00__shrink6.0__peer0.00__top2__memory1.00,6.0,1.0,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,7,14,26,77.89367206657303,100.31000682666212,0.3279294334863504,83.39703566143493,139.0,112.62108116891925,-18.977639446820685,18.977639446820685
temp3.00__decay1.00__shrink6.0__peer0.00__top2__memory1.00,temp3.00__decay1.00__shrink6.0__peer0.00__top2__memory1.00,3.0,1.0,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,7,14,26,77.89492444054302,100.30914477699676,0.3279294334863504,83.38971545859648,139.0,112.60590066052477,-18.988560675881462,18.988560675881462
temp1.00__decay1.00__shrink6.0__peer0.00__top2__memory1.00,temp1.00__decay1.00__shrink6.0__peer0.00__top2__memory1.00,1.0,1.0,6.0,0.0,2.0,1.0,0.75,0.25,12,35,35,7,14,26,77.89575938361686,100.30856999820404,0.3279294334863504,83.38483282146336,139.0,112.59577573392033,-18.995844795740766,18.995844795740766
temp6.00__decay0.50__shrink2.0__peer0.00__topall__memory1.00,temp6.00__decay0.50__shrink2.0__peer0.00__topall__memory1.00,6.0,0.5,2.0,0.0,,1.0,0.75,0.25,12,35,35,6,14,25,81.84075980887364,115.56605786040652,0.3438406712504016,86.56146554419685,139.0,133.8058921878488,-3.736768210180721,3.736768210180721
