sku_id,abc_units_tier
083313124A000,B
0915918022000,A
0928017002000,A
0928022020000,B
0928056004000,A
0928326016000,A
0928340021000,A
0928340027000,A
0928345012000,A
0928906003000,A
0932010024000,A
0938019004000,B
0940307333000,B
09403M07311000,A
09409063145PK,B
0940907332000,A
0940908327000,A
09409M07L025PK,A
09409M15L01000,A
0947112236000,A
09471M12182000,A
1161054G30000,C
11610M65L00000,A
11610M67P10000,A
11610M76M00000,A
11610M79F30000,C
11610M79G50000,A
11620M65L10000,C
11620M68K00000,B
11620M76M00000,C
11620M79F40000,A
11710M65L00000,A
11710M68K00000,B
11710M76M00000,A
11710M79F70000,C
11710M79F80000,A
1428180JA0000,A
15910M79GB1000,A
15910M79GC0000,B
1711279P01000,B
1770054P30000,B
1770079P21000,B
1770081P00000,B
17700M60M00000,A
17700M67L00000,A
17700M67P00000,A
17700M79F02000,B
1776071L00000,C
17760M67P00000,A
1781254G00000,A
17861M68P00000,A
17878M74L00000,A
17920M76M00000,A
1793161M10000,C
1793163J01000,B
1793165D00000,C
17931M71P00000,A
1793276G00000,B
27431M79F00000,A
2811380J015PK,A
2818084A20000,B
33690M60M00000,A
3512052R21000,A
3512052S10000,A
3512062R60000,B
3512065J12000,C
3512080G21000,B
35121M66L10000,A
3515365J00000,A
35153M59K20000,A
35153M75L00000,A
3532052R20000,B
3532077R10000,A
35321M60M10000,A
35321M66L10000,B
3550065P02000,A
3552686R20000,A
35603M79G30000,B
3560461J10000,B
35650M60M00000,B
35651M79G40000,C
35651M79M00000,A
35671M79G30000,A
35671M79G40000,A
3570186R00000,A
3570273R10000,B
35750M68P00000,C
3591075F31000,A
35910M74L01000,A
36230M70CA1000,B
3627479P01000,A
3641054G01000,A
3641063J02000,A
36410M67K10000,A
3658054P00000,C
3658354P01000,A
37019M79MK0000,B
37145M55B21000,A
37145M56R20000,B
37145M66L00000,A
37736M58R00000,A
37736M79M00000,C
3773773R00Z2S,A
38315M68K00000,B
38340M51K42000,A
3845062R00000,B
3845065J10000,C
3845071L10000,A
38450M79M00000,A
38452M65L00000,A
38821M67P00000,A
3925061J00000,A
39321M56R00000,B
39321M67P00000,B
39322M67P00000,B
39322M67P10000,B
4171080J00000,B
41710M68K00000,A
41710M82000000,A
43110M75J80000-OP,C
4321052R5027N,B
4321052S0039M,A
4321053R100CE,A
4321061J01ZBP,B
4321064J01ZBP,C
4321068LA0ZA8,A
43210M55R6027N,A
43210M55RH1QC8,B
43210M68K1109L,A
43210M76M5127N,B
43210M79G5339M,A
43210M83P0027N,B
43250M68K1027N,B
43250M68K2027N,A
43250M74L0027N,A
43250M74L1027N,B
43250M79G6027N,A
43250M79M0027N,A
43402M74L21000,A
4342386G01000,A
48150M69R00C48,A
5730073R02000,A
5730079P02000,A
57300M66L00000,A
57300M68K10000,A
5741079P00000,B
57410M67P00000,A
5742071L01000,B
57611M68K10000,A
57711M66L00000,B
5811077K00000,B
58110M74L00000,A
5812165J00000,B
5823054P00000,B
5823065J00000,A
58240M53M00000,A
58240M67P00000,A
58251M53M00000,A
5827080J20000,B
65500M75L00000,C
6570079P11000,A
65700M72P00000,A
6800153R00000,A
6800164J01000,A
68001M53M50000,C
6800261M01000,A
6800271L00000,A
68002M53M00000,A
68002M74L31000,A
68003M74L31000,A
69100M66L21000,B
6932068LA0000,A
7171152S005PK,A
7171154L30799,B
7171161J00799,A
7171171L00799,A
7171177KD0799,B
71711M53M005PK,A
71711M53M00799,A
71711M76M00799,B
71711M79G105PK,A
71712M60MA05PK,A
71731M60M00000,A
7173277M10000,A
7173368L00000,C
71734M58R00000,B
7174173K005PK,A
71741M66L005PK,A
71741M79G10000,B
7174265J010PG,B
7175173K105PK,A
71751M50S005PK,C
71751M68K005PK,A
71751M76MB0ZNZ,A
71751M79G10000,A
7176060P205PK,B
7176160MB05PK,C
7176171L105PK,B
7176173K105PK,A
71761M68K005PK,A
71761M75L005PK,C
71761M75L105PK,B
71761M76MB0ZNZ,B
7177161M005PK,B
71781M66L00000,A
7179086R10C48,A
7181177MJ0799,B
7181180J20799,A
71811M79G005PK,A
71812M66L00000,B
71813M66L00000,A
7182163J00000,A
71821M60M00000,C
7182263J00000,B
7185160G00000,A
7185261J01000,A
7187161M005PK,B
7211062R00ES5,B
7211157M005PK,B
72111M8450009E,B
7211281A005PK,B
72221M56R005PK,A
72311M68P01000,A
72321M79G00000,C
7232353R00000,A
72330M74L005PK,B
72333M76M005PK,B
72372M74L105PK,A
7239071L00000,B
7243179M00000,A
7246073R00000,B
7246079P00000,A
72460M60M00000,A
72520M68P02000,A
72821M76MA0000,B
73111M62S515PK,B
73310M68P61C8J,A
73310M68P61GJL,A
73410M74L105PK,C
73412M53M10U3J,B
7343061J00R8H,B
73610M68P00C48,A
73630M76M01GJL,B
73841M68P60C8J,A
73841M68P60GJL,A
73910M68P01000,A
74120M74LA0000,B
74120M79G00000,A
74461M74L00V6N,A
74461M76M00000,A
75430M76M00000,A
75463M75J00000,B
75463M79G00000,B
7552171L00000,B
7594165J00000,B
7615181A01P4Z,B
76295M53M10P4Z,C
7666179P005PK,A
76661M75L005PK,B
7672157L005PK,B
77146M50S000CB,B
77181M68K005PK,B
77181M76M005PK,B
77230M75L000PG,A
7724054P105PK,B
77250M79M100PG,C
7752061M005PK,B
7755078K000PG,A
7758064J10Z2S,A
7781163J200PG,A
77811M58J100PG,A
77831M79M000PG,C
77831M80EC00PG,A
7784161M00A93,C
7813257L01000,A
7821565J105PK,A
7822565J105PK,C
8181065J02000,A
8181086R00000,A
81850M74L00000,B
81850M79G20000,A
8211065J01000,A
82280M79811000,A
82302M68P15000,A
82510M60M51000,B
82570M53810000,A
82570M53M00000,B
82651M74K00000,A
82811M75J00000,B
8281257LA0ZNL,B
82814M75J00000,B
8285081A225PK,C
82960M60G005ES,A
82960M60G00P4Z,A
8298265D00P4Z,A
82982M65D00000,A
82982M65D005PK,A
83401M55R01000,C
83402M79G50000,A
8366152R01000,B
83661M68P01000,A
83665M68P01000,B
8381152R02000,B
8381165J00000,B
8381173R00000,C
8381180J00000,B
83811M68P00000,A
83811M79G11000,A
8382165J00000,B
83821M74L01000,A
83821M79G11000,A
8383165J00000,B
83831M79G00000,A
8384165J00000,B
83841M79G01000,A
8392165J010CB,A
8392471L200CE,B
8394068L50000,A
84501M56R00000,A
