trial_id,recipe,candidate_id,architecture,training_scope,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias
c_only__hurdle_d1_sqrt_log__w36,soft__p1.25__t0.00__s0.75__none__b0.00,c_only__hurdle_d1_sqrt_log__w36__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,7,20,32,65.59976934906064,82.99967954245653,0.31816669996099406,70.95308397531869,278.0,193.9826732579626,-30.222059979150146,30.222059979150146
c_only__hurdle_d1_sqrt_log__w48,soft__p1.25__t0.00__s0.75__none__b0.00,c_only__hurdle_d1_sqrt_log__w48__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,7,20,32,65.59976934906064,82.99967954245653,0.31816669996099406,70.95308397531869,278.0,193.9826732579626,-30.222059979150146,30.222059979150146
pooled_transfer__hurdle_d2_full_log__w36,soft__p0.50__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d2_full_log__w36__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,3,20,31,68.75873921315637,85.84582880166023,0.32988819119619495,73.8281323956166,278.0,240.71335841631122,-13.412461001326898,13.412461001326898
pooled_transfer__hurdle_d2_full_log__w48,soft__p0.50__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d2_full_log__w48__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,3,20,31,68.75873921315637,85.84582880166023,0.32988819119619495,73.8281323956166,278.0,240.71335841631122,-13.412461001326898,13.412461001326898
c_only__hurdle_d2_sqrt_log__w36,soft__p1.25__t0.00__s0.75__none__b0.00,c_only__hurdle_d2_sqrt_log__w36__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,8,19,31,61.94078481013586,84.48828357042919,0.3490676472017594,72.77394864394182,278.0,205.18199365713554,-26.193527461462036,26.193527461462036
c_only__hurdle_d2_sqrt_log__w48,soft__p1.25__t0.00__s0.75__none__b0.00,c_only__hurdle_d2_sqrt_log__w48__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,8,19,31,61.94078481013586,84.48828357042919,0.3490676472017594,72.77394864394182,278.0,205.18199365713554,-26.193527461462036,26.193527461462036
c_only__hurdle_d1_sqrt_log__w36,expected__p1.00__t0.00__s0.75__none__b0.00,c_only__hurdle_d1_sqrt_log__w36__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,8,19,31,65.06714841157958,83.45548387272245,0.3229565441643556,71.58214744674005,278.0,212.41609246069507,-23.591333647231988,23.591333647231988
c_only__hurdle_d1_sqrt_log__w48,expected__p1.00__t0.00__s0.75__none__b0.00,c_only__hurdle_d1_sqrt_log__w48__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,8,19,31,65.06714841157958,83.45548387272245,0.3229565441643556,71.58214744674005,278.0,212.41609246069507,-23.591333647231988,23.591333647231988
pooled_transfer__hurdle_d2_full_log__w36,soft__p0.75__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d2_full_log__w36__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,4,19,31,69.40064130151364,83.39180525556858,0.3297136808781958,73.3117330063473,278.0,193.23640763912667,-30.490500849235012,30.490500849235012
pooled_transfer__hurdle_d2_full_log__w48,soft__p0.75__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d2_full_log__w48__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,4,19,31,69.40064130151364,83.39180525556858,0.3297136808781958,73.3117330063473,278.0,193.23640763912667,-30.490500849235012,30.490500849235012
c_only__hurdle_d1_sqrt_log__w36,soft__p0.75__t0.00__s0.75__none__b0.00,c_only__hurdle_d1_sqrt_log__w36__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,7,18,31,66.23215700141982,86.30540315128921,0.32011425215103284,72.92226385305375,278.0,232.61513840727147,-16.325489781557025,16.325489781557025
c_only__hurdle_d1_sqrt_log__w48,soft__p0.75__t0.00__s0.75__none__b0.00,c_only__hurdle_d1_sqrt_log__w48__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,7,18,31,66.23215700141982,86.30540315128921,0.32011425215103284,72.92226385305375,278.0,232.61513840727147,-16.325489781557025,16.325489781557025
c_only__hurdle_d2_sqrt_log__w36,expected__p1.00__t0.00__s0.75__none__b0.00,c_only__hurdle_d2_sqrt_log__w36__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,5,17,31,72.83601971635693,85.54651648918721,0.3373235562318951,73.86849093027075,278.0,224.90695181722242,-19.098218770783305,19.098218770783305
c_only__hurdle_d2_sqrt_log__w48,expected__p1.00__t0.00__s0.75__none__b0.00,c_only__hurdle_d2_sqrt_log__w48__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,5,17,31,72.83601971635693,85.54651648918721,0.3373235562318951,73.86849093027075,278.0,224.90695181722242,-19.098218770783305,19.098218770783305
pooled_transfer__hurdle_d2_full_log__w36,expected__p1.00__t0.00__s1.00__none__b0.00,pooled_transfer__hurdle_d2_full_log__w36__expected__p1.00__t0.00__s1.00__none__b0.00,hurdle,pooled_transfer,35,35,3,17,31,70.9571091585687,88.4234957619915,0.3541128239014526,75.71877818793281,278.0,208.7289458468922,-24.917645378815756,24.917645378815756
pooled_transfer__hurdle_d2_full_log__w48,expected__p1.00__t0.00__s1.00__none__b0.00,pooled_transfer__hurdle_d2_full_log__w48__expected__p1.00__t0.00__s1.00__none__b0.00,hurdle,pooled_transfer,35,35,3,17,31,70.9571091585687,88.4234957619915,0.3541128239014526,75.71877818793281,278.0,208.7289458468922,-24.917645378815756,24.917645378815756
pooled_transfer__hurdle_d1_sqrt_log__w36,expected__p1.00__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d1_sqrt_log__w36__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,6,16,29,73.53566123566146,86.1755835192373,0.3257871805414982,75.80286978951145,278.0,267.1104332644925,-3.9171103365134945,3.9171103365134945
pooled_transfer__hurdle_d1_sqrt_log__w48,expected__p1.00__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d1_sqrt_log__w48__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,6,16,29,73.53566123566146,86.1755835192373,0.3257871805414982,75.80286978951145,278.0,267.1104332644925,-3.9171103365134945,3.9171103365134945
pooled_transfer__hurdle_d1_sqrt_log__w36,soft__p1.25__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d1_sqrt_log__w36__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,5,16,29,70.56106750802964,85.20875341197313,0.3220679451356827,75.27144399840294,278.0,243.64776661427777,-12.356918484072745,12.356918484072745
pooled_transfer__hurdle_d1_sqrt_log__w48,soft__p1.25__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d1_sqrt_log__w48__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,5,16,29,70.56106750802964,85.20875341197313,0.3220679451356827,75.27144399840294,278.0,243.64776661427777,-12.356918484072745,12.356918484072745
pooled_transfer__hurdle_d1_sqrt_log__w36,soft__p0.75__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d1_sqrt_log__w36__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,5,16,28,80.40058936173614,90.94601120614632,0.32891650201380085,78.0033537648548,278.0,293.9953636974484,5.753727948722445,5.753727948722445
pooled_transfer__hurdle_d1_sqrt_log__w48,soft__p0.75__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d1_sqrt_log__w48__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,5,16,28,80.40058936173614,90.94601120614632,0.32891650201380085,78.0033537648548,278.0,293.9953636974484,5.753727948722445,5.753727948722445
c_only__sba_a0.50__w36,classical__s0.75,c_only__sba_a0.50__w36__classical__s0.75,classical,c_only,35,35,5,16,24,73.27690390790269,101.25937443395729,0.3219895001845812,85.52902809630544,278.0,260.7234765733168,-6.214576772188195,6.214576772188195
c_only__sba_a0.50__w48,classical__s0.75,c_only__sba_a0.50__w48__classical__s0.75,classical,c_only,35,35,5,16,24,73.27690390790269,101.25937443395729,0.3219895001845812,85.52902809630544,278.0,260.7234765733168,-6.214576772188195,6.214576772188195
pooled_transfer__sba_a0.50__w36,classical__s0.75,pooled_transfer__sba_a0.50__w36__classical__s0.75,classical,pooled_transfer,35,35,5,16,24,73.27690390790269,101.25937443395729,0.3219895001845812,85.52902809630544,278.0,260.7234765733168,-6.214576772188195,6.214576772188195
pooled_transfer__sba_a0.50__w48,classical__s0.75,pooled_transfer__sba_a0.50__w48__classical__s0.75,classical,pooled_transfer,35,35,5,16,24,73.27690390790269,101.25937443395729,0.3219895001845812,85.52902809630544,278.0,260.7234765733168,-6.214576772188195,6.214576772188195
pooled_transfer__hurdle_d2_full_log__w36,expected__p1.00__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d2_full_log__w36__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,4,16,32,70.14281774560679,84.45537248418722,0.3326944659806189,74.49814046180768,278.0,156.54670938516915,-43.688234034111815,43.688234034111815
pooled_transfer__hurdle_d2_full_log__w48,expected__p1.00__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d2_full_log__w48__expected__p1.00__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,4,16,32,70.14281774560679,84.45537248418722,0.3326944659806189,74.49814046180768,278.0,156.54670938516915,-43.688234034111815,43.688234034111815
c_only__hurdle_d2_sqrt_log__w36,soft__p0.75__t0.00__s0.75__none__b0.00,c_only__hurdle_d2_sqrt_log__w36__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,4,16,29,76.11850495119243,90.97976542835606,0.35814441377896383,75.53830873401331,278.0,246.5415191954918,-11.316000289391443,11.316000289391443
c_only__hurdle_d2_sqrt_log__w48,soft__p0.75__t0.00__s0.75__none__b0.00,c_only__hurdle_d2_sqrt_log__w48__soft__p0.75__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,4,16,29,76.11850495119243,90.97976542835606,0.35814441377896383,75.53830873401331,278.0,246.5415191954918,-11.316000289391443,11.316000289391443
pooled_transfer__hurdle_d2_full_log__w36,soft__p1.25__t0.00__s1.00__none__b0.00,pooled_transfer__hurdle_d2_full_log__w36__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,pooled_transfer,35,35,3,16,31,70.82998693202016,87.08874381491049,0.3535299798792535,75.84695077550164,278.0,170.49669516275338,-38.67025353857792,38.67025353857792
pooled_transfer__hurdle_d2_full_log__w48,soft__p1.25__t0.00__s1.00__none__b0.00,pooled_transfer__hurdle_d2_full_log__w48__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,pooled_transfer,35,35,3,16,31,70.82998693202016,87.08874381491049,0.3535299798792535,75.84695077550164,278.0,170.49669516275338,-38.67025353857792,38.67025353857792
pooled_transfer__hurdle_d2_sqrt_log__w36,soft__p1.25__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d2_sqrt_log__w36__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,5,15,30,73.13314451553158,90.14865176978253,0.33655554859614667,77.08372008326674,278.0,243.7960352133444,-12.303584455631514,12.303584455631514
pooled_transfer__hurdle_d2_sqrt_log__w48,soft__p1.25__t0.00__s0.75__none__b0.00,pooled_transfer__hurdle_d2_sqrt_log__w48__soft__p1.25__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,5,15,30,73.13314451553158,90.14865176978253,0.33655554859614667,77.08372008326674,278.0,243.7960352133444,-12.303584455631514,12.303584455631514
c_only__hurdle_d1_sqrt_log__w36,soft__p0.50__t0.00__s0.75__none__b0.00,c_only__hurdle_d1_sqrt_log__w36__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,5,15,29,72.07951756747032,90.60320221550325,0.34912116674222865,74.86073202237804,278.0,254.75020897356077,-8.363234182172382,8.363234182172382
c_only__hurdle_d1_sqrt_log__w48,soft__p0.50__t0.00__s0.75__none__b0.00,c_only__hurdle_d1_sqrt_log__w48__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,c_only,35,35,5,15,29,72.07951756747032,90.60320221550325,0.34912116674222865,74.86073202237804,278.0,254.75020897356077,-8.363234182172382,8.363234182172382
c_only__hurdle_d1_sqrt_log__w36,soft__p1.25__t0.00__s1.00__none__b0.00,c_only__hurdle_d1_sqrt_log__w36__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,c_only,35,35,4,15,28,73.04342250241427,91.59134692494781,0.348847015499138,75.99079561114489,278.0,258.6435643439502,-6.962746638866844,6.962746638866844
c_only__hurdle_d1_sqrt_log__w48,soft__p1.25__t0.00__s1.00__none__b0.00,c_only__hurdle_d1_sqrt_log__w48__soft__p1.25__t0.00__s1.00__none__b0.00,hurdle,c_only,35,35,4,15,28,73.04342250241427,91.59134692494781,0.348847015499138,75.99079561114489,278.0,258.6435643439502,-6.962746638866844,6.962746638866844
pooled_transfer__hurdle_d2_full_log__w36,soft__p0.75__t0.00__s1.00__sba__b0.25,pooled_transfer__hurdle_d2_full_log__w36__soft__p0.75__t0.00__s1.00__sba__b0.25,hurdle,pooled_transfer,35,35,4,15,26,73.89208860265252,100.69370888533727,0.3450823373795351,84.03282805458034,278.0,314.8767517078951,13.265018599962264,13.265018599962264
pooled_transfer__hurdle_d2_full_log__w48,soft__p0.75__t0.00__s1.00__sba__b0.25,pooled_transfer__hurdle_d2_full_log__w48__soft__p0.75__t0.00__s1.00__sba__b0.25,hurdle,pooled_transfer,35,35,4,15,26,73.89208860265252,100.69370888533727,0.3450823373795351,84.03282805458034,278.0,314.8767517078951,13.265018599962264,13.265018599962264
c_only__sba_a0.70__w36,classical__s0.75,c_only__sba_a0.70__w36__classical__s0.75,classical,c_only,35,35,4,15,25,79.44678833238069,106.22914193767642,0.33480329094416994,86.20764679015984,278.0,225.856633249864,-18.75660674465324,18.75660674465324
c_only__sba_a0.70__w48,classical__s0.75,c_only__sba_a0.70__w48__classical__s0.75,classical,c_only,35,35,4,15,25,79.44678833238069,106.22914193767642,0.33480329094416994,86.20764679015984,278.0,225.856633249864,-18.75660674465324,18.75660674465324
pooled_transfer__sba_a0.70__w36,classical__s0.75,pooled_transfer__sba_a0.70__w36__classical__s0.75,classical,pooled_transfer,35,35,4,15,25,79.44678833238069,106.22914193767642,0.33480329094416994,86.20764679015984,278.0,225.856633249864,-18.75660674465324,18.75660674465324
pooled_transfer__sba_a0.70__w48,classical__s0.75,pooled_transfer__sba_a0.70__w48__classical__s0.75,classical,pooled_transfer,35,35,4,15,25,79.44678833238069,106.22914193767642,0.33480329094416994,86.20764679015984,278.0,225.856633249864,-18.75660674465324,18.75660674465324
pooled_transfer__hurdle_d2_full_log__w36,soft__p1.25__t0.00__s1.25__none__b0.00,pooled_transfer__hurdle_d2_full_log__w36__soft__p1.25__t0.00__s1.25__none__b0.00,hurdle,pooled_transfer,35,35,3,15,31,77.60999880763843,93.4553588390237,0.36899580818240013,77.8602246200421,278.0,213.12086895344177,-23.337816923222384,23.337816923222384
