source,selection_eligible,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,candidate_id,abs_bias
c_only__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.65__s1.00__none__b0.00,False,35,35,0,2,6,100.0,109.2501392980902,0.3869047619047619,101.96905135838524,178.0,16.426382158764284,-90.77169541642456,c_only__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.65__s1.00__none__b0.00,90.77169541642456
c_only__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.50__s1.00__none__b0.00,False,35,35,0,1,10,100.0,124.25659381632386,0.3964788782513349,105.88945997590041,178.0,49.50967598381242,-72.18557528999301,c_only__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.50__s1.00__none__b0.00,72.18557528999301
c_only__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,False,35,35,0,0,15,105.27741904184029,136.2187798236522,0.3849225967203916,103.68925658436025,178.0,89.63509826409263,-49.64320322241987,c_only__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,49.64320322241987
pooled_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,False,35,35,0,0,14,106.31354746034728,129.15257880676376,0.380090283979506,103.04211289044561,178.0,66.70018196439672,-62.52798766045128,pooled_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,62.52798766045128
c_only__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,False,35,35,0,0,14,106.45472044421321,138.21615209346038,0.401151676666845,104.81988569701673,178.0,88.61038747914849,-50.21888343868063,c_only__hurdle_d2_sqrt_log__w24__soft__p0.75__t0.00__s0.75__none__b0.00,50.21888343868063
c_only__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s0.75__none__b0.00,False,35,35,0,0,12,103.41416078576034,125.33855045829432,0.38759064076794597,103.97900134262103,178.0,61.480654883508286,-65.46030624522007,c_only__hurdle_d2_sqrt_log__w24__soft__p1.25__t0.00__s0.75__none__b0.00,65.46030624522007
c_only__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.20__s1.00__none__b0.00,False,35,35,0,0,12,105.02276016698659,140.72773351018998,0.40891718564763035,105.9116288043243,178.0,96.30550341511841,-45.895784598248085,c_only__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.20__s1.00__none__b0.00,45.895784598248085
c_only__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s0.75__none__b0.00,False,35,35,0,0,12,105.81740427633018,130.5458001326425,0.40089191116449274,104.38726184573076,178.0,73.5710607676775,-58.667943388945226,c_only__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s0.75__none__b0.00,58.667943388945226
c_only__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s1.00__none__b0.00,False,35,35,0,0,12,107.7565390351069,140.72773351018998,0.40891718564763035,105.99698581672247,178.0,98.09474769023666,-44.890591185260305,c_only__hurdle_d2_sqrt_log__w24__expected__p1.00__t0.00__s1.00__none__b0.00,44.890591185260305
c_only__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.35__s1.00__none__b0.00,False,35,35,0,0,10,106.63106502039881,143.24531709620197,0.40953318623775237,106.43423540307217,178.0,84.88659256737458,-52.31090305203676,c_only__hurdle_d2_sqrt_log__w24__hard__p1.00__t0.35__s1.00__none__b0.00,52.31090305203676
