cohort,rule_id,score_mode,decay,individual_weight,eligible,total_under_50,total_under_70,total_under_100,mean_median_wmape,mean_portfolio_wmape,mean_abs_bias
occasional_a,wmape__d1.00__i1.00,wmape,1.0,1.0,True,0,1,5,104.38015690247974,111.34869993453148,55.66831720021548
occasional_a,wmape__d0.75__i0.50,wmape,0.75,0.5,True,0,1,4,102.7176633432056,105.82771376590742,78.0844655215445
occasional_a,wmape__d1.00__i0.50,wmape,1.0,0.5,True,0,1,4,102.7176633432056,105.82771376590742,78.0844655215445
occasional_a,wmape__d0.50__i0.50,wmape,0.5,0.5,True,0,1,4,102.7176633432056,106.16944151048938,76.3423893563979
occasional_a,wmape__d0.50__i0.75,wmape,0.5,0.75,True,0,1,3,103.72731528369896,106.52244171864302,75.86062121822022
occasional_a,wmape__d0.75__i0.75,wmape,0.75,0.75,True,0,1,3,103.72731528369896,106.52244171864302,75.86062121822022
occasional_a,wmape__d1.00__i0.25,wmape,1.0,0.25,True,0,1,3,104.50294038403631,106.195165754182,78.0768543303342
occasional_a,wmape__d1.00__i0.75,wmape,1.0,0.75,True,0,1,3,104.50294038403631,106.70435142651937,75.67871151034386
occasional_a,rank__d0.75__i0.25,rank,0.75,0.25,True,0,0,10,100.14472830018445,102.80743094498858,84.56041758189863
occasional_a,rank__d1.00__i0.25,rank,1.0,0.25,True,0,0,10,100.14472830018445,102.80743094498858,84.56041758189863
occasional_a,rank__d0.50__i0.00,rank,0.5,0.0,False,0,0,10,100.14472830018445,103.30189579259392,84.91049085131148
occasional_a,rank__d0.75__i0.00,rank,0.75,0.0,False,0,0,10,100.14472830018445,103.30189579259392,84.91049085131148
occasional_a,rank__d1.00__i0.00,rank,1.0,0.0,False,0,0,10,100.14472830018445,103.30189579259392,84.91049085131148
occasional_a,rank__d0.50__i0.25,rank,0.5,0.25,True,0,0,10,100.18274650896979,102.8127307862326,84.16742493927069
occasional_a,rank__d0.75__i0.50,rank,0.75,0.5,True,0,0,9,100.68621333169477,103.30169850136902,83.94858083706649
occasional_a,rank__d1.00__i0.50,rank,1.0,0.5,True,0,0,9,100.68621333169477,103.32945553917992,83.92082379925557
occasional_a,rank__d0.50__i0.50,rank,0.5,0.5,True,0,0,9,100.68621333169477,103.44967956099208,83.80059977744341
occasional_a,rank__d0.50__i0.75,rank,0.5,0.75,True,0,0,7,102.43577737183799,110.24692744785408,63.081107645768384
occasional_a,rank__d0.75__i0.75,rank,0.75,0.75,True,0,0,7,102.43577737183799,110.3340226204325,63.94638292088706
occasional_a,rank__d1.00__i0.75,rank,1.0,0.75,True,0,0,7,102.43577737183799,110.36177965824342,63.91862588307616
occasional_a,rank__d0.50__i1.00,rank,0.5,1.0,True,0,0,6,104.61905364078889,111.66114775191407,56.7703338002336
occasional_a,rank__d0.75__i1.00,rank,0.75,1.0,True,0,0,6,104.61905364078889,111.80076464480206,55.5656757320902
occasional_a,rank__d1.00__i1.00,rank,1.0,1.0,True,0,0,6,104.61905364078889,111.95242487564525,55.84983392793896
occasional_a,wmape__d0.50__i1.00,wmape,0.5,1.0,True,0,0,5,106.27593019640501,112.27899240627906,56.52587013830137
