strategy,segment,candidate_id,positive_cases,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,bias_pct
Notebook 40 champions,cold_start,Notebook 40 champions,40,1,10,21,97.97219774522105,90.43516861624767,775.0,470.78888198467223,-39.25304748584875
Notebook 40 champions,developing,Notebook 40 champions,24,3,12,16,69.4586607567144,84.69096954516658,635.0,442.50500151501194,-30.3141729897619
Notebook 40 champions,new,Notebook 40 champions,39,2,16,31,74.19354838709677,79.61899618935516,1174.0,619.4869600796869,-47.23279726748834
Notebook 40 champions,occasional,Notebook 40 champions,103,2,4,22,152.74583441870553,145.87039870974704,677.0,530.0650394534456,-21.703834644985882
Notebook 40 champions,rare,Notebook 40 champions,33,0,4,11,110.62330307206464,146.60865468550492,162.0,123.63548717277504,-23.681798041496886
Notebook 40 champions,recurring,Notebook 40 champions,358,51,151,271,74.9858379280115,78.95378529734235,5500.0,3462.064279430575,-37.05337673762591
Notebook 42 challenger,cold_start,Notebook 42 challenger,40,1,10,21,97.97219774522105,90.43516861624767,775.0,470.78888198467223,-39.25304748584875
Notebook 42 challenger,developing,Notebook 42 challenger,24,3,11,16,72.14256903102071,86.72181645169634,635.0,461.0922662066693,-27.387044691863103
Notebook 42 challenger,new,Notebook 42 challenger,39,6,25,31,65.52663346748128,70.72333590824346,1174.0,862.3968627587316,-26.542004875746883
Notebook 42 challenger,occasional,Notebook 42 challenger,103,2,4,22,152.74583441870553,145.87039870974704,677.0,530.0650394534456,-21.703834644985882
Notebook 42 challenger,rare,Notebook 42 challenger,33,0,4,11,110.62330307206464,146.60865468550492,162.0,123.63548717277504,-23.681798041496886
Notebook 42 challenger,recurring,Notebook 42 challenger,358,39,140,276,74.9042400740066,80.08503341785088,5500.0,2811.1823647575775,-48.88759336804405
