feature,importance,demand_type,model,is_external_feature
NEW_ENTRY_STOCK,0.9762935135274746,smooth,Internal only,False
Inflation_Rate,0.0042835759268383886,smooth,Internal only,False
Total_Vehicle_Sales,0.003922232970928481,smooth,Internal only,False
Core_Inflation_Rate,0.0036738828418331213,smooth,Internal only,False
Food_Inflation,0.0021700654944869337,smooth,Internal only,False
Leading_Economic_Index,0.00205058964440861,smooth,Internal only,False
STOCK_START_MONTH,0.002027809822603368,smooth,Internal only,False
Building_Permits,0.0017138550172354358,smooth,Internal only,False
Producer_Prices_Change,0.001555084049893778,smooth,Internal only,False
Imports,0.0013175695960897502,smooth,Internal only,False
Inflation_Rate_MoM,0.0009918211082074095,smooth,Internal only,False
NEW_ENTRY_STOCK,0.9693234200836097,smooth,Internal + external,False
mop_available_last_yoy,0.0026778980231347963,smooth,Internal + external,True
Inflation_Rate,0.002309025818788287,smooth,Internal + external,False
anac_available_last_market_units,0.0022471974762861315,smooth,Internal + external,True
anac_available_last_fleet_proxy_age_0_12m,0.0021612704867645027,smooth,Internal + external,True
conaset_available_last_injuries_per_collision,0.0016051708429506003,smooth,Internal + external,True
cmf_available_damaged_insured_vehicles,0.0012923444616634778,smooth,Internal + external,True
Leading_Economic_Index,0.001204104769277644,smooth,Internal + external,False
cmf_available_repair_delay_days,0.0011176182959526063,smooth,Internal + external,True
Core_Inflation_Rate,0.0010439445731760214,smooth,Internal + external,False
STOCK_START_MONTH,0.0010155192916373181,smooth,Internal + external,False
conaset_available_expected5y_injuries_per_collision,0.0009898490448121647,smooth,Internal + external,True
mop_available_last_heavy_passages,0.0009595233435625804,smooth,Internal + external,True
conaset_available_expected5y_total_injuries,0.0008589163855940956,smooth,Internal + external,True
Total_Vehicle_Sales,0.000844967557147549,smooth,Internal + external,False
Building_Permits,0.000840895267786431,smooth,Internal + external,False
conaset_available_expected3y_injuries_per_collision,0.0008101313890373133,smooth,Internal + external,True
conaset_available_expected3y_weekend_collision_share,0.0007071210591031175,smooth,Internal + external,True
conaset_available_expected5y_serious_injuries,0.000678035469587766,smooth,Internal + external,True
conaset_available_last_weekend_fatality_share,0.0006010962031156475,smooth,Internal + external,True
conaset_available_expected3y_weekend_fatality_share,0.0005592033033536942,smooth,Internal + external,True
conaset_available_last_fatalities_per_collision,0.0005302744972145206,smooth,Internal + external,True
conaset_available_expected3y_collisions,0.0004950550947920308,smooth,Internal + external,True
conaset_available_expected3y_total_injuries,0.00048017341913693005,smooth,Internal + external,True
Producer_Prices_Change,0.000462185112324185,smooth,Internal + external,False
Food_Inflation,0.000458554532781859,smooth,Internal + external,False
cmf_available_claim_rate,0.0004537725750306318,smooth,Internal + external,True
mop_available_last_light_passages,0.00041049701446382744,smooth,Internal + external,True
mop_available_last_total_passages,0.0003715426136130571,smooth,Internal + external,True
conaset_available_expected5y_weekend_collision_share,0.00034748095821664877,smooth,Internal + external,True
Imports,0.00033968073455598876,smooth,Internal + external,False
Inflation_Rate_MoM,0.00033204697829637876,smooth,Internal + external,False
mop_available_expected3y_yoy,0.00030200102587971724,smooth,Internal + external,True
conaset_available_expected5y_collisions,0.0002884030175936584,smooth,Internal + external,True
conaset_available_expected3y_night_collision_share,0.0002594000358907201,smooth,Internal + external,True
conaset_available_expected5y_night_fatality_share,0.00022227604137653939,smooth,Internal + external,True
mop_available_last_rolling3,0.00021901371568891,smooth,Internal + external,True
conaset_available_expected3y_night_fatality_share,9.429161900256512e-05,smooth,Internal + external,True
conaset_available_expected5y_night_collision_share,8.609786779997016e-05,smooth,Internal + external,True
NEW_ENTRY_STOCK,0.9773942751145435,intermittent,Internal only,False
STOCK_START_MONTH,0.00756096931332167,intermittent,Internal only,False
Total_Vehicle_Sales,0.004586472172533568,intermittent,Internal only,False
Core_Inflation_Rate,0.0021976117289912015,intermittent,Internal only,False
Producer_Prices_Change,0.0016471114481247267,intermittent,Internal only,False
Unemployment_Rate,0.0015015120672581999,intermittent,Internal only,False
Inflation_Rate,0.0013854671332651756,intermittent,Internal only,False
Leading_Economic_Index,0.0012268982098661762,intermittent,Internal only,False
Imports,0.0012144370009859106,intermittent,Internal only,False
Building_Permits,0.0009028069863006611,intermittent,Internal only,False
Inflation_Rate_MoM,0.0003824388248091955,intermittent,Internal only,False
NEW_ENTRY_STOCK,0.9768518410194339,intermittent,Internal + external,False
STOCK_START_MONTH,0.007428441765634276,intermittent,Internal + external,False
anac_available_last_market_units,0.0035958012275519773,intermittent,Internal + external,True
cmf_available_repair_delay_days,0.0015865473553583053,intermittent,Internal + external,True
