demand_type,date,model,actual,forecast
erratic,2024-11-01,Internal + external,1523.0,1691.9924210083943
erratic,2024-11-01,Internal only,1523.0,1867.0601906330805
erratic,2024-12-01,Internal + external,1369.0,1891.7394910024207
erratic,2024-12-01,Internal only,1369.0,1935.57940154958
erratic,2025-01-01,Internal + external,1471.0,1809.2891497446399
erratic,2025-01-01,Internal only,1471.0,1933.003119047619
erratic,2025-02-01,Internal + external,1288.0,1570.5462739062277
erratic,2025-02-01,Internal only,1288.0,1608.3803801997765
erratic,2025-03-01,Internal + external,1342.0,2017.9038990781007
erratic,2025-03-01,Internal only,1342.0,2063.6482685303768
erratic,2025-04-01,Internal + external,1374.0,1988.929389872235
erratic,2025-04-01,Internal only,1374.0,2109.1510870286475
erratic,2025-05-01,Internal + external,1481.0,2070.8999376110482
erratic,2025-05-01,Internal only,1481.0,2308.684070424234
erratic,2025-06-01,Internal + external,1629.0,2221.079000944373
erratic,2025-06-01,Internal only,1629.0,2481.739679533229
erratic,2025-07-01,Internal + external,1427.0,1871.5901392452622
erratic,2025-07-01,Internal only,1427.0,2399.3386064776287
erratic,2025-08-01,Internal + external,1271.0,2133.392314870046
erratic,2025-08-01,Internal only,1271.0,2694.922215875784
erratic,2025-09-01,Internal + external,1171.0,1922.47381069854
erratic,2025-09-01,Internal only,1171.0,2364.769697939794
erratic,2025-10-01,Internal + external,1614.0,2039.2791113177393
erratic,2025-10-01,Internal only,1614.0,2503.8375701141517
erratic,2025-11-01,Internal + external,2073.0,2263.6620406569277
erratic,2025-11-01,Internal only,2073.0,2889.3696458890427
erratic,2025-12-01,Internal + external,1337.0,1998.8538426421574
erratic,2025-12-01,Internal only,1337.0,2314.346667998117
erratic,2026-01-01,Internal + external,1725.0,1992.2987174363784
erratic,2026-01-01,Internal only,1725.0,2222.9448893374
erratic,2026-02-01,Internal + external,1407.0,2802.7982779864215
erratic,2026-02-01,Internal only,1407.0,2780.6185900341434
erratic,2026-03-01,Internal + external,1377.0,1671.6409272716442
erratic,2026-03-01,Internal only,1377.0,1942.362321673414
erratic,2026-04-01,Internal + external,1661.0,1861.343196090424
erratic,2026-04-01,Internal only,1661.0,2133.9565663761177
intermittent,2024-11-01,Internal + external,1451.0,1529.6379119196752
intermittent,2024-11-01,Internal only,1451.0,1617.3412581098405
intermittent,2024-12-01,Internal + external,1388.0,1674.2834686874241
intermittent,2024-12-01,Internal only,1388.0,1788.20843265304
intermittent,2025-01-01,Internal + external,1601.0,1843.9757726773012
