feature,importance,demand_type,model,is_external_feature
cmf_available_repair_delay_days,0.004460883160194101,erratic,Internal + external,True
cmf_available_damaged_insured_vehicles,0.004376509923360672,erratic,Internal + external,True
conaset_available_expected3y_serious_injuries,0.002546451174501134,erratic,Internal + external,True
conaset_available_expected5y_weekend_collision_share,0.0017951152891437917,erratic,Internal + external,True
anac_available_last_market_units,0.0016153443458679342,erratic,Internal + external,True
conaset_available_expected3y_injuries_per_collision,0.0015829590532311455,erratic,Internal + external,True
conaset_available_expected5y_total_injuries,0.0015190729617390328,erratic,Internal + external,True
conaset_available_expected5y_serious_injuries,0.0014217401237416219,erratic,Internal + external,True
conaset_available_expected5y_injuries_per_collision,0.0011741533053526451,erratic,Internal + external,True
mop_available_expected3y_light_share,0.0011622536521262374,erratic,Internal + external,True
conaset_available_expected3y_total_injuries,0.0010478328422879241,erratic,Internal + external,True
conaset_available_expected3y_collisions,0.0007423968263390523,erratic,Internal + external,True
conaset_available_expected5y_collisions,0.0006239785979026261,erratic,Internal + external,True
conaset_available_last_injuries_per_collision,0.0005234040068130589,erratic,Internal + external,True
conaset_available_expected5y_night_fatality_share,0.00044434548004198334,erratic,Internal + external,True
conaset_available_expected3y_night_collision_share,0.0004303786456750345,erratic,Internal + external,True
mop_available_last_yoy,0.0004233283750385696,erratic,Internal + external,True
conaset_available_expected3y_night_fatality_share,0.0004089669795467239,erratic,Internal + external,True
cmf_available_claim_rate,0.00038965268623265977,erratic,Internal + external,True
mop_available_expected3y_yoy,0.0003340878122498075,erratic,Internal + external,True
conaset_available_last_fatalities_per_collision,0.00031224397482948956,erratic,Internal + external,True
conaset_available_expected3y_weekend_collision_share,0.0002867400956636011,erratic,Internal + external,True
conaset_available_expected5y_night_collision_share,0.00025885466849913066,erratic,Internal + external,True
mop_available_last_heavy_passages,0.00019298724160103718,erratic,Internal + external,True
anac_available_last_market_units,0.0035958012275519773,intermittent,Internal + external,True
cmf_available_repair_delay_days,0.0015865473553583053,intermittent,Internal + external,True
cmf_available_damaged_insured_vehicles,0.0013927025514833332,intermittent,Internal + external,True
cmf_available_claim_rate,0.0007192146899227172,intermittent,Internal + external,True
conaset_available_expected3y_collisions,0.0005503850554168739,intermittent,Internal + external,True
conaset_available_expected5y_weekend_collision_share,0.00043293609922314275,intermittent,Internal + external,True
conaset_available_expected3y_night_fatality_share,0.00033772443737737056,intermittent,Internal + external,True
mop_available_expected3y_light_share,0.00033575387074839786,intermittent,Internal + external,True
conaset_available_expected3y_total_injuries,0.0003238717577734421,intermittent,Internal + external,True
conaset_available_expected3y_weekend_collision_share,0.00030619418340145144,intermittent,Internal + external,True
conaset_available_expected5y_total_injuries,0.0002908747819220881,intermittent,Internal + external,True
mop_available_last_yoy,0.0002356725245630614,intermittent,Internal + external,True
conaset_available_expected5y_injuries_per_collision,0.00022166921698870854,intermittent,Internal + external,True
conaset_available_expected3y_night_collision_share,0.00021318215702956992,intermittent,Internal + external,True
conaset_available_expected3y_injuries_per_collision,0.00020883045392808302,intermittent,Internal + external,True
conaset_available_last_injuries_per_collision,0.00019334896665270624,intermittent,Internal + external,True
mop_available_last_heavy_passages,0.00018608710450597834,intermittent,Internal + external,True
conaset_available_expected5y_collisions,0.0001713325267236005,intermittent,Internal + external,True
conaset_available_expected5y_night_collision_share,0.00014568152387739282,intermittent,Internal + external,True
conaset_available_expected5y_night_fatality_share,0.0001456421147150526,intermittent,Internal + external,True
conaset_available_expected3y_serious_injuries,0.00013876485470647423,intermittent,Internal + external,True
conaset_available_expected5y_serious_injuries,0.00012708557716568382,intermittent,Internal + external,True
conaset_available_last_fatalities_per_collision,0.00012318413480032951,intermittent,Internal + external,True
mop_available_expected3y_yoy,0.00012317027290051233,intermittent,Internal + external,True
conaset_available_expected3y_serious_injuries,0.008041279779313314,lumpy,Internal + external,True
conaset_available_expected3y_night_collision_share,0.006186073369139472,lumpy,Internal + external,True
conaset_available_expected5y_serious_injuries,0.005069760828469636,lumpy,Internal + external,True
conaset_available_expected5y_night_collision_share,0.0038136915477948426,lumpy,Internal + external,True
conaset_available_expected5y_total_injuries,0.003285171039697583,lumpy,Internal + external,True
conaset_available_expected5y_fatalities,0.0022240447674382285,lumpy,Internal + external,True
conaset_available_last_injuries_per_collision,0.0015950631416220512,lumpy,Internal + external,True
conaset_available_expected3y_injuries_per_collision,0.0005539106035972439,lumpy,Internal + external,True
conaset_available_expected5y_injuries_per_collision,0.0004062881142209613,lumpy,Internal + external,True
conaset_available_last_fatalities_per_collision,0.00027162526827128236,lumpy,Internal + external,True
conaset_available_expected5y_peak_collision_share,0.0002316722213651802,lumpy,Internal + external,True
conaset_available_expected5y_weekend_collision_share,0.0001881712399506919,lumpy,Internal + external,True
conaset_available_expected5y_night_fatality_share,0.00018512872857537522,lumpy,Internal + external,True
conaset_available_expected3y_night_fatality_share,0.00018127758361397687,lumpy,Internal + external,True
conaset_available_expected3y_peak_collision_share,0.00014801522594670938,lumpy,Internal + external,True
mop_available_last_heavy_passages,0.00012882459623372777,lumpy,Internal + external,True
anac_available_last_market_units,0.00011134003927173818,lumpy,Internal + external,True
conaset_available_expected5y_collisions,0.00010206611413993319,lumpy,Internal + external,True
conaset_available_expected3y_weekend_collision_share,0.00010170941281871546,lumpy,Internal + external,True
cmf_available_repair_delay_days,9.598266978126776e-05,lumpy,Internal + external,True
cmf_available_claim_rate,6.327368884913428e-05,lumpy,Internal + external,True
cmf_available_damaged_insured_vehicles,5.9211320498467215e-05,lumpy,Internal + external,True
conaset_available_expected3y_collisions,5.4071832999566614e-05,lumpy,Internal + external,True
mop_available_expected3y_yoy,4.483791971667781e-05,lumpy,Internal + external,True
conaset_available_expected3y_total_injuries,3.328376249716318e-05,lumpy,Internal + external,True
mop_available_expected3y_light_share,1.3724902202790476e-05,lumpy,Internal + external,True
mop_available_last_yoy,9.811303701505555e-06,lumpy,Internal + external,True
mop_available_last_yoy,0.0026778980231347963,smooth,Internal + external,True
anac_available_last_market_units,0.0022471974762861315,smooth,Internal + external,True
anac_available_last_fleet_proxy_age_0_12m,0.0021612704867645027,smooth,Internal + external,True
conaset_available_last_injuries_per_collision,0.0016051708429506003,smooth,Internal + external,True
cmf_available_damaged_insured_vehicles,0.0012923444616634778,smooth,Internal + external,True
cmf_available_repair_delay_days,0.0011176182959526063,smooth,Internal + external,True
conaset_available_expected5y_injuries_per_collision,0.0009898490448121647,smooth,Internal + external,True
mop_available_last_heavy_passages,0.0009595233435625804,smooth,Internal + external,True
conaset_available_expected5y_total_injuries,0.0008589163855940956,smooth,Internal + external,True
conaset_available_expected3y_injuries_per_collision,0.0008101313890373133,smooth,Internal + external,True
conaset_available_expected3y_weekend_collision_share,0.0007071210591031175,smooth,Internal + external,True
conaset_available_expected5y_serious_injuries,0.000678035469587766,smooth,Internal + external,True
conaset_available_last_weekend_fatality_share,0.0006010962031156475,smooth,Internal + external,True
conaset_available_expected3y_weekend_fatality_share,0.0005592033033536942,smooth,Internal + external,True
conaset_available_last_fatalities_per_collision,0.0005302744972145206,smooth,Internal + external,True
conaset_available_expected3y_collisions,0.0004950550947920308,smooth,Internal + external,True
conaset_available_expected3y_total_injuries,0.00048017341913693005,smooth,Internal + external,True
cmf_available_claim_rate,0.0004537725750306318,smooth,Internal + external,True
mop_available_last_light_passages,0.00041049701446382744,smooth,Internal + external,True
mop_available_last_total_passages,0.0003715426136130571,smooth,Internal + external,True
conaset_available_expected5y_weekend_collision_share,0.00034748095821664877,smooth,Internal + external,True
mop_available_expected3y_yoy,0.00030200102587971724,smooth,Internal + external,True
conaset_available_expected5y_collisions,0.0002884030175936584,smooth,Internal + external,True
conaset_available_expected3y_night_collision_share,0.0002594000358907201,smooth,Internal + external,True
conaset_available_expected5y_night_fatality_share,0.00022227604137653939,smooth,Internal + external,True
mop_available_last_rolling3,0.00021901371568891,smooth,Internal + external,True
conaset_available_expected3y_night_fatality_share,9.429161900256512e-05,smooth,Internal + external,True
conaset_available_expected5y_night_collision_share,8.609786779997016e-05,smooth,Internal + external,True
