month,demand_type,total_demand,active_skus
2021-01-01,Erratic,4291.0,299
2021-01-01,Intermittent,2452.0,1337
2021-01-01,Lumpy,1922.0,325
2021-01-01,Smooth,6247.0,676
2021-02-01,Erratic,4929.0,314
2021-02-01,Intermittent,2209.0,1321
2021-02-01,Lumpy,1555.0,318
2021-02-01,Smooth,6934.0,668
2021-03-01,Erratic,4754.0,315
2021-03-01,Intermittent,2610.0,1402
2021-03-01,Lumpy,1774.0,330
2021-03-01,Smooth,6841.0,695
2021-04-01,Erratic,3839.0,307
2021-04-01,Intermittent,2022.0,1205
2021-04-01,Lumpy,1165.0,290
2021-04-01,Smooth,5891.0,674
2021-05-01,Erratic,4065.0,306
2021-05-01,Intermittent,1900.0,1139
2021-05-01,Lumpy,1479.0,293
2021-05-01,Smooth,5864.0,655
2021-06-01,Erratic,5659.0,315
2021-06-01,Intermittent,2450.0,1345
2021-06-01,Lumpy,2168.0,337
2021-06-01,Smooth,7441.0,680
2021-07-01,Erratic,5291.0,318
2021-07-01,Intermittent,2632.0,1439
2021-07-01,Lumpy,1827.0,333
2021-07-01,Smooth,8113.0,707
2021-08-01,Erratic,4725.0,321
2021-08-01,Intermittent,2771.0,1527
2021-08-01,Lumpy,1914.0,367
2021-08-01,Smooth,8377.0,718
2021-09-01,Erratic,5684.0,321
2021-09-01,Intermittent,2730.0,1525
2021-09-01,Lumpy,1576.0,338
2021-09-01,Smooth,7611.0,723
2021-10-01,Erratic,4484.0,314
2021-10-01,Intermittent,2353.0,1362
2021-10-01,Lumpy,1491.0,334
2021-10-01,Smooth,7533.0,714
2021-11-01,Erratic,6066.0,320
2021-11-01,Intermittent,2739.0,1494
2021-11-01,Lumpy,1479.0,339
2021-11-01,Smooth,8754.0,734
2021-12-01,Erratic,4723.0,320
2021-12-01,Intermittent,2596.0,1417
2021-12-01,Lumpy,1598.0,323
2021-12-01,Smooth,7970.0,720
2022-01-01,Erratic,4339.0,327
2022-01-01,Intermittent,2563.0,1425
2022-01-01,Lumpy,1347.0,328
2022-01-01,Smooth,7917.0,720
2022-02-01,Erratic,4314.0,328
2022-02-01,Intermittent,2446.0,1383
2022-02-01,Lumpy,1259.0,326
2022-02-01,Smooth,7659.0,717
2022-03-01,Erratic,4405.0,320
2022-03-01,Intermittent,2577.0,1459
2022-03-01,Lumpy,1230.0,332
2022-03-01,Smooth,9151.0,723
2022-04-01,Erratic,4460.0,324
2022-04-01,Intermittent,2503.0,1395
2022-04-01,Lumpy,1978.0,333
2022-04-01,Smooth,8393.0,722
2022-05-01,Erratic,4193.0,326
2022-05-01,Intermittent,2172.0,1336
2022-05-01,Lumpy,1037.0,293
2022-05-01,Smooth,8507.0,733
2022-06-01,Erratic,3194.0,323
2022-06-01,Intermittent,2219.0,1337
2022-06-01,Lumpy,848.0,300
2022-06-01,Smooth,7540.0,730
2022-07-01,Erratic,3705.0,322
2022-07-01,Intermittent,2234.0,1342
2022-07-01,Lumpy,910.0,304
2022-07-01,Smooth,9306.0,741
2022-08-01,Erratic,3665.0,324
2022-08-01,Intermittent,2627.0,1484
2022-08-01,Lumpy,1018.0,316
2022-08-01,Smooth,8414.0,741
2022-09-01,Erratic,2799.0,329
2022-09-01,Intermittent,2230.0,1375
2022-09-01,Lumpy,971.0,308
2022-09-01,Smooth,7736.0,755
2022-10-01,Erratic,3650.0,323
2022-10-01,Intermittent,2063.0,1254
2022-10-01,Lumpy,670.0,285
2022-10-01,Smooth,9143.0,758
2022-11-01,Erratic,3213.0,332
2022-11-01,Intermittent,2349.0,1402
2022-11-01,Lumpy,845.0,309
2022-11-01,Smooth,7948.0,769
2022-12-01,Erratic,2908.0,324
2022-12-01,Intermittent,1993.0,1266
2022-12-01,Lumpy,701.0,279
2022-12-01,Smooth,7144.0,753
2023-01-01,Erratic,3251.0,326
2023-01-01,Intermittent,2185.0,1332
2023-01-01,Lumpy,802.0,303
2023-01-01,Smooth,8414.0,758
2023-02-01,Erratic,3044.0,328
2023-02-01,Intermittent,1850.0,1204
2023-02-01,Lumpy,764.0,252
2023-02-01,Smooth,6972.0,745
2023-03-01,Erratic,3027.0,339
2023-03-01,Intermittent,2138.0,1352
2023-03-01,Lumpy,870.0,294
2023-03-01,Smooth,8644.0,784
2023-04-01,Erratic,2598.0,338
2023-04-01,Intermittent,1691.0,1136
2023-04-01,Lumpy,692.0,247
2023-04-01,Smooth,6012.0,774
2023-05-01,Erratic,2745.0,340
2023-05-01,Intermittent,1998.0,1300
2023-05-01,Lumpy,691.0,271
2023-05-01,Smooth,7370.0,782
2023-06-01,Erratic,2531.0,333
2023-06-01,Intermittent,1647.0,1091
2023-06-01,Lumpy,794.0,255
2023-06-01,Smooth,5745.0,760
2023-07-01,Erratic,2376.0,328
2023-07-01,Intermittent,1598.0,1075
2023-07-01,Lumpy,584.0,241
2023-07-01,Smooth,6053.0,748
2023-08-01,Erratic,2781.0,328
2023-08-01,Intermittent,1777.0,1183
2023-08-01,Lumpy,705.0,268
2023-08-01,Smooth,7637.0,777
2023-09-01,Erratic,1987.0,318
2023-09-01,Intermittent,1406.0,983
2023-09-01,Lumpy,544.0,186
2023-09-01,Smooth,5843.0,771
2023-10-01,Erratic,1999.0,329
2023-10-01,Intermittent,1475.0,1005
2023-10-01,Lumpy,505.0,214
2023-10-01,Smooth,5696.0,760
2023-11-01,Erratic,2084.0,321
2023-11-01,Intermittent,1443.0,1018
2023-11-01,Lumpy,465.0,223
2023-11-01,Smooth,5841.0,773
2023-12-01,Erratic,2027.0,328
2023-12-01,Intermittent,1478.0,971
2023-12-01,Lumpy,613.0,223
2023-12-01,Smooth,5431.0,765
2024-01-01,Erratic,2097.0,344
2024-01-01,Intermittent,1559.0,1082
2024-01-01,Lumpy,479.0,227
2024-01-01,Smooth,6597.0,793
2024-02-01,Erratic,1527.0,329
2024-02-01,Intermittent,1497.0,1089
2024-02-01,Lumpy,464.0,227
2024-02-01,Smooth,5750.0,758
