month,total_demand,active_skus
2021-01-01,14912.0,2637
2021-02-01,15627.0,2621
2021-03-01,15979.0,2742
2021-04-01,12917.0,2476
2021-05-01,13308.0,2393
2021-06-01,17718.0,2677
2021-07-01,17863.0,2797
2021-08-01,17787.0,2933
2021-09-01,17601.0,2907
2021-10-01,15861.0,2724
2021-11-01,19038.0,2887
2021-12-01,16887.0,2780
2022-01-01,16166.0,2800
2022-02-01,15678.0,2754
2022-03-01,17363.0,2834
2022-04-01,17334.0,2774
2022-05-01,15909.0,2688
2022-06-01,13801.0,2690
2022-07-01,16155.0,2709
2022-08-01,15724.0,2865
2022-09-01,13736.0,2767
2022-10-01,15526.0,2620
2022-11-01,14355.0,2812
2022-12-01,12746.0,2622
2023-01-01,14652.0,2719
2023-02-01,12630.0,2529
2023-03-01,14679.0,2769
2023-04-01,10993.0,2495
2023-05-01,12804.0,2693
2023-06-01,10717.0,2439
2023-07-01,10611.0,2392
2023-08-01,12900.0,2556
2023-09-01,9780.0,2258
2023-10-01,9675.0,2308
2023-11-01,9833.0,2335
2023-12-01,9549.0,2287
2024-01-01,10732.0,2446
2024-02-01,9238.0,2403
2024-03-01,7952.0,2309
2024-04-01,9726.0,2423
2024-05-01,9489.0,2419
2024-06-01,7750.0,2181
2024-07-01,9379.0,2575
2024-08-01,9767.0,2501
2024-09-01,6577.0,1889
2024-10-01,8404.0,2495
2024-11-01,8432.0,2301
2024-12-01,7445.0,2240
2025-01-01,9108.0,2469
2025-02-01,7561.0,2244
2025-03-01,8045.0,2431
2025-04-01,8274.0,2425
2025-05-01,8161.0,2225
2025-06-01,8742.0,2478
2025-07-01,8708.0,2592
2025-08-01,7332.0,2224
2025-09-01,7057.0,2260
2025-10-01,9892.0,2518
2025-11-01,9321.0,2332
2025-12-01,8090.0,2299
2026-01-01,8435.0,2266
2026-02-01,7812.0,2225
2026-03-01,7235.0,2230
2026-04-01,8860.0,2380
