sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
015500612A000,58,6,26.0,26.0,124.0,9.666666666666666,0.1207100591715976,Intermittent,0.896551724137931
01550M0612A,60,5,72.0,72.0,2566.0,12.0,1.843653549382716,Lumpy,0.9166666666666666
01550M0835A000,29,2,3.0,3.0,5.0,14.5,0.2222222222222222,Intermittent,0.9310344827586207
015511025A000,63,5,18.0,18.0,78.0,12.6,0.25462962962962965,Intermittent,0.9206349206349207
021420412A000,63,3,4.0,4.0,6.0,21.0,0.18750000000000008,Intermittent,0.9523809523809523
02142M0508A000,64,4,15.0,15.0,69.0,16.0,0.3022222222222222,Intermittent,0.9375
021620616A000,58,7,30.0,30.0,188.0,8.285714285714286,0.5392592592592592,Lumpy,0.8793103448275862
032410512A000,22,1,5.0,5.0,25.0,22.0,,Intermittent,0.9545454545454546
0611110003000,55,6,13.0,13.0,33.0,9.166666666666666,0.2059171597633136,Intermittent,0.8909090909090909
083100012A000,58,6,12.0,12.0,44.0,9.666666666666666,1.0,Lumpy,0.896551724137931
083144012A000,64,6,9.0,9.0,15.0,10.666666666666666,0.13333333333333333,Intermittent,0.90625
083161010A000,57,5,21.0,21.0,163.0,11.4,1.0600907029478457,Lumpy,0.9122807017543859
08316M1010A000,55,4,9.0,9.0,27.0,13.75,0.4444444444444444,Intermittent,0.9272727272727272
083313124A000,45,6,11.0,11.0,29.0,7.5,0.5256198347107438,Lumpy,0.8666666666666667
08331M41529000,27,4,6.0,6.0,10.0,6.75,0.14814814814814814,Intermittent,0.8518518518518519
0910010275000,40,3,12.0,12.0,62.0,13.333333333333334,0.4375,Intermittent,0.925
0910810113000,53,3,3.0,3.0,3.0,17.666666666666668,0.0,Intermittent,0.9433962264150944
0911106252000,6,2,7.0,7.0,29.0,3.0,0.3673469387755102,Intermittent,0.6666666666666667
09111M11008000,27,2,2.0,2.0,2.0,13.5,0.0,Intermittent,0.9259259259259259
0911605023000,38,3,13.0,13.0,105.0,12.666666666666666,1.2958579881656807,Lumpy,0.9210526315789473
