month,demand_type,total_demand,active_skus
2024-01-01,Erratic,747.0,87
2024-01-01,Intermittent,2230.0,1396
2024-01-01,Lumpy,465.0,131
2024-01-01,Smooth,7290.0,832
2024-02-01,Erratic,346.0,86
2024-02-01,Intermittent,2095.0,1356
2024-02-01,Lumpy,404.0,134
2024-02-01,Smooth,6393.0,827
2024-03-01,Erratic,498.0,87
2024-03-01,Intermittent,1943.0,1297
2024-03-01,Lumpy,422.0,114
2024-03-01,Smooth,5089.0,811
2024-04-01,Erratic,499.0,90
2024-04-01,Intermittent,2085.0,1375
2024-04-01,Lumpy,469.0,116
2024-04-01,Smooth,6673.0,842
2024-05-01,Erratic,776.0,87
2024-05-01,Intermittent,2154.0,1367
2024-05-01,Lumpy,483.0,125
2024-05-01,Smooth,6076.0,840
2024-06-01,Erratic,488.0,83
2024-06-01,Intermittent,1810.0,1168
2024-06-01,Lumpy,257.0,109
2024-06-01,Smooth,5195.0,821
2024-07-01,Erratic,535.0,95
2024-07-01,Intermittent,2257.0,1488
2024-07-01,Lumpy,536.0,143
2024-07-01,Smooth,6051.0,849
2024-08-01,Erratic,444.0,94
2024-08-01,Intermittent,2077.0,1404
2024-08-01,Lumpy,612.0,148
2024-08-01,Smooth,6634.0,855
2024-09-01,Erratic,280.0,91
2024-09-01,Intermittent,1275.0,917
2024-09-01,Lumpy,271.0,95
2024-09-01,Smooth,4751.0,786
2024-10-01,Erratic,469.0,97
2024-10-01,Intermittent,2098.0,1406
2024-10-01,Lumpy,402.0,133
2024-10-01,Smooth,5435.0,859
2024-11-01,Erratic,437.0,90
2024-11-01,Intermittent,1870.0,1261
2024-11-01,Lumpy,510.0,121
2024-11-01,Smooth,5615.0,829
2024-12-01,Erratic,505.0,92
2024-12-01,Intermittent,1713.0,1208
2024-12-01,Lumpy,382.0,132
2024-12-01,Smooth,4845.0,808
2025-01-01,Erratic,477.0,99
2025-01-01,Intermittent,2045.0,1392
2025-01-01,Lumpy,467.0,134
2025-01-01,Smooth,6119.0,844
2025-02-01,Erratic,494.0,85
2025-02-01,Intermittent,1661.0,1202
2025-02-01,Lumpy,266.0,124
2025-02-01,Smooth,5140.0,833
2025-03-01,Erratic,591.0,101
2025-03-01,Intermittent,1965.0,1351
2025-03-01,Lumpy,437.0,144
2025-03-01,Smooth,5052.0,835
2025-04-01,Erratic,472.0,106
2025-04-01,Intermittent,1853.0,1323
2025-04-01,Lumpy,420.0,133
2025-04-01,Smooth,5529.0,863
2025-05-01,Erratic,532.0,105
2025-05-01,Intermittent,1645.0,1150
2025-05-01,Lumpy,546.0,127
2025-05-01,Smooth,5438.0,843
2025-06-01,Erratic,661.0,112
2025-06-01,Intermittent,1931.0,1365
2025-06-01,Lumpy,519.0,149
2025-06-01,Smooth,5631.0,852
2025-07-01,Erratic,552.0,109
2025-07-01,Intermittent,2155.0,1477
2025-07-01,Lumpy,417.0,151
2025-07-01,Smooth,5584.0,855
2025-08-01,Erratic,514.0,104
2025-08-01,Intermittent,1639.0,1142
2025-08-01,Lumpy,296.0,122
2025-08-01,Smooth,4883.0,856
2025-09-01,Erratic,480.0,111
2025-09-01,Intermittent,1694.0,1208
2025-09-01,Lumpy,321.0,116
2025-09-01,Smooth,4562.0,825
2025-10-01,Erratic,631.0,116
2025-10-01,Intermittent,2102.0,1367
2025-10-01,Lumpy,559.0,147
2025-10-01,Smooth,6600.0,888
2025-11-01,Erratic,1102.0,108
2025-11-01,Intermittent,1824.0,1230
2025-11-01,Lumpy,675.0,138
2025-11-01,Smooth,5720.0,856
2025-12-01,Erratic,549.0,111
2025-12-01,Intermittent,1702.0,1205
2025-12-01,Lumpy,388.0,146
2025-12-01,Smooth,5451.0,837
2026-01-01,Erratic,975.0,116
2026-01-01,Intermittent,1700.0,1169
2026-01-01,Lumpy,450.0,137
2026-01-01,Smooth,5310.0,844
2026-02-01,Erratic,641.0,107
2026-02-01,Intermittent,1707.0,1165
2026-02-01,Lumpy,376.0,125
2026-02-01,Smooth,5088.0,828
2026-03-01,Erratic,531.0,104
2026-03-01,Intermittent,1673.0,1149
2026-03-01,Lumpy,423.0,129
2026-03-01,Smooth,4608.0,848
2026-04-01,Erratic,823.0,109
2026-04-01,Intermittent,1906.0,1247
2026-04-01,Lumpy,576.0,142
2026-04-01,Smooth,5555.0,882
