month,total_demand,active_skus
2024-01-01,10732.0,2446
2024-02-01,9238.0,2403
2024-03-01,7952.0,2309
2024-04-01,9726.0,2423
2024-05-01,9489.0,2419
2024-06-01,7750.0,2181
2024-07-01,9379.0,2575
2024-08-01,9767.0,2501
2024-09-01,6577.0,1889
2024-10-01,8404.0,2495
2024-11-01,8432.0,2301
2024-12-01,7445.0,2240
2025-01-01,9108.0,2469
2025-02-01,7561.0,2244
2025-03-01,8045.0,2431
2025-04-01,8274.0,2425
2025-05-01,8161.0,2225
2025-06-01,8742.0,2478
2025-07-01,8708.0,2592
2025-08-01,7332.0,2224
2025-09-01,7057.0,2260
2025-10-01,9892.0,2518
2025-11-01,9321.0,2332
2025-12-01,8090.0,2299
2026-01-01,8435.0,2266
2026-02-01,7812.0,2225
2026-03-01,7235.0,2230
2026-04-01,8860.0,2380
