sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
015500612A000,24,2,8.0,8.0,40.0,12.0,0.5,Lumpy,0.9166666666666666
01550M0612A,21,2,2.0,2.0,2.0,10.5,0.0,Intermittent,0.9047619047619048
01550M0835A000,4,1,1.0,1.0,1.0,4.0,,Intermittent,0.75
015511025A000,21,3,11.0,11.0,53.0,7.0,0.47107438016528924,Intermittent,0.8571428571428572
021420412A000,19,2,2.0,2.0,2.0,9.5,0.0,Intermittent,0.8947368421052632
02142M0508A000,19,2,5.0,5.0,17.0,9.5,0.72,Lumpy,0.8947368421052632
021620616A000,26,4,20.0,20.0,122.0,6.5,0.29333333333333333,Intermittent,0.8461538461538461
032410512A000,22,1,5.0,5.0,25.0,22.0,,Intermittent,0.9545454545454546
0611110003000,28,4,8.0,8.0,20.0,7.0,0.3333333333333333,Intermittent,0.8571428571428572
083100012A000,19,1,1.0,1.0,1.0,19.0,,Intermittent,0.9473684210526316
083144012A000,26,2,3.0,3.0,5.0,13.0,0.2222222222222222,Intermittent,0.9230769230769231
083161010A000,10,3,9.0,9.0,41.0,3.3333333333333335,0.7777777777777778,Lumpy,0.7
08316M1010A000,12,1,3.0,3.0,9.0,12.0,,Intermittent,0.9166666666666666
083313124A000,26,2,4.0,4.0,10.0,13.0,0.5,Lumpy,0.9230769230769231
08331M41529000,27,4,6.0,6.0,10.0,6.75,0.14814814814814814,Intermittent,0.8518518518518519
0910010275000,19,2,6.0,6.0,26.0,9.5,0.8888888888888888,Lumpy,0.8947368421052632
0910810113000,10,2,2.0,2.0,2.0,5.0,0.0,Intermittent,0.8
0911106252000,6,2,7.0,7.0,29.0,3.0,0.3673469387755102,Intermittent,0.6666666666666667
09111M11008000,27,2,2.0,2.0,2.0,13.5,0.0,Intermittent,0.9259259259259259
0911605023000,26,2,3.0,3.0,5.0,13.0,0.2222222222222222,Intermittent,0.9230769230769231
0911610173000,21,2,5.0,5.0,17.0,10.5,0.72,Lumpy,0.9047619047619048
0911908102000,4,1,1.0,1.0,1.0,4.0,,Intermittent,0.75
0911910041000,23,6,10.0,10.0,18.0,3.8333333333333335,0.0959999999999999,Intermittent,0.7391304347826086
0911910073000,25,3,5.0,5.0,9.0,8.333333333333334,0.11999999999999988,Intermittent,0.88
0911912006XC0,21,2,2.0,2.0,2.0,10.5,0.0,Intermittent,0.9047619047619048
0911912007000,28,10,157.0,157.0,5225.0,2.8,1.2441793897431044,Lumpy,0.6428571428571428
0911912012000,28,28,1105.0,1105.0,56665.0,1.0,0.3105059728961777,Smooth,0.0
0911912016000,27,2,10.0,10.0,52.0,13.5,0.08,Intermittent,0.9259259259259259
09136M05078000,21,3,7.0,7.0,27.0,7.0,0.9795918367346937,Lumpy,0.8571428571428572
0913708004000,19,2,2.0,2.0,2.0,9.5,0.0,Intermittent,0.8947368421052632
0914012050000,20,2,3.0,3.0,5.0,10.0,0.2222222222222222,Intermittent,0.9
0914016023000,26,1,7.0,7.0,49.0,26.0,,Intermittent,0.9615384615384616
09140M12040000,28,25,445.0,445.0,12693.0,1.12,0.6275512351134116,Erratic,0.1071428571428571
0914805075000,4,2,12.0,12.0,74.0,2.0,0.05555555555555555,Intermittent,0.5
0914806007000,25,2,17.0,17.0,169.0,12.5,0.3391003460207612,Intermittent,0.92
09148M06022000,25,3,5.0,5.0,9.0,8.333333333333334,0.11999999999999988,Intermittent,0.88
09150M06010000,3,1,1.0,1.0,1.0,3.0,,Intermittent,0.6666666666666667
0915912024000,8,1,11.0,11.0,121.0,8.0,,Intermittent,0.875
0915912051000,18,2,9.0,9.0,65.0,9.0,1.2098765432098766,Lumpy,0.8888888888888888
0915912057000,28,19,248.0,248.0,8108.0,1.4736842105263157,1.5883447508382476,Lumpy,0.3214285714285714
0915912079000,23,1,18.0,18.0,324.0,23.0,,Intermittent,0.9565217391304348
0915912L02000,24,3,9.0,9.0,41.0,8.0,0.7777777777777778,Lumpy,0.875
0915914028000,20,5,6.0,6.0,8.0,4.0,0.13888888888888887,Intermittent,0.75
0915918022000,27,11,30.0,30.0,108.0,2.4545454545454546,0.3520000000000001,Intermittent,0.5925925925925926
0915918024000,2,1,2.0,2.0,4.0,2.0,,Intermittent,0.5
0915920009000,14,2,4.0,4.0,8.0,7.0,0.0,Intermittent,0.8571428571428572
0915920016000,18,1,1.0,1.0,1.0,18.0,,Intermittent,0.9444444444444444
0915924009000,27,5,8.0,8.0,20.0,5.4,0.7031249999999998,Lumpy,0.8148148148148149
09159M10L04000,13,1,2.0,2.0,4.0,13.0,,Intermittent,0.9230769230769231
09159M11006000,2,1,1.0,1.0,1.0,2.0,,Intermittent,0.5
0916114009000,19,2,2.0,2.0,2.0,9.5,0.0,Intermittent,0.8947368421052632
0916435003000,27,5,13.0,13.0,47.0,5.4,0.48816568047337283,Intermittent,0.8148148148148149
0916812018000,27,14,108.0,108.0,1242.0,1.9285714285714286,0.5284900284900285,Lumpy,0.4814814814814815
0918115158000,24,5,16.0,16.0,58.0,4.8,0.1660156249999999,Intermittent,0.7916666666666666
0920914001000,28,15,21.0,21.0,45.0,1.8666666666666667,0.5685131195335278,Lumpy,0.4642857142857143
09209M09L02000,28,28,248.0,248.0,2896.0,1.0,0.3302115851543531,Smooth,0.0
0924120006000,21,2,2.0,2.0,2.0,10.5,0.0,Intermittent,0.9047619047619048
0924130010000,19,6,15.0,15.0,59.0,3.1666666666666665,0.688,Lumpy,0.6842105263157895
0924616021000,28,25,175.0,175.0,2147.0,1.12,0.7840136054421768,Erratic,0.1071428571428571
0924820003000,27,8,16.0,16.0,46.0,3.375,0.5,Lumpy,0.7037037037037037
0925020023000,18,2,2.0,2.0,2.0,9.0,0.0,Intermittent,0.8888888888888888
0925025007000,27,3,3.0,3.0,3.0,9.0,0.0,Intermittent,0.8888888888888888
0925030003000,27,1,1.0,1.0,1.0,27.0,,Intermittent,0.962962962962963
0925030023000,10,1,1.0,1.0,1.0,10.0,,Intermittent,0.9
0926225187000,21,1,1.0,1.0,1.0,21.0,,Intermittent,0.9523809523809523
0928010016000,7,7,7.0,7.0,7.0,1.0,0.0,Smooth,0.0
0928017002000,28,20,126.0,126.0,1864.0,1.4,1.4191563564997152,Lumpy,0.2857142857142857
0928022020000,27,7,15.0,15.0,45.0,3.857142857142857,0.4666666666666666,Intermittent,0.7407407407407407
0928028008000,28,27,548.0,548.0,14710.0,1.037037037037037,0.334965952450235,Smooth,0.0357142857142857
0928044008000,28,3,3.0,3.0,3.0,9.333333333333334,0.0,Intermittent,0.8928571428571429
0928056004000,28,9,39.0,39.0,319.0,3.111111111111111,0.9985207100591718,Lumpy,0.6785714285714286
0928062003000,28,27,449.0,449.0,10705.0,1.037037037037037,0.4503789472961254,Smooth,0.0357142857142857
0928314005000,19,3,11.0,11.0,83.0,6.333333333333333,1.5867768595041323,Lumpy,0.8421052631578947
0928325088000,26,2,2.0,2.0,2.0,13.0,0.0,Intermittent,0.9230769230769231
0928326016000,27,14,43.0,43.0,211.0,1.9285714285714286,0.6435911303407246,Lumpy,0.4814814814814815
0928335036000,24,2,30.0,30.0,500.0,12.0,0.2222222222222222,Intermittent,0.9166666666666666
0928335052000,28,26,137.0,137.0,1471.0,1.0769230769230769,1.0792306462784378,Erratic,0.0714285714285714
0928340021000,27,18,129.0,129.0,1465.0,1.5,0.6190309547291063,Lumpy,0.33333333333333337
0928340027000,26,18,72.0,72.0,490.0,1.4444444444444444,0.7426470588235294,Lumpy,0.3076923076923077
0928344015000,28,16,20.0,20.0,28.0,1.75,0.128,Intermittent,0.4285714285714286
0928345012000,28,16,53.0,53.0,305.0,1.75,0.7864245876349828,Lumpy,0.4285714285714286
0928348007000,28,19,240.0,240.0,5912.0,1.4736842105263157,1.0029243827160492,Lumpy,0.3214285714285714
0928356002000,22,2,2.0,2.0,2.0,11.0,0.0,Intermittent,0.9090909090909091
09283M40027000,26,12,18.0,18.0,32.0,2.1666666666666665,0.20202020202020202,Intermittent,0.5384615384615384
0928906003000,28,21,766.0,766.0,55706.0,1.3333333333333333,1.0434039021330843,Lumpy,0.25
0928948004000,24,3,7.0,7.0,21.0,8.0,0.4285714285714286,Intermittent,0.875
0930508011000,21,3,7.0,7.0,27.0,7.0,0.9795918367346937,Lumpy,0.8571428571428572
0930514006000,28,2,2.0,2.0,2.0,14.0,0.0,Intermittent,0.9285714285714286
0930612009000,22,4,8.0,8.0,16.0,5.5,0.0,Intermittent,0.8181818181818181
0930708002000,19,3,3.0,3.0,3.0,6.333333333333333,0.0,Intermittent,0.8421052631578947
0931912047000,24,4,108.0,108.0,6384.0,6.0,1.5857338820301783,Lumpy,0.8333333333333334
0932010024000,28,7,52.0,52.0,720.0,4.0,1.0078895463510849,Lumpy,0.75
0932010040000,11,3,30.0,30.0,300.0,3.6666666666666665,0.0,Intermittent,0.7272727272727273
0932014018000,22,5,9.0,9.0,17.0,4.4,0.06172839506172845,Intermittent,0.7727272727272727
09321M10023000,28,9,17.0,17.0,35.0,3.111111111111111,0.10121107266435976,Intermittent,0.6785714285714286
0938019004000,27,3,4.0,4.0,6.0,9.0,0.18750000000000008,Intermittent,0.8888888888888888
0938020011000,25,2,2.0,2.0,2.0,12.5,0.0,Intermittent,0.92
0938025011000,26,1,2.0,2.0,4.0,26.0,,Intermittent,0.9615384615384616
0938026004000,26,4,13.0,13.0,57.0,6.5,0.465483234714004,Intermittent,0.8461538461538461
0938028007000,26,2,2.0,2.0,2.0,13.0,0.0,Intermittent,0.9230769230769231
0938168001000,17,1,5.0,5.0,25.0,17.0,,Intermittent,0.9411764705882353
0938184004000,14,1,1.0,1.0,1.0,14.0,,Intermittent,0.9285714285714286
0938313003000,21,3,5.0,5.0,9.0,7.0,0.11999999999999988,Intermittent,0.8571428571428572
0940121405000,19,2,3.0,3.0,5.0,9.5,0.2222222222222222,Intermittent,0.8947368421052632
09401M21410000,11,3,7.0,7.0,19.0,3.6666666666666665,0.24489795918367352,Intermittent,0.7272727272727273
09403073075PK,26,7,11.0,11.0,21.0,3.7142857142857144,0.25068870523415987,Intermittent,0.7307692307692308
0940307333000,26,6,6.0,6.0,6.0,4.333333333333333,0.0,Intermittent,0.7692307692307692
0940307407000,28,8,11.0,11.0,17.0,3.5,0.14167650531286893,Intermittent,0.7142857142857143
0940308406000,26,3,3.0,3.0,3.0,8.666666666666666,0.0,Intermittent,0.8846153846153846
09403M07311000,28,15,38.0,38.0,170.0,1.8666666666666667,0.8206371191135734,Lumpy,0.4642857142857143
09409063095ES,7,1,2.0,2.0,4.0,7.0,,Intermittent,0.8571428571428572
09409063145PK,22,3,106.0,106.0,5966.0,7.333333333333333,0.8893734425062298,Lumpy,0.8636363636363636
0940906322000,18,3,7.0,7.0,27.0,6.0,0.9795918367346937,Lumpy,0.8333333333333334
09409063225PK,21,2,31.0,31.0,901.0,10.5,1.7502601456815816,Lumpy,0.9047619047619048
0940906324000,28,5,18.0,18.0,70.0,5.6,0.10030864197530868,Intermittent,0.8214285714285714
09409073085PK,5,1,1.0,1.0,1.0,5.0,,Intermittent,0.8
0940907308P4Z,11,1,10.0,10.0,100.0,11.0,,Intermittent,0.9090909090909091
09409073255PK,24,3,14.0,14.0,90.0,8.0,0.5663265306122449,Lumpy,0.875
0940907332000,28,8,104.0,104.0,3260.0,3.5,1.6128486897717667,Lumpy,0.7142857142857143
