sku_id,variant,demand_type,model,wmape_percent
0911912012000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,43.98526620864868
09140M12040000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.27445073866508
0915912057000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,137.21214882163116
09209M09L02000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,49.13715851771367
0924616021000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.58510274034205
0928335052000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,92.87535973957607
0928348007000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,94.05684508094492
0940907340000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.176666039870796
09409M07355000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.68023658558062
09409M08006000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,75.13881232631644
09409M10L04000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,114.37368425492946
11610M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,84.00773646983694
11610M68K03000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.72132633883378
11620M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,79.73672715100375
11710M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,68.82895737886429
17100M62S00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,65.3418240222064
17213M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.82407321351947
17214M76M10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,71.98469042778015
17700M53M20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,80.06756609136409
17700M76M10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,74.94432313101632
17700M83P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,73.76951376597086
3512065J32000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,62.64493384603726
3512071L20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.5703325117788
35120M68K20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.52519772792685
35121M53MB0000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,67.5139358598892
35121M60M10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,103.89862656593323
35121M62S30000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,45.727706291306184
35121M67P10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,114.72082770232
35121M74L01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,71.62251396382109
35121M76M50000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,71.34758643249968
35153M59K10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,131.9410179891894
35300M74TB1000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,55.68938933312892
3532064J31000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,76.81343609636481
3532065J32000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.57317537731595
3532071L20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,60.84418429268731
3532079P30000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,62.61978857219219
35321M53MB0000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,56.237317721048996
35321M55T53000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,48.77757486635751
35321M67P10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,93.71004807643402
35321M68K21000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,88.17809590926538
35321M74L01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.42708894818328
35321M76M50000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,44.333809759558704
3550054P01000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,81.57048291630215
35501M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,80.18057087193364
3565064J21000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,87.73128467221414
3565065J21000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,95.76634921525654
3565077R00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,53.36667567491531
3565079P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,75.70712685585022
35650M53M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,92.45608752056704
35650M66L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,125.53469332364888
35650M67P00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,101.11726756955757
35650M74L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,78.95370986726549
35650M75T00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,99.57339059222828
35651M68K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,59.74272131919861
35651M75L00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,86.97946200499663
35651M76M00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,89.20999401145511
3567060K00000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,83.88686259587605
3567061M10000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,61.17269737379891
3567064J20000,all_sku_history,erratic,chronos_2_erratic_features_plus_external,44.88268223675815
