model,eval_month,month_num,wmape,evaluation_rows,unique_skus,tuning
chronos_2_erratic_features,2024-10-01,1,70.02157478494046,380,380,Foundation Model
chronos_2_erratic_features,2024-11-01,2,65.36967406930154,381,381,Foundation Model
chronos_2_erratic_features,2024-12-01,3,63.65204654513112,381,381,Foundation Model
chronos_2_erratic_features,2025-01-01,4,45.61736327503058,381,381,Foundation Model
chronos_2_erratic_features,2025-02-01,5,50.25539897001361,382,382,Foundation Model
chronos_2_erratic_features,2025-03-01,6,49.91373503617603,384,384,Foundation Model
chronos_2_erratic_features,2025-04-01,7,47.16700450952079,391,391,Foundation Model
chronos_2_erratic_features,2025-05-01,8,35.38324747259901,394,394,Foundation Model
chronos_2_erratic_features,2025-06-01,9,38.53809902831601,396,396,Foundation Model
chronos_2_erratic_features,2025-07-01,10,32.952168913906696,396,396,Foundation Model
chronos_2_erratic_features,2025-08-01,11,39.36750789720976,396,396,Foundation Model
chronos_2_erratic_features,2025-09-01,12,48.73498436945082,396,396,Foundation Model
chronos_2_erratic_features,2025-10-01,13,45.33805376126729,396,396,Foundation Model
chronos_2_erratic_features,2025-11-01,14,46.5331327739031,396,396,Foundation Model
chronos_2_erratic_features,2025-12-01,15,34.30169243975542,396,396,Foundation Model
chronos_2_erratic_features,2026-01-01,16,93.87986096415663,396,396,Foundation Model
chronos_2_erratic_features,2026-02-01,17,39.77536045314934,396,396,Foundation Model
chronos_2_erratic_features,2026-03-01,18,92.30526455201556,396,396,Foundation Model
chronos_2_erratic_features,2026-04-01,19,81.20726950095316,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2024-10-01,1,70.02157478494046,380,380,Foundation Model
chronos_2_erratic_features_plus_external,2024-11-01,2,65.36967406930154,381,381,Foundation Model
chronos_2_erratic_features_plus_external,2024-12-01,3,58.350022465932064,381,381,Foundation Model
chronos_2_erratic_features_plus_external,2025-01-01,4,44.70731120913556,381,381,Foundation Model
chronos_2_erratic_features_plus_external,2025-02-01,5,48.20375473843013,382,382,Foundation Model
chronos_2_erratic_features_plus_external,2025-03-01,6,48.29918328904621,384,384,Foundation Model
chronos_2_erratic_features_plus_external,2025-04-01,7,36.34931768588886,391,391,Foundation Model
chronos_2_erratic_features_plus_external,2025-05-01,8,32.326576832118384,394,394,Foundation Model
chronos_2_erratic_features_plus_external,2025-06-01,9,38.5684639743932,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-07-01,10,32.94352341418379,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-08-01,11,37.00025659088886,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-09-01,12,41.40933622770479,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-10-01,13,34.57701326489568,396,396,Foundation Model
chronos_2_erratic_features_plus_external,2025-11-01,14,36.392117375493285,396,396,Foundation Model
