eval_month,target_wmape,base_wmape,reconciled_wmape,scale_factor,rows
2024-10-01,70.02157478494046,70.02157478494046,70.02157478494046,1.0,380
2024-11-01,65.36967406930154,67.25938435025068,66.77763894232808,0.876,381
2024-12-01,58.350022465932064,72.1307611839888,70.14625180321421,0.772,381
2025-01-01,44.70731120913556,64.47894252092152,62.75382117103307,0.801,381
2025-02-01,48.20375473843013,78.36493330990305,73.498036038075,0.633,382
2025-03-01,48.29918328904621,70.82626005709616,66.43069147790509,0.734,384
2025-04-01,36.34931768588886,64.01600056643743,63.19563029925116,0.854,391
2025-05-01,32.326576832118384,61.70155479648803,61.35681162699906,0.966,394
2025-06-01,38.5684639743932,72.05803366509444,71.92747792998586,0.921,396
2025-07-01,32.94352341418379,63.00650344666854,62.87214114194829,0.965,396
2025-08-01,37.00025659088886,70.70900061109889,66.73435603252646,0.723,396
2025-09-01,41.40933622770479,78.38984327016988,68.64112204864277,0.605,396
2025-10-01,34.57701326489568,63.97584057061054,63.93340208333959,1.034,396
2025-11-01,36.392117375493285,73.60124565297949,73.5902743270244,0.982,396
2025-12-01,31.3095968157114,60.94088795007657,59.07064242753951,0.876,396
2026-01-01,32.14168734213057,70.39538699647655,69.64681847142137,0.845,396
2026-02-01,34.07947601681917,76.24231921542004,73.69038144809902,0.777,396
2026-03-01,68.6390310752187,69.39927096720095,68.63893528572441,0.526,396
2026-04-01,32.32494963577015,63.40694363615299,62.18079002054968,0.8170000000000001,396
