rank,model,tuning_type,mean_wmape,std_wmape,min_wmape,max_wmape,final_rolling_3m,num_months
1,chronos_2_erratic_features_plus_external,Foundation Model,43.31646667410541,12.690417068508165,31.3095968157114,70.02157478494046,45.014485575936,19
2,chronos_2_erratic_features,Foundation Model,53.70070733246301,18.3742854047645,32.952168913906696,93.87986096415663,71.09596483537268,19
3,chronos_t5_tiny,Foundation Model,71.76170463579065,5.655807126994368,61.00761683920759,81.9534240672307,70.91531167952546,19
4,lightgbm,Tuned,88.46236267609078,1.9653457461741497,85.28739335255308,90.90698835658844,87.1317847621607,19
5,lightgbm,Baseline,97.49707864774555,1.1010195528212916,95.3166318887903,99.599537996608,97.94246128744892,19
6,xgboost,Tuned,98.30469033594709,0.7582504515296292,96.91836985179268,99.9968884663621,98.12652511461944,19
7,random_forest,Baseline,98.36959029611567,1.5631617783282172,95.58896913985554,100.58574453069866,99.92933949951872,19
8,random_forest,Tuned,98.60988797613682,1.2329967623421725,95.66384334928244,99.99099562972982,99.97023402511329,19
9,xgboost,Baseline,99.29916748829277,0.4333854642962738,98.4391811058133,100.05057086946934,99.45042958219284,19
10,lumpy_hurdle,Baseline,99.94458757782992,0.2045171620026756,99.11511357916628,100.0,100.0,19
11,lumpy_hurdle,Tuned,99.94458757782992,0.2045171620026756,99.11511357916628,100.0,100.0,19
