model,demand_type,march_2026_wmape,forecast_rows,evaluation_rows
xgboost,smooth,42.23270687149197,3530,878
xgboost,intermittent,5.749968112683676,24325,6099
xgboost,erratic,25.361099824060457,1584,396
xgboost,lumpy,24.5454317589698,2759,690
lightgbm,smooth,38.166484525210045,3530,878
lightgbm,intermittent,5.796854570043862,24325,6099
lightgbm,erratic,23.822632668110312,1584,396
lightgbm,lumpy,27.086471797640687,2759,690
random_forest,smooth,53.69823071077439,3530,878
random_forest,intermittent,9.646162838898608,24325,6099
random_forest,erratic,37.97158890101726,1584,396
random_forest,lumpy,39.55029932610722,2759,690
lumpy_hurdle,smooth,46.65562031977794,3530,878
lumpy_hurdle,intermittent,7.4877699870172165,24325,6099
lumpy_hurdle,erratic,28.96594063884927,1584,396
lumpy_hurdle,lumpy,26.03375200505421,2759,690
