ts_id,Date,lightgbm,lumpy_hurdle,random_forest,xgboost
015500612A000,01/01/2026,0,0,0,0
015500612A000,02/01/2026,0,0,0,0
015500612A000,03/01/2026,0,0,0,0
015500612A000,04/01/2026,0,0,0,0
01550M0612A,01/01/2026,0,1,1,0
01550M0612A,02/01/2026,0,0,0,0
01550M0612A,03/01/2026,0,0,0,0
01550M0612A,04/01/2026,0,0,0,0
01550M0835A000,01/01/2026,0,1,1,0
01550M0835A000,02/01/2026,0,0,0,0
01550M0835A000,03/01/2026,0,0,0,0
01550M0835A000,04/01/2026,0,0,0,0
015511025A000,01/01/2026,0,0,0,0
015511025A000,02/01/2026,0,0,0,0
015511025A000,03/01/2026,0,0,0,0
015511025A000,04/01/2026,0,0,0,0
021420412A000,01/01/2026,0,1,1,0
021420412A000,02/01/2026,0,0,0,0
021420412A000,03/01/2026,0,0,0,0
021420412A000,04/01/2026,0,0,0,0
02142M0508A000,01/01/2026,0,0,0,0
02142M0508A000,02/01/2026,0,0,0,0
02142M0508A000,03/01/2026,0,0,0,0
02142M0508A000,04/01/2026,3,3,4,3
021620616A000,01/01/2026,0,0,0,0
021620616A000,02/01/2026,7,6,6,7
021620616A000,03/01/2026,0,0,0,0
021620616A000,04/01/2026,0,0,0,0
032410512A000,01/01/2026,0,0,0,0
032410512A000,02/01/2026,0,0,0,0
032410512A000,03/01/2026,0,0,0,0
032410512A000,04/01/2026,0,0,0,0
0611110003000,01/01/2026,0,0,0,0
0611110003000,02/01/2026,2,2,3,2
0611110003000,03/01/2026,2,2,3,2
0611110003000,04/01/2026,0,0,0,0
083100012A000,01/01/2026,0,0,0,0
083100012A000,02/01/2026,0,0,0,0
083100012A000,03/01/2026,0,0,0,0
083100012A000,04/01/2026,0,0,0,0
083144012A000,01/01/2026,0,0,0,0
083144012A000,02/01/2026,0,0,0,0
083144012A000,03/01/2026,0,0,0,0
083144012A000,04/01/2026,0,0,0,0
083161010A000,01/01/2026,6,5,6,5
083161010A000,02/01/2026,0,0,0,0
083161010A000,03/01/2026,0,0,0,0
083161010A000,04/01/2026,0,0,0,0
08316M1010A000,01/01/2026,0,0,0,0
08316M1010A000,02/01/2026,0,0,0,0
08316M1010A000,03/01/2026,0,0,0,0
08316M1010A000,04/01/2026,0,0,0,0
083313124A000,01/01/2026,0,1,1,0
083313124A000,02/01/2026,0,0,0,0
083313124A000,03/01/2026,0,0,0,0
083313124A000,04/01/2026,0,0,0,0
08331M41529000,01/01/2026,0,1,1,0
08331M41529000,02/01/2026,0,0,0,0
08331M41529000,03/01/2026,0,0,0,0
08331M41529000,04/01/2026,0,0,0,0
0910010275000,01/01/2026,0,1,1,0
0910010275000,02/01/2026,0,0,0,0
0910010275000,03/01/2026,0,0,0,0
0910010275000,04/01/2026,0,0,0,0
0910810113000,01/01/2026,0,0,0,0
0910810113000,02/01/2026,0,0,0,0
0910810113000,03/01/2026,0,0,0,0
0910810113000,04/01/2026,0,0,0,0
0911106252000,01/01/2026,0,0,0,0
0911106252000,02/01/2026,0,0,0,0
0911106252000,03/01/2026,0,0,0,0
0911106252000,04/01/2026,0,0,0,0
09111M11008000,01/01/2026,0,0,0,0
09111M11008000,02/01/2026,0,0,0,0
09111M11008000,03/01/2026,0,0,0,0
09111M11008000,04/01/2026,0,0,0,0
0911605023000,01/01/2026,0,1,1,0
0911605023000,02/01/2026,0,0,0,0
0911605023000,03/01/2026,0,0,0,0
0911605023000,04/01/2026,0,0,0,0
0911610173000,01/01/2026,0,0,0,0
0911610173000,02/01/2026,0,0,0,0
0911610173000,03/01/2026,0,0,0,0
0911610173000,04/01/2026,0,0,0,0
0911908102000,01/01/2026,0,1,1,0
0911908102000,02/01/2026,0,0,0,0
0911908102000,03/01/2026,0,0,0,0
0911908102000,04/01/2026,0,0,0,0
0911910041000,01/01/2026,0,0,0,0
0911910041000,02/01/2026,0,0,0,0
0911910041000,03/01/2026,0,0,0,0
0911910041000,04/01/2026,0,0,0,0
0911910073000,01/01/2026,0,1,1,0
0911910073000,02/01/2026,0,0,0,0
0911910073000,03/01/2026,0,0,0,0
0911910073000,04/01/2026,0,0,0,0
0911912006XC0,01/01/2026,0,0,0,0
0911912006XC0,02/01/2026,0,0,0,0
0911912006XC0,03/01/2026,0,0,0,0
0911912006XC0,04/01/2026,0,0,0,0
0911912007000,01/01/2026,78,92,37,17
0911912007000,02/01/2026,11,13,15,16
0911912007000,03/01/2026,0,0,0,0
0911912007000,04/01/2026,0,0,0,0
0911912012000,01/01/2026,51,44,37,49
0911912012000,02/01/2026,31,32,31,28
0911912012000,03/01/2026,28,29,30,29
0911912012000,04/01/2026,45,48,42,35
0911912016000,01/01/2026,0,0,0,0
0911912016000,02/01/2026,0,0,0,0
0911912016000,03/01/2026,0,0,0,0
0911912016000,04/01/2026,0,0,0,0
09136M05078000,01/01/2026,0,0,0,0
09136M05078000,02/01/2026,0,0,0,0
09136M05078000,03/01/2026,0,0,0,0
09136M05078000,04/01/2026,0,0,0,0
0913708004000,01/01/2026,0,1,1,0
0913708004000,02/01/2026,0,0,0,0
0913708004000,03/01/2026,0,0,0,0
0913708004000,04/01/2026,0,0,0,0
0914012050000,01/01/2026,0,1,1,0
0914012050000,02/01/2026,0,0,0,0
0914012050000,03/01/2026,0,0,0,0
0914012050000,04/01/2026,0,0,0,0
0914016023000,01/01/2026,0,0,0,0
0914016023000,02/01/2026,0,0,0,0
0914016023000,03/01/2026,0,0,0,0
0914016023000,04/01/2026,0,0,0,0
09140M12040000,01/01/2026,23,22,22,23
09140M12040000,02/01/2026,16,16,16,17
09140M12040000,03/01/2026,4,4,4,5
09140M12040000,04/01/2026,52,53,30,17
0914805075000,01/01/2026,4,4,5,4
0914805075000,02/01/2026,0,0,0,0
0914805075000,03/01/2026,0,0,0,0
0914805075000,04/01/2026,7,6,6,7
0914806007000,01/01/2026,0,0,0,0
0914806007000,02/01/2026,0,0,0,0
0914806007000,03/01/2026,0,0,0,0
0914806007000,04/01/2026,0,0,0,0
09148M06022000,01/01/2026,0,0,0,0
09148M06022000,02/01/2026,0,0,0,0
09148M06022000,03/01/2026,0,0,0,0
09148M06022000,04/01/2026,0,0,0,0
09150M06010000,01/01/2026,0,0,0,0
09150M06010000,02/01/2026,0,1,1,0
09150M06010000,03/01/2026,0,0,0,0
09150M06010000,04/01/2026,0,0,0,0
0915912024000,01/01/2026,0,0,0,0
0915912024000,02/01/2026,0,0,0,0
0915912024000,03/01/2026,0,0,0,0
0915912024000,04/01/2026,0,0,0,0
0915912051000,01/01/2026,0,0,0,0
0915912051000,02/01/2026,0,0,0,0
0915912051000,03/01/2026,0,0,0,0
0915912051000,04/01/2026,0,0,0,0
0915912057000,01/01/2026,0,0,0,0
0915912057000,02/01/2026,0,0,0,0
0915912057000,03/01/2026,0,0,0,0
0915912057000,04/01/2026,0,1,0,1
0915912079000,01/01/2026,0,0,0,0
0915912079000,02/01/2026,0,0,0,0
0915912079000,03/01/2026,0,0,0,0
0915912079000,04/01/2026,0,0,0,0
0915912L02000,01/01/2026,0,1,1,0
0915912L02000,02/01/2026,0,0,0,0
0915912L02000,03/01/2026,0,0,0,0
0915912L02000,04/01/2026,0,0,0,0
0915914028000,01/01/2026,1,1,1,0
0915914028000,02/01/2026,1,1,1,1
0915914028000,03/01/2026,0,0,0,0
0915914028000,04/01/2026,0,0,0,0
0915918022000,01/01/2026,0,0,0,0
0915918022000,02/01/2026,0,0,0,0
0915918022000,03/01/2026,0,0,0,0
0915918022000,04/01/2026,4,3,4,3
0915918024000,01/01/2026,0,0,0,0
0915918024000,02/01/2026,0,0,0,0
0915918024000,03/01/2026,1,2,2,1
0915918024000,04/01/2026,0,0,0,0
0915920009000,01/01/2026,0,0,0,0
0915920009000,02/01/2026,0,0,0,0
0915920009000,03/01/2026,0,0,0,0
0915920009000,04/01/2026,0,0,0,0
0915920016000,01/01/2026,0,0,0,0
0915920016000,02/01/2026,0,0,0,0
0915920016000,03/01/2026,0,0,0,0
0915920016000,04/01/2026,0,0,0,0
0915924009000,01/01/2026,0,0,0,0
0915924009000,02/01/2026,0,0,0,0
0915924009000,03/01/2026,0,0,0,0
0915924009000,04/01/2026,0,0,0,0
09159M10L04000,01/01/2026,0,0,0,0
09159M10L04000,02/01/2026,0,0,0,0
09159M10L04000,03/01/2026,0,0,0,0
09159M10L04000,04/01/2026,0,0,0,0
09159M11006000,03/01/2026,0,1,1,0
09159M11006000,04/01/2026,0,0,0,0
0916114009000,01/01/2026,0,1,1,0
0916114009000,02/01/2026,0,0,0,0
0916114009000,03/01/2026,0,0,0,0
0916114009000,04/01/2026,0,0,0,0
0916435003000,01/01/2026,0,0,0,0
0916435003000,02/01/2026,0,0,0,0
0916435003000,03/01/2026,0,0,0,0
0916435003000,04/01/2026,0,0,0,0
0916812018000,01/01/2026,0,0,0,0
0916812018000,02/01/2026,0,0,0,0
0916812018000,03/01/2026,10,9,10,10
0916812018000,04/01/2026,0,0,0,0
0918115158000,01/01/2026,0,0,0,0
0918115158000,02/01/2026,0,0,0,0
0918115158000,03/01/2026,0,0,0,0
0918115158000,04/01/2026,0,0,0,0
0920914001000,01/01/2026,0,1,1,0
0920914001000,02/01/2026,0,0,0,0
0920914001000,03/01/2026,0,1,1,0
0920914001000,04/01/2026,0,0,0,0
09209M09L02000,01/01/2026,7,6,6,6
09209M09L02000,02/01/2026,10,7,6,7
09209M09L02000,03/01/2026,7,5,5,6
09209M09L02000,04/01/2026,3,3,7,5
0924120006000,01/01/2026,0,0,0,0
0924120006000,02/01/2026,0,0,0,0
0924120006000,03/01/2026,0,0,0,0
0924120006000,04/01/2026,0,0,0,0
0924130010000,01/01/2026,0,0,0,0
0924130010000,02/01/2026,0,0,0,0
0924130010000,03/01/2026,6,7,5,6
0924130010000,04/01/2026,0,1,1,0
0924616021000,01/01/2026,7,8,8,5
0924616021000,02/01/2026,9,6,6,10
0924616021000,03/01/2026,0,0,0,0
0924616021000,04/01/2026,0,0,0,0
0924820003000,01/01/2026,0,0,0,0
0924820003000,02/01/2026,3,1,4,13
0924820003000,03/01/2026,2,1,1,14
0924820003000,04/01/2026,0,0,0,0
0925020023000,01/01/2026,0,1,1,0
0925020023000,02/01/2026,0,0,0,0
0925020023000,03/01/2026,0,0,0,0
0925020023000,04/01/2026,0,0,0,0
0925025007000,01/01/2026,0,0,0,0
0925025007000,02/01/2026,0,0,0,0
0925025007000,03/01/2026,0,0,0,0
0925025007000,04/01/2026,0,0,0,0
0925030003000,01/01/2026,0,0,0,0
0925030003000,02/01/2026,0,0,0,0
0925030003000,03/01/2026,0,0,0,0
0925030003000,04/01/2026,0,0,0,0
0925030023000,01/01/2026,0,0,0,0
0925030023000,02/01/2026,0,0,0,0
0925030023000,03/01/2026,0,0,0,0
0925030023000,04/01/2026,0,0,0,0
0926225187000,01/01/2026,0,0,0,0
0926225187000,02/01/2026,0,0,0,0
0926225187000,03/01/2026,0,0,0,0
0926225187000,04/01/2026,0,0,0,0
