month,wmape,rolling_3m_wmape,model,external_mode
2024-10-01,70.02157478494046,,amazon/chronos-2,erratic_features
2024-11-01,65.36967406930154,,amazon/chronos-2,erratic_features
2024-12-01,63.652046545131114,66.34776513312437,amazon/chronos-2,erratic_features
2025-01-01,45.617363275030584,58.21302796315441,amazon/chronos-2,erratic_features
2025-02-01,50.25539897001361,53.17493626339177,amazon/chronos-2,erratic_features
2025-03-01,49.91373503617603,48.595499093740074,amazon/chronos-2,erratic_features
2025-04-01,47.16700450952079,49.11204617190347,amazon/chronos-2,erratic_features
2025-05-01,35.38324747259901,44.154662339431944,amazon/chronos-2,erratic_features
2025-06-01,38.53809902831601,40.36278367014527,amazon/chronos-2,erratic_features
2025-07-01,32.952168913906696,35.62450513827391,amazon/chronos-2,erratic_features
2025-08-01,39.36750789720976,36.95259194647749,amazon/chronos-2,erratic_features
2025-09-01,48.73498436945082,40.35155372685576,amazon/chronos-2,erratic_features
2025-10-01,45.33805376126729,44.48018200930929,amazon/chronos-2,erratic_features
2025-11-01,46.5331327739031,46.86872363487373,amazon/chronos-2,erratic_features
2025-12-01,34.30169243975542,42.057626324975274,amazon/chronos-2,erratic_features
2026-01-01,93.87986096415665,58.23822872593839,amazon/chronos-2,erratic_features
2026-02-01,39.77536045314934,55.985637952353805,amazon/chronos-2,erratic_features
2026-03-01,92.30526455201557,75.32016198977385,amazon/chronos-2,erratic_features
2026-04-01,81.20726950095316,71.09596483537268,amazon/chronos-2,erratic_features
