model,external_mode,eval_month,month_num,wmape,evaluation_rows,unique_skus,base_total_forecast,external_total_forecast,scale_factor,correction_rows
amazon/chronos-2,features,2024-10-01,1,70.02157478494046,380,380,1423.4848409891129,,1.0,380
amazon/chronos-2,features,2024-11-01,2,80.91937088078338,381,381,1193.1230752766132,,1.0,761
amazon/chronos-2,features,2024-12-01,3,74.08819914377504,381,381,1280.7689984440804,,1.0,1142
amazon/chronos-2,features,2025-01-01,4,62.20085256714086,381,381,1361.416310697794,,1.0,1523
amazon/chronos-2,features,2025-02-01,5,80.06805014842162,382,382,1281.4914643764496,,1.0,1905
amazon/chronos-2,features,2025-03-01,6,71.49393782682732,384,384,1275.5733858048916,,1.0,2289
amazon/chronos-2,features,2025-04-01,7,61.38529664341037,391,391,1266.3222580850124,,1.0,2680
amazon/chronos-2,features,2025-05-01,8,60.205932152361484,394,394,1245.738075017929,,1.0,3074
amazon/chronos-2,features,2025-06-01,9,73.8606183665943,396,396,1249.3346472978592,,1.0,3470
amazon/chronos-2,features,2025-07-01,10,67.4736511310815,396,396,1288.9607416391373,,1.0,3866
amazon/chronos-2,features,2025-08-01,11,80.36094083920602,396,396,1360.4429134130478,,1.0,4262
amazon/chronos-2,features,2025-09-01,12,75.76655339556088,396,396,1326.8826050460339,,1.0,4658
amazon/chronos-2,features,2025-10-01,13,66.94122355875308,396,396,1201.0606303215027,,1.0,5054
amazon/chronos-2,features,2025-11-01,14,74.52225290155138,396,396,1114.6777114868164,,1.0,5450
amazon/chronos-2,features,2025-12-01,15,66.88667656617552,396,396,1316.5555465966463,,1.0,5846
amazon/chronos-2,features,2026-01-01,16,76.61010740369069,396,396,1506.3454619050026,,1.0,6242
amazon/chronos-2,features,2026-02-01,17,77.28510575281409,396,396,1278.7139683067799,,1.0,6638
amazon/chronos-2,features,2026-03-01,18,69.7892152382029,396,396,1366.5348349809647,,1.0,7034
amazon/chronos-2,features,2026-04-01,19,65.74647686348679,396,396,1334.371556699276,,1.0,7430
amazon/chronos-t5-tiny,features,2024-10-01,1,63.8837754558154,380,380,1083.1650431752205,,1.0,380
amazon/chronos-t5-tiny,features,2024-11-01,2,76.75233418044863,381,381,903.4195436835289,,1.0,761
amazon/chronos-t5-tiny,features,2024-12-01,3,78.9269955404224,381,381,971.7889069914818,,1.0,1142
amazon/chronos-t5-tiny,features,2025-01-01,4,69.92836676252877,381,381,904.6956814229488,,1.0,1523
amazon/chronos-t5-tiny,features,2025-02-01,5,87.59725369670748,382,382,902.1478267908096,,1.0,1905
amazon/chronos-t5-tiny,features,2025-03-01,6,73.78642647752945,384,384,901.3298114538193,,1.0,2289
amazon/chronos-t5-tiny,features,2025-04-01,7,62.13680368589735,391,391,862.1425753831863,,1.0,2680
amazon/chronos-t5-tiny,features,2025-05-01,8,68.12931452079626,394,394,934.8630200922489,,1.0,3074
amazon/chronos-t5-tiny,features,2025-06-01,9,82.24958610557958,396,396,989.5002053380013,,1.0,3470
amazon/chronos-t5-tiny,features,2025-07-01,10,74.88182290986973,396,396,927.3502005934715,,1.0,3866
amazon/chronos-t5-tiny,features,2025-08-01,11,87.81379726622572,396,396,938.0102423429489,,1.0,4262
amazon/chronos-t5-tiny,features,2025-09-01,12,83.42047852654511,396,396,971.9782517552376,,1.0,4658
amazon/chronos-t5-tiny,features,2025-10-01,13,64.46067638281563,396,396,936.5258894264698,,1.0,5054
amazon/chronos-t5-tiny,features,2025-11-01,14,78.64587024724334,396,396,809.3283407688141,,1.0,5450
amazon/chronos-t5-tiny,features,2025-12-01,15,70.87070287535785,396,396,977.1200634837151,,1.0,5846
amazon/chronos-t5-tiny,features,2026-01-01,16,82.25101829010634,396,396,963.2702500224113,,1.0,6242
amazon/chronos-t5-tiny,features,2026-02-01,17,83.31742770301858,396,396,1006.4754388928413,,1.0,6638
amazon/chronos-t5-tiny,features,2026-03-01,18,71.27468031728166,396,396,995.4596979916096,,1.0,7034
amazon/chronos-t5-tiny,features,2026-04-01,19,77.51950384256595,396,396,1062.1022343933582,,1.0,7430
