month,wmape,rolling_3m_wmape,model,external_mode
2024-10-01,70.02157478494046,,amazon/chronos-2,features
2024-11-01,80.91937088078338,,amazon/chronos-2,features
2024-12-01,74.08819914377504,75.00971493649962,amazon/chronos-2,features
2025-01-01,62.20085256714086,72.40280753056642,amazon/chronos-2,features
2025-02-01,80.06805014842162,72.1190339531125,amazon/chronos-2,features
2025-03-01,71.49393782682732,71.25428018079661,amazon/chronos-2,features
2025-04-01,61.38529664341037,70.98242820621977,amazon/chronos-2,features
2025-05-01,60.205932152361484,64.36172220753305,amazon/chronos-2,features
2025-06-01,73.8606183665943,65.15061572078872,amazon/chronos-2,features
2025-07-01,67.4736511310815,67.18006721667909,amazon/chronos-2,features
2025-08-01,80.36094083920602,73.89840344562727,amazon/chronos-2,features
2025-09-01,75.76655339556088,74.53371512194947,amazon/chronos-2,features
2025-10-01,66.94122355875308,74.35623926450666,amazon/chronos-2,features
2025-11-01,74.52225290155138,72.4100099519551,amazon/chronos-2,features
2025-12-01,66.88667656617552,69.45005100882666,amazon/chronos-2,features
2026-01-01,76.61010740369069,72.67301229047253,amazon/chronos-2,features
2026-02-01,77.28510575281409,73.59396324089344,amazon/chronos-2,features
2026-03-01,69.7892152382029,74.56147613156922,amazon/chronos-2,features
2026-04-01,65.74647686348679,70.94026595150126,amazon/chronos-2,features
2024-10-01,63.8837754558154,,amazon/chronos-t5-tiny,features
2024-11-01,76.75233418044863,,amazon/chronos-t5-tiny,features
2024-12-01,78.9269955404224,73.18770172556214,amazon/chronos-t5-tiny,features
2025-01-01,69.92836676252877,75.2025654944666,amazon/chronos-t5-tiny,features
2025-02-01,87.59725369670748,78.81753866655288,amazon/chronos-t5-tiny,features
2025-03-01,73.78642647752945,77.10401564558856,amazon/chronos-t5-tiny,features
2025-04-01,62.13680368589735,74.50682795337809,amazon/chronos-t5-tiny,features
2025-05-01,68.12931452079626,68.01751489474101,amazon/chronos-t5-tiny,features
2025-06-01,82.24958610557958,70.83856810409107,amazon/chronos-t5-tiny,features
2025-07-01,74.88182290986973,75.08690784541518,amazon/chronos-t5-tiny,features
2025-08-01,87.81379726622572,81.64840209389168,amazon/chronos-t5-tiny,features
2025-09-01,83.42047852654511,82.03869956754686,amazon/chronos-t5-tiny,features
2025-10-01,64.46067638281563,78.56498405852882,amazon/chronos-t5-tiny,features
2025-11-01,78.64587024724334,75.5090083855347,amazon/chronos-t5-tiny,features
2025-12-01,70.87070287535785,71.32574983513894,amazon/chronos-t5-tiny,features
2026-01-01,82.25101829010634,77.25586380423584,amazon/chronos-t5-tiny,features
2026-02-01,83.31742770301858,78.81304962282759,amazon/chronos-t5-tiny,features
2026-03-01,71.27468031728166,78.94770877013553,amazon/chronos-t5-tiny,features
2026-04-01,77.51950384256595,77.37053728762207,amazon/chronos-t5-tiny,features
