model,eval_month,month_num,wmape,evaluation_rows,unique_skus
amazon/chronos-2,2024-10-01,1,70.02157478494046,380,380
amazon/chronos-2,2024-11-01,2,67.25938435025068,381,381
amazon/chronos-2,2024-12-01,3,72.1307611839888,381,381
amazon/chronos-2,2025-01-01,4,64.47894252092152,381,381
amazon/chronos-2,2025-02-01,5,78.36493330990305,382,382
amazon/chronos-2,2025-03-01,6,70.82626005709616,384,384
amazon/chronos-2,2025-04-01,7,64.01600056643743,391,391
amazon/chronos-2,2025-05-01,8,61.70155479648803,394,394
amazon/chronos-2,2025-06-01,9,72.05803366509444,396,396
amazon/chronos-2,2025-07-01,10,63.00650344666854,396,396
amazon/chronos-2,2025-08-01,11,70.70900061109889,396,396
amazon/chronos-2,2025-09-01,12,78.38984327016988,396,396
amazon/chronos-2,2025-10-01,13,63.97584057061054,396,396
amazon/chronos-2,2025-11-01,14,73.60124565297949,396,396
amazon/chronos-2,2025-12-01,15,60.94088795007657,396,396
amazon/chronos-2,2026-01-01,16,70.39538699647655,396,396
amazon/chronos-2,2026-02-01,17,76.24231921542004,396,396
amazon/chronos-2,2026-03-01,18,69.39927096720095,396,396
amazon/chronos-2,2026-04-01,19,63.40694363615299,396,396
